page 1	　汪兆銘往何處去
page 2	太平場之Ｘ千餘進犯沙貝村撤回南岸岳陽附近我軍殲Ｘ百餘
page 2	行政院會議通過褒揚毛脈厚以勵正氣湖北等省展期成立參政　准予所請
page 2	閩各界慶祝元旦匯萬元慰勞將士
page 2	為西康省府成立孔院長致訓詞悉心開發邊疆奠定抗戰建國基礎實行物質建設心理建設以達目的
page 2	晉南鄉寧Ｘ北犯我軍退出吉縣Ｘ有續圖犯黃河模樣我防河部隊嚴密戒備
page 2	九江白合鄉逆偽被捕現在審訊中
page 2	反侵略總會下旬開會我已準備提案
page 2	豫東劇戰淮陽我軍大捷俘虜　軍四五百人　隊長多名被擊斃
page 2	國外民眾紛電中央贊成革除汪精衛黨籍華南將領日內將發表聯電斥汪傳汪精收仍在河內但一說赴滬
page 2	受何影響云
page 2	Ｘ國發生政變近衛決在本週內辭職Ｘ對華戰費每日銷耗一百萬鎊金此種大量銷耗將使日本無法支持
page 3	美國國會商討保護各地權益
page 3	美總統羅斯福主張積極撤軍
page 3	英將對日本施經濟壓力
page 3	英向日本表示與美同一立場
page 3	汪兆銘違反紀律危害黨國中宣部政治部發表聲明汪精衛此次離國　係私人行動其在外行動不能作各方之代表
page 3	法蘇商約展延一年
page 3	無線電傳真可由倫敦達美
page 3	蘇聯大興黨獄
page 3	英駐意大使潘思四月退休
page 3	美政府上月卅一日致日照會原文抗議日人歧視美在華合法利益反對日人以武斷方式修改協定
page 3	金鎊匯價低落
page 3	法總理出巡德方密切注意
page 3	美聯邦海委會擬建新式商船
page 3	德國女子一律須服勞役
page 3	英庚款會在西北提倡生產事業
page 3	英閣潮已和緩
page 3	直布底尚安謐阿比西尼亞騷動
page 3	滬津電昨不通
page 3	俊六傳已秘密返國
page 3	滬漁業敗類加入偽漁市場銀行界不直其所為將請政府加以嚴處
page 3	黃河水患益甚受殃人民約九百萬
page 3	海門啟東殘Ｘ回竄南通
page 3	國府命令褒卹朱壽彭
page 3	青年團蘭州區團部正式成立
page 3	Ｘ軍一班自動向我投誠
page 3	美政府若得國會同意即對日採取報復行動美國各大報響應政府對日強硬主張向日本警告索取損害賠償
page 4	婦人跳車跌斃
page 4	果菜行籌賑會昨募行千餘員
page 4	魚炮炸傷漁人
page 4	少女投海獲救
page 4	瓊崖商會組回鄉服務團
page 4	救債分會會議
page 4	查究傷人汽車
page 4	發現勒斃嬰孩
page 4	防空常識考試及格女性八人
page 4	便以利會昨宴老弱貧民
page 4	衛生局昨例會
page 4	美髮業同人元旦慰問難民
page 4	英皇頒獎勳章本港四人獎獲
page 4	日本皇后輪入塢
page 4	留德同學茶話會
page 4	飛鷹社攝影展覽
page 4	　部駐　職員徐堅被控侵佔公款該項係古巴華僑捐款值美金六千二百餘元
page 5	江佛路Ｘ陸續退卻
page 5	河清之Ｘ故布疑陣
page 5	朱宗藩率部破疑兵
page 5	三水Ｘ軍西犯楊梅南村展開血戰西江南岸訓練新兵之積極肇慶各報一致抨擊汪兆銘
page 5	陳團長訓練新兵談
page 5	各報均抨擊汪兆銘
page 5	我機械部隊已開抵鶴山連日向九江Ｘ陣炮轟
page 5	中央令粵改善徵兵李漢魂兼軍管區司令
page 5	游擊連長入市偵Ｘ情殺漢奸
page 5	肅清市橋不良團隊各界之聯席會議市僑秩序回復
page 5	犯唐家灣Ｘ軍企圖登陸被我擊潰冠頭嶺Ｘ艦已他竄
page 5	中山安謐
page 5	北海近情
page 5	我大軍向Ｘ反攻中東寶軍民協力辦理善後
page 5	東莞災區辦理善後
page 5	蔣光鼐出巡各災區
page 5	深圳方面綏請近情
page 5	撤消一區各聯防隊
page 5	西江以北Ｘ兵陸續退集佛山Ｘ在河清佈設疑兵朱宗藩深夜襲Ｘ營
page 6	十一區游擊司令張炎詳談西江戰況連絡自衛力量兼辦稅警教隊
page 6	Ｘ軍勒索伙食炮擊番禺小洲廿餘間毀屋死傷十餘人
page 6	旅荷僑胞慰問將士難民
page 6	江門當局對糧食出口之防範購運糧食須具結不售與Ｘ人
page 6	Ｘ機狂炸之廣寧慘況物品來源困難難民飢寒交迫
page 6	黃任寰巡抵興寧檢閱東江自衛團隊
page 6	Ｘ陷勒流實地調查記一被Ｘ殺的是前任鎮長廖叔鑾
page 6	南順游　戰快要展開
page 6	Ｘ機轟炸高明台山但傷人極少
page 6	惠陽成立贓物保管委會
page 6	　山古勞鎮陷Ｘ與收復之經過確情
page 7	寶安來客談Ｘ軍廿餘偷登赤灣聞我軍來剿狼狽逃竄北柵游擊隊進攻太平
page 7	Ｘ軍廿餘赤灣登陸
page 7	我奪北柵進攻太平
page 7	寶安難民紛然歸去
page 7	本港各社團昨追悼葉端人
page 7	三水邑僑籌賑會之職員
page 7	一元還債運動中國婦女會成績甚佳一法人亦獻金表同情
page 7	Ｘ派輪行走省澳誘我同胞返粵由澳赴粵僅收費二角由粵赴澳竟收二十元
page 7	Ｘ聯請中央嚴懲汪精衛其他附和之徒亦治以應得之罪
page 8	救濟逃難學生救濟會章程脫稿
page 8	馬頭涌難民營鎗傷壯士已死
page 8	大埔道洗衣池礦工被殺案昨二審證人力證兩被告為兇手首被告向死者索舊債
page 8	證人陳春
page 8	加害於余
page 8	不豫之色
page 8	文都開礦
page 8	英美問題美財政專家多遜演講
page 8	共同諒解
page 8	對外貿易
page 8	美洲本身
page 8	拍賣地段詳細章程
page 8	旅港粵僑組救濟桑梓會
page 8	記者公會宣言擁護中央抗戰到底反對汪氏主和建議
page 8	華商會接奉國府禁令以物品資Ｘ者處死刑販運Ｘ貨運有期徒刑七年查禁人員同等罪者處死
page 11	伶星足球義賽善款收入報告幾達二千元
page 11	學體會今夕召開首次理事會議
page 11	女子普通界籃球今晚恢復舉行比賽
