page 1	山西游擊戰成功之要素
page 2	東江我軍活躍再度衝入潮安Ｘ犯橫門被我擊退
page 2	我遊擊隊襲擊　院斃Ｘ三十餘人
page 2	滬Ｘ又企圖搗亂租界因捕房嚴陣以待暴徒因此未得逞
page 2	居住塘沽英僑被迫限期離境
page 2	蘇北泰縣再受轟炸死傷平民數十毀房屋百餘間
page 2	大魚腹中發現日鈔走私者之新花樣
page 2	晉省黨務恢復各區縣黨員報到甚踴躍
page 2	謝持明日國葬
page 2	中英三百萬鎊借款上星期已簽字英將繼續供給我建設材料
page 2	愛爾蘭恐怖分子大肆活動倫敦利勿浦等地發現炸彈案多宗
page 2	北平美僑被Ｘ侮辱美大使已向日方抗議Ｘ表示係出於誤會
page 2	蟻光炎謁蔣委長致敬並獻金二萬元
page 2	滬Ｘ意欲搜法軍官住宅為　方　詞　拒
page 2	傳希特勒將往但澤德方予以否認
page 2	英下院議員詢問英日談判張伯倫答謂英日談話僅係商論談判之程序
page 2	杭路我便衣隊一度衝入硤石
page 2	日聯合艦隊將舉行戰時狀態演習最近所組新艦隊亦將參加以防將來英法蘇三國干涉
page 2	鄂中我軍連日出擊豫南明港間激戰中王曲河決口沁陽Ｘ遭水浸
page 3	國　公法學家周鯁生評論英日談判望英代表對東京會議謹慎從事望同人處以鎮靜免誤受Ｘ宣傳
page 3	英法蘇三國協定可望最後成功英法已接納蘇聯所解釋談判有完滿結果之可能
page 3	日本各界表示震驚許多證券跌價
page 3	美國致日照會內容表明美國態度
page 3	柏林舉行防空演習情形十分緊張仿如真正空襲
page 3	哈勒欣河連日陸空劇戰日方損失飛機七十四架
page 3	日海軍聲言維護北庫頁島權益
page 3	英海軍部購置武裝漁船將歸隊受差遣
page 3	有德國飛機近英海岸演習
page 3	美突向日Ｘ廢除通商條約美國廢約照會已送致日大使館將來美可考慮禁止原料品運日
page 4	演詞如次
page 4	漢口成立
page 4	協會目的
page 4	國幣五萬
page 4	粵僑救濟桑梓會慰勞東江將士慰勞品數十箱今日寄發
page 4	澳門輪船昨有魚菜運港
page 4	中國工業合作協會組織經過與工作概況已先後成立五個工業區生產貨物現有五十餘種
page 5	三洲坑Ｘ昨晨擊退
page 5	芙蓉山之再度血戰
page 5	昨晨Ｘ機飛炸各地
page 5	Ｘ機迭擾岐關沿路
page 5	容桂Ｘ軍最近動態我團隊夜入桂洲維持治安Ｘ夜深炮轟桂洲我團隊再襲容奇
page 5	財廳整理戰時稅務派出整委廿四人財政部派員視察
page 5	減少汽油銷費提倡用牲口車
page 5	省動員會聘定各設計會主委
page 5	深圳昨又有兩次警報何視察員對記者之談話各游擊隊加緊政訓工作
page 5	粵教廳督促各校推行社教擬定推委會組織及職掌
page 5	嶺東我軍反攻潮汕之進展近況潮陽達濠無Ｘ蹤惟滿目瘡痍揚陽穩定當局積極動員民眾
page 5	連日反攻戰情
page 5	潮陽已無Ｘ蹤
page 5	揚陽情勢穩定
page 5	梧州展拓避難防空洞
page 5	省振濟會擴大收容戰區兒童
page 5	精神動員列為訓練課目省黨部飭屬知照
page 5	前夜昨晨橫門血戰續詳激戰終夜犯三洲坑Ｘ昨晨被擊退Ｘ　衝破芙蓉山陣地我軍仍堅守岐關車迭被Ｘ機開鎗掃射搭客無恙
page 6	東路
page 6	西路
page 6	北路
page 6	增從淪陷區視察續記
page 6	民眾組隨軍殺Ｘ隊
page 6	藥品缺乏盼望捐助
page 6	十二集團軍軍官團員生分赴各縣協助國民軍訓三千餘人分七八十組時期三個月工作地方擅動一草一木軍法從事
page 6	韶關增闢防空壕洞昨已興工建築
page 6	深圳軍警督察處昨已裁撤治安由寶安縣府維持
page 6	電白陽江發現Ｘ艦南鵬島海面亦有Ｘ艦
page 6	中山檢查經淪陷區來往輪渡
page 6	古鼎華電令查緝抗檢輪船
page 6	各縣鄉鎮公所設兵役詢問處以利兵員之補充
page 6	東西北三路最戰訊增城展開激烈炮戰犯楊梅馮湧Ｘ受創從化石潭我Ｘ肉搏
page 7	空襲前之海陸情形
page 7	防空人員全體出動
page 7	皇后花園傷數十人
page 7	勳寧道口落毒氣彈
page 7	探燈四射找尋敵機
page 7	匯豐大廈發生大火
page 7	警報突鳴全市黑暗
page 7	半島中彈學校起火
page 7	警報解除恢復常態
page 7	防空要員認為滿意
page 7	劫艇殺人案昨日續審警探述拘捕各疑犯經過
page 7	北京道血案疑犯昨晨提堂
page 7	山坑沐浴三小童被沖出大海其一不堪激蕩竟遭慘死餘兩名幸獲救送院療治
page 7	美國人民均同情我國美名記者威麥之談話
page 7	情景逼真昨晚防空演習經過敵機飛入市區狂炸匯豐銀行中燃燒彈被焚皇后公園傷市民數十防空人員全體出動救護
page 8	港督解釋英國政策
page 8	強制服役法已通過
page 8	昨日出席中西官紳
page 8	女郎投海獲救
page 8	各大茶　贊助本港　伶義唱
page 8	海關注意出口廢銅鐵查明輸往某埠始發出口證
page 8	居民生活與社會狀況港政府一九三八年度報告
page 8	政治組織
page 8	公共衛生
page 8	時症統計
page 8	居住問題
page 8	英日協定成立後日取銷貨物運津限制港輪船公司已接津方電告紛紛通知各辦庄恢復貨運
page 8	每月損失達百萬元
page 8	各輪準備恢復原班
page 8	新加坡兩華文報合併統由南洋報社管理
page 8	昨日夏令籃球賽虹虹勵行旗開得勝仿中丁丑苦戰而敗
