page 1	西線總攻與荷比震動
page 2	新牆河前線又發生砲戰
page 2	南昌東南方日軍又蠢動
page 2	鄂北各據點日軍受威脅
page 2	顏惠慶談歐戰將來結束後各國將另組新國聯此新國聯之組織有類政府之政府
page 2	傳蘇日談判預料即可舉行日報評論日蘇問題急須解決各項懸案
page 2	津日軍又加緊封鎖英法租界
page 2	汪將赴青島商組新政權
page 2	焦作日軍出犯被我痛擊
page 2	長江下游頻有戰事日方亦已承認
page 2	蘇芬談判前途樂觀
page 2	漢奸楊城宴客志士酒樓鋤奸
page 2	皖北日軍逃竄雙溝
page 2	港女子籃球隊在菲三戰三捷
page 2	德軍確準備作大規模進攻儘可在十日內實施
page 2	日機殘骸已運抵蓉
page 2	德國未婚軍人准長途結婚假鳳虛驚而已徒牽兩地相思
page 2	華北本年發生水災居民食及樹根樹皮目前尚無解救辦法
page 2	日明年預算不敷甚鉅
page 2	湘西特種部族代表向孔院長獻旗
page 2	中共中執會決定共黨政策大綱主張召集國民會議實施憲政竭誠擁護蔣委員長施政原則
page 2	康王他移眷屬避免日方威脅增強抗戰工作
page 2	紐約舉行一碗飯運動
page 2	晉南我軍向西挺進克復隆化鎮進迫翼城聞喜東南激戰斃日官兵三百餘我空軍連日飛同蒲路沿線轟炸
page 3	丹瑞挪芬四國響應和平運動英內閣已討論荷比和平通電將與法波兩國政府交換意見
page 3	英大使寇爾由渝乘機來港
page 3	芬蘭政府扣留德輪表示對德報復
page 3	德謀破壞英國海上貿易為對英戰爭計劃主要目的但此計劃目前已顯見失敗
page 3	土國民會議通過三國協定土外長演說謂協定成功可為土國開創一新時代
page 3	英財相宣讀首相演詞闡釋目前戰況目前戰爭只係一種包圍形式何時始有大戰爆發甚難預料
page 3	阿富汗黨人謀叛失敗各叛黨領袖已向英投降
page 3	英德空軍激戰德機兩架被擊落
page 3	法國各殖民地擁護政府動員土軍助戰派遣後方工人
page 3	慕尼克啤酒房炸彈突然爆發斃命者六人受傷六十人德懸賞五十萬馬克緝兇
page 3	　議員史太芬歐遊觀感捷克居民甚不自由德人只求生活滿足
page 3	希特勒大放厥詞準備五年戰爭慕尼克發生炸彈案希特勒險些兒被炸
page 5	雷州半島各縣日人甚難進犯
page 5	軍事佈置完成隨時準備抗戰
page 5	鄧張兩氏會談詳商軍事聯絡
page 5	日軍侵鹽田後夜去明回之　怯狀態沙深公路附近鄉村又被焚
page 5	潮安最近戰訊日分兩路犯意溪遭挫我軍突擊菴埠潮城
page 5	三埠澳門輪渡大光明號觸礁沉沒搭客百餘幸脫險無恙損失十餘萬現打撈中
page 5	本報記者赴中山西線調查新順中日偽情況之報告一日軍圖奪木松山被我擊潰日宣傳犯三埠係虛張聲勢中山安定沿邊區無日軍蹤跡
page 5	江會方面日軍係虛張聲勢
page 5	我機又飛廣州炸日機場
page 5	通令嚴防日機投延爆彈
page 5	中順交界我團隊土炮轟沉日艇
page 5	日艦大部駛去陽電局勢穩定兩縣民眾發起慰勞防軍當局加緊各種戰時佈置
page 5	日軍抽調江會廣州盜匪橫行一夜發生劫案廿九宗
page 5	粵南情勢緊張中鄧世增之重要談話各縣對要政推行不力亟加整理民眾動員及空室清野成績均佳我軍事已有準備防務極為鞏固
page 7	普議員批評戰時預算案
page 7	周　年批評所得稅流弊
page 7	財政司解釋所得稅優點
page 7	港督昨檢閱後備警察中西紳商到場觀禮者甚眾
page 7	羅文錦反對征收所得稅
page 7	輔政司提請核准預算案隨即由輔政司提請
page 7	羅議員質問限制迫遷法
page 7	昨日立法局會議議員多反對征所得稅徵所得稅足以影響商業繁榮辯論尚未完竣港督宣佈延會
page 8	潿洲島日軍又開砲轟擊帝航機該機被迫下降地點未明乘客及機師安全殊可慮
page 8	英籍議員亦反對所得稅
page 8	第一街殺媳案昨已審訊完結官命詳臬定讞
page 8	製造假車票案各被告加控罪名
page 8	林綺梅女士製唱片義賣籌賑得款概用救濟難民
page 8	九龍城自衛團補行成立典禮
page 8	僑團各自舉行總理誕辰紀念
page 8	保衛中華將在中央公映
page 8	征菲女子籃球隊本月二十四日可返港因當地僑胞請求多賽兩場
page 8	心嘉杯小型球決賽鐘聲挫淩風榮膺冠軍二比一淩風先勝後敗
page 8	淩風淩榮獲乒乓團體首席參加單人賽者眾
page 8	學界籃球賽國民勇克華仁初級　皇保　奏凱
page 8	辯論未完總督宣佈延會
