page 1	英拒絕日本要求
page 2	湘贛鄂我軍戰果
page 2	揚州偽軍一部譁變
page 2	綏省我軍向東殲剿
page 2	日全國將舉行防空演習
page 2	抗建論文比賽揭曉結果
page 2	汪賣國條件初步談判結束正式談判料即將舉行以近衛三原則為基礎
page 2	英空軍炸擊德國軍事目標德空軍亦大舉襲英倫被擊毀五架四架受創
page 2	工部局將契據移交於偽市長滬各方均極力反對
page 2	敵機襲擊亞力山得里亞
page 2	李峙山女士逝世周年紀念
page 2	英決拒絕日要求但未正式答覆格萊琪通知日外交一星期內即可答覆
page 2	英美艦隊將形成非正式之諒解美始終堅持原定政策反對日獨霸遠東企圖
page 2	南僑慰勞團結束團務
page 2	美國慶紀念滇美領事招待各界
page 2	日與滬法當局並未訂約
page 2	贛民桂汝丹熱心捐助戰費
page 2	汛美會議定期舉行
page 2	政視團西北組過蘭赴寧
page 2	美國分清友敵
page 2	如此談判
page 2	羅內閣改組
page 2	我空軍再飛宜炸日豫東毫縣在我掌握桂南方面明江附近發生激戰
page 3	英各羅夫伯爵解釋國防意見決阻止敵人侵入英倫希望在海上擊敗敵人
page 3	實行接管法艦
page 3	妨害兵役治罪條例
page 3	都柏林港口已由軍事當局管治外來之輪船必須受檢查
page 3	德英和平之謠雙方尚力否認有謂希特勒未必願停戰邱吉爾仍決心繼續戰爭
page 3	日政府中贊成新黨運動米內將令見近衛窺近衛組意黨見
page 3	美國防費龐大將達百餘萬萬艦隊擴充百分之七十飛機工業積極發展中
page 3	諾斯史汀生兩委任必得參院通過諾斯謂中立法有害遠東局面主張美應重行確定遠東政策
page 3	埃首相演講埃及外交政策願維持自身獨立地位又欲履行對英之義務
page 3	法政府發表宣言謂欲修改憲法澈底改革法國行政機構取果敢行動謀法國復興
page 3	羅國投人軸心懷抱改組內閣準備抗蘇軸心國家計劃組巴爾幹集團反抗蘇聯在巴爾幹所有利益
page 5	日沿沙深公路佈防
page 5	日機運來軍官糧食
page 5	大雨傾盤難民溺斃
page 5	南頭深圳備受蹂躪
page 5	廣州市區及附郊日偽軍兵力之調查
page 5	附市各鄉之糧荒近況日軍派隊勒徵瓜菜各鄉饑民偷割禾稻
page 5	增從邊區激戰日續犯黃洞被擊潰我在大逕　斬日兵百餘我在花縣龍口玲墟奏捷
page 5	日軍續犯黃洞被殲
page 5	我襲龍口殲獲甚眾
page 5	初中畢業生免攷升學辦法
page 5	偽團長楊新權在肇伏法
page 5	三水日偽統制糧食大洋一元購米二升
page 5	我團隊夜襲大良衝入市區巷戰激烈混戰二小時殲日軍數十名日艦砲擊小黃圃附近各鄉
page 5	侵白蕉日軍撤退僅由偽軍防守恐嚇斗門民眾著組維持會民眾對其來函決置不理會城日軍犯蓮塘被擊
page 5	斗門一帶現尚安謐
page 5	徘徊於馬騮洲一帶
page 5	偽軍李部亦被逐出
page 5	雙方遇于蓮塘附近
page 5	部令限制攜寄郵票出口
page 5	四邑厲行根絕煙毒六月十五日撤銷土膏行一區派員巡察各縣禁煙
page 5	番屬新洲游擊隊夜襲日營大捷日軍豪飲中遭襲擊民眾助戰大收戰果
page 5	侵寶安日軍封鎖邊界後沿沙深路佈防恐我突擊連日大雨日軍無法修路難民趨集河邊慘遭溺斃
page 6	出國僑胞
page 6	深切感戴
page 6	星僑來電
page 6	巴城來電
