page 1	現階段之戰局
page 2	我機連口飛津浦線助戰十三日飛封邱轟炸傷亡敵軍二十餘名
page 2	在洪林橋我軍勇殲敵軍杭州附近敵自殘殺敵軍千餘進犯孝豐
page 2	敵機猛炸臨沂縣城
page 2	我軍攻擊懷遠之敵
page 2	晉北我軍乘勝渡河收復河曲中陽城已被我軍包圍敵退離石城郊平陸之敵被我軍痛擊已向西北潰退
page 2	我游擊隊遍布冀境
page 2	陝軍宋部渡河擊敵
page 2	修武方面成拉鋸戰
page 2	滬日領岡本定期今日返國
page 2	馬占山電告克復托克托縣俘七偽軍長團長以下五十餘人青天白日旗又復飄揚托縣街頭
page 2	法政府提出修正國家戰時組織法案三月廿二日提付眾院討論
page 2	滬海關搜獲現金七十萬元
page 2	開會追悼東北陳亡將士
page 2	滇省府飭屬潔已奉公
page 2	敵水兵圖在平海登陸被我駐軍擊退
page 2	陝抗敵會開各縣代表大會
page 2	經濟部激勵華茶輸出積極從事貸款
page 2	華僑陳乃果捐助粵國防費共國幣二千元
page 2	吳鼎昌向筑市各大中員生訓話右手執槍左手捧書上馬殺敵下馬草檄
page 2	津浦北段戰況仍烈我軍分東西兩路反攻右翼我軍前鋒已抵達沂水城外左翼孫曹兩部出動向濟寧進迫
page 3	波蘭人民因勝狂喜
page 3	蘇決保全立土完整
page 3	立政府軟軟化人民極憤慨
page 3	西國民軍飛機兩轟他拉干那
page 3	孫家舖我守軍之英姿顧　長指揮若定匯付裕如敵三次猛烈衝鋒均被擊潰
page 3	英不肯負責保衛捷克獨立因英國在捷克並無野心且自信能力薄弱難負責
page 3	意日兩國需要煤油傳已興墨成立某項協定墨全國多事因此大起恐慌
page 3	亡國後之奧大利聞人憂憤自殺日多猶太人被迫尤可憐
page 3	瑞士陸軍在意邊境演習意因此頗感不愉
page 3	日政友會議員詰責首相近衛對華長期作戰有何把握近衛答以必須隱忍自重
page 3	西政府軍堅決抗戰到底米亞伯將軍談話
page 3	弗郎哥發表鄭重聲明國民軍若在獲得全勝之後決不以尺寸土地割讓外國
page 3	英國會今日開會
page 3	德輪在北海爆炸沉沒
page 3	叛軍飛機炸巴賽羅納法政府提抗議
page 3	關於德奧合併墨西哥向國聯提抗議吾人苟欲在國際間保持和平厥在履行國聯會之盟約義務
page 3	英意談判所討論僅為次要問題西班牙問題尚未提出討論
page 3	俄輪船主被日扣留判罰
page 3	日軍事當局發表華中內河航例須得日當局發給許可證
page 3	美國煤油商產業被墨政府沒收
page 3	赫爾演說鼓吹各民治國相互團結孤立派人士對赫爾演說未生反響
page 3	希特勒下月赴意
page 3	我軍克復道口內黃
page 3	我游擊隊收復沂水
page 3	我敵爭奪滕縣附近高地
page 3	滕縣東南肉搏血戰
page 3	立陶宛軟化接受波蘭要求化干戈為玉帛波人額手稱慶立陶宛人民因屈服表示悲感
page 4	氣壯如虹
page 4	十二碼球
page 4	打成平手
page 4	今夕普籃賽鐘聲華南會師
page 4	今日網球秩序
page 4	今夕開始角逐記者首戰振華
page 4	培正鼎賽戰績
page 4	英美匯兌仍漲
page 4	昨尋常杯足球賽東方以三比三和西警南華兄弟對壘一場因雨改期
page 5	敵航空母艦移泊廣海昨又南駛傳泊新會崖門外不確
page 5	桂省府加緊發展全省對外貿易開發礦藏增加生產劃定梧龍邕三路線
page 5	難民會之最近計劃分組收容以便管理教授手工與救濟失學
page 5	廣州市各行商國防公債分四期繳納由市商會負責代收代繳
page 5	救濟當前糧食之種種息消
page 5	僑商陳乃果舉家捐款購機余總司令嘉獎
page 5	搾油業糾紛案社會局調處結果
page 5	黨政軍聯席會議改組動員委員會定期成立各行政區擬設區動員會各縣市亦設立動員分會廣州動員市民工作由總會指揮
page 6	一區稅務局佈告變更完稅貨物轉運證
page 6	收容戰區學生
page 6	辦理本年征兵
page 6	派員陳商財政
page 6	河南五鳳鄉鉅劫案之詳誌
page 6	今年的四月青年之少抗月
page 6	敵機轟炸各地續詳
page 6	廣三修復通車
page 6	炸沉清遠貨渡
page 6	汕市民眾組織
page 6	饒澄當局派隊嚴剿海盜
page 6	汕官商妥配營稅額此問題完全解決
page 6	南海農村服務團將在沙頭推動工作
page 6	停止遊神賽會
page 6	農婦一胎三兒
page 6	請纓未遂自殺
page 6	謀財害命慘案
page 6	慰問軍人家屬
page 6	暴敵蹂躪下三灶島之人間地獄敵兵在島上設置俱部業強搶婦女種種殘暴行為
page 7	學賑會舉辦換物會
page 7	惠青年會游藝籌賑
page 7	中大服務團抵鄭州
page 7	女慰勞會收到捐款
page 7	漸復繁榮之石塘嘴酒樓舞院顧客如雲
page 7	陳春圃宣慰僑港漁民
page 7	明日頒獎募捐隊員
page 7	金屬出口統計本港海關週報
page 7	聖約翰輸運車隊擴充
page 7	被壓迫住客應速據實情報對于業主不必多所顧慮屋租調委會已定期結束
page 7	陣亡將士家屬殘廢軍人後援會提案將轉呈中央政府推行中山大學戰地服務團已抵鄭州惠青救亡團定期開游藝籌賑會
page 8	　軍撲攻粉嶺一艦被擊沉沒
page 8	崎瀝山泥戰中大潭別墅陷落
page 8	敵艦轟港海岸右翼被迫撤退
page 8	港軍不能依時撤退損失重大
page 8	港軍反攻崎瀝敵方傷亡甚眾
page 8	敵方非待援至不易再舉進攻
page 8	全港貨車增加運輸費米行公所昨　應付辦法今日召集　主聯席會議
page 8	潮米店恢復拆家貿易未恢復者現有七十餘家米行零售店增至十六家
page 8	本港接生女醫
page 8	軍事演習第二日港防軍痛擊來犯之敵崎 山發生血戰敵軍損失奇重大潭別　淪陷吐魯港一度失守
page 10	農業專家設畜牧試驗場
page 10	本月份刑名案臬庭今晨開審
page 10	女郎誤服毒藥
page 10	昨日痘症統計
page 10	汛美機昨開菲
page 10	東莞商會新舊職員交代
page 10	孔教學院講學記
page 10	後備警隊徵求華員隊長曹峻安之談話
page 11	皖中軍民聯合續十八號游擊戰敗敵軍二敵軍四面受敵棄械逃遁報傳合肥失守並非事實
page 11	滔滔黃水滾滾東流敵偷渡難實現北岸華方軍民力足威脅日軍南岸工事鞏固到處駐有精兵
