page 2	廣東與共產續
page 3	孫寶琦否認辭職
page 3	意械已陸續由津運往三寄店
page 3	吳佩孚表示溫樹德渤海防禦使高恩洪膠澳督辦應立即發表
page 3	吳佩孚電請查辦熊炳琦
page 3	吳佩孚電令各軍注重川南防務川中川北暫主保守
page 3	劉湘赴東路督戰
page 3	趙恒惕嚴令湖南各縣不得擅由沈鴻英軍提款
page 3	宋鶴庚致函湘中某要人
page 3	陳炯明派胡午汀謁趙恒惕岑春　派溫宗堯謁齊燮元
page 3	閩海軍接杜錫珪密電飭各艦籌備出發孫傳芳亦於廿七日赴上游或傳將由海道往寧
page 3	使團覆京外部稱孫文並無向領團借款事
page 3	北京地檢廳送還財部奧債全卷羅文幹案已全結
page 3	孫寶琦辭職不確惟議員擬提不信任案
page 3	美使照會外部謂調查司法委員因各國尚未一致贊同須展期來華
page 3	東江前方之現狀滇軍四師紛紛進樟木頭湘軍輸運隊被截擊
page 3	外交界消息
page 3	駐葡代辦公使電稱葡國對華貨權歡迎已訂優待華貨入口條例數項
page 3	受僱各　員亦聯合向財部索薪
page 3	許部返省轉赴西江之忙碌
page 3	劉部開重要軍事會議各將領多不贊成回桂
page 3	許軍又有向順德發展消息
page 3	滇軍仍招人承辦麻雀捐統壹財政聲中之現象
page 3	某旅長之東江戰局形勢談
page 3	謝英伯有離開廣州說
page 6	廈門中日交涉　大續
page 6	湯漪再論國憲書
page 6	湖南行刺案竟成疑案
page 6	不易解決之杜溫爭潮續杜溫背後為洛寧京政府不敢左右袒
page 6	張作霖不准俄船懸三色旗
page 6	北京曹錕之命令
page 8	粵商團軍議決改編
page 8	財政廳收入之減少
page 8	孫文提解鶴山縣長
page 8	西江柴價飛漲之原因
page 8	香山公會集議自衛航行
page 8	新訂國際匯兌辦法
page 8	省佛銅器行之官訟
page 8	美國飛行機欲到汕
page 8	船隻入汕頭者須知
page 8	收回手票第一期數日
page 8	江門油搾罷工之醞釀
page 8	三團體禁銷偽手票
page 8	　員被劫
page 8	廣州政府命令
