page 2	汕頭風災之慘象
page 3	黎元洪辭職案
page 3	昨參議院因不足法定人數延會
page 3	王寵惠昨就代揆任隨出席閣議並通電聲明代至唐紹儀到任為止
page 3	外交顧維鈞海軍李鼎新交通高恩洪均已就職惟張紹曾高淩蔚田文烈張耀曾尚未允就
page 3	曹錕保王毓芝任煙酒督辦
page 3	內務部長有由孫丹林代理說現田文烈上辭呈黎元洪派員送還田謂內務關係此後選舉請勿任彼
page 3	旅漢口贛省同鄉會七日電京保洛三方面請撤退援贛軍賑撫潯陽災民及潯陽商會代表程鵬遠等十二人分赴京保洛請願撤蔡成勳
page 3	上海船員罷工昨寧紹三北
page 3	及各小公司均已解決開行招商局亦將磋商就緒瞬可照常行駛又閘北絲廠女工要求減少工作時間一節亦已解決照常開工
page 3	聞吳佩孚電某議員反對唐紹儀內閣電內有金永火來洛余曾表示反對金回京後猝然發表不勝奇異等語
page 3	黎元洪因吳佩孚反對唐紹儀內閣有擬撤回同意案改提王寵惠說
page 3	閩李厚基電參陸處謂海圻海琛肇和三艦將駛入閩江請設法阻止
page 3	聞海圻海琛肇和得陳炯明允許駛出粵境派員與杜錫珪磋商北歸條件并請接濟軍餉
page 3	顏惠慶近表示除使英外餘不就
page 3	贛紳請將潯陽兵變之團營連長一律槍斃並賠償損失
page 3	孫中山赴滬之別報
page 3	北江粵軍返省之情形
page 3	又擊散香山民軍
page 3	省議會不能正式開會之別因
page 3	東方商業銀行成立近聞
page 3	東華醫院籌賑紀事
page 3	澳門近狀之西訊
page 5	李厚基最近　佈置
page 5	曹吳覆贛人反對援贛電
page 5	輪船過險
page 5	徐東海難免吃官司
page 5	汕頭風災之籌賑聲
page 5	銀價
page 5	傳染症報告
page 5	威海衛取消香港為傳染埠
page 5	搜獲印舖票機件
page 5	華商總會籌議賑災
page 5	騙案
page 5	省港澳輪船公司派息
page 5	大錢債案
page 5	鐘聲社籌款賑災
page 5	攔途截搶案詳臬
page 5	被控當偽金　
page 5	竊案
page 5	小童在街打波被控
page 5	私煙案
page 5	軍火案
page 6	黃強述戰事經過情形
page 6	戰事消息別報
page 6	孫中山病狀續報　海軍消息孫中山病狀因
page 6	大剿新會民軍
page 6	居荷華人將盡被遣回國
page 6	北　之熱潮
page 6	上海要聞
page 6	瑣聞一束
page 6	粵路總理向陳　善道歉
page 6	香山擬雕木　縣印
page 6	香山縣公署稽核財政
page 6	調查處捕人日記
