page 2	　對於雙十節之感想
page 3	日使對魯案覆文經退　
page 3	聞李烈鈞與沈鴻英在湘聲交戰沈軍大敗派其子向趙恒惕求援趙無表
page 3	外訊陳樹藩攻陷鄖西進逼襄陽蕭耀南已派兵赴援
page 3	閣議促李士偉就財部總長職李仍　
page 3	外傳魯滌平程潛等在衡州集合自治軍三萬餘反攻岳州內部係譚延闓及民黨要人主持餉項就地籌撥子彈由粵接濟並推譚為總司　
page 3	張作霖電保王占元督魯
page 3	陳炳　到京謁見徐靳係由吳佩孚介紹京政府擬畀以將軍名　
page 3	優林兩次赴外部對車站文件認為妨礙中國治安經切實聲明以後不再有宣傳過激派行動現備續議商約
page 3	李兆珍長閩之運動因李厚基反對已無形打消
page 3	陳樹藩勾通張鴻遠襲西安為馮解散張部馮索費二十萬
page 3	田中玉催發表張懷斌為山東軍務幫辦
page 3	張文生催新安武欠餉百九十六萬部電准張自借三十萬
page 3	張勳與倪道烺密約倪代張運動蘇贛皖巡閱以倪統舊安武軍為交換條件
page 3	中法合辦震義銀行籌備已久額定資本王百萬已收足四分之一總行設在北京總董為張小松氏京行長為袁二寬徠氏并於上海設立分行
page 3	桂軍反攻武鳴之急
page 3	福軍統領因賭被捕
page 3	省議會擬請撤銷公路處
page 3	孫文之秘密會議
page 3	陳炯明將有肅清桂省之布
page 3	縫衣匠罷工續誌
page 3	摩托車主須知
page 3	酒牌局會議
page 3	車仔費新章
page 3	委任一束
page 3	銀行發幣月報
page 3	六月份財政
page 3	油麻地火警
page 3	化驗食品報章
page 6	汪精衛與通信社　
page 6	周震麟入相之希望
page 6	湘省長辭職　粵　
page 6	滬　　　團體　要電
page 6	西報紀南北政府與其將領
page 6	長沙混亂之京訊
page 6	陳獨秀在滬被捕
page 6	首批大會代表團登程誌
page 6	許世英出京赴任矣
page 6	總代表行期
page 6	趙吳電商中之直軍駐岳問題
page 6	太平洋會議代表中之客卿
page 6	張作霖使署發見煙土
page 7	提議撤銷北江護商隊　
page 7	南華游藝會演劇
page 7	雙十日孫文宴客
page 7	東莞知事被捕案三誌
page 7	馬庄巷口謀殺案已獲犯
page 7	解散駐桂香街之警備隊
page 7	粵路董事被控案已註銷
page 7	全省商會聯合會准立案
page 7	國慶日准通宵演劇
page 7	水上平民組工會
page 7	增設稅　之為　
page 7	擬定審計市債用途規則
page 7	周演明又為部屬辯護
page 7	瑣聞一束
page 7	令查潮州厘商違章苛抽情形
page 7	陽山紳商報告土匪為害
page 7	令禁鞋工滋　
page 7	沙捐總辦易人紀聞
page 7	新會著匪勒收田畝稅
page 7	假冒飛機師被拿
page 7	令剿開平會匪
page 7	葉舉派兵分駐封德
page 7	國慶日之犒軍
page 7	游擊營勇之搶掠
page 7	官地出售
page 7	皇仁書院游泳會
page 7	水務報章
page 7	神打術果能抵禦槍砲耶
page 7	銀價
page 7	　妄
page 7	青年會籌設支會
page 7	香港大學中國官費牛來函
page 7	聖保羅書院對於國慶日之慶祝大會
page 7	海員慈善會四週紀念誌盛
page 7	測繪工會歡迎名譽會員紀盛
page 7	文明結婚紀事
page 7	價值四十萬兩之上海大煙案判結
page 7	　　參與萬國賑濟俄饑大會
page 7	英造船業近況
page 7	國盟會閉會
page 9	京政府攻川和湘防粵之計畫
page 9	吳佩孚攻取夔渝之奢望
page 9	陳炳焜歸咎京政府
page 9	李厚基又向北方騙餉
page 9	李厚基與臧致平
page 9	捉獲陸榮廷之趣話
page 9	李厚基母壽餘聞
page 12	葡使將來粵交涉　
page 12	雙十節慶祝儀式
page 12	粵軍援桂近記
page 12	茶居東家罷業續聞
page 12	全國教育會大會展期開會
page 12	　會七日議事情形
page 12	港商請　
page 12	東莞知事被押續聞
page 12	煤油大王公子抵粵
page 12	南洋華僑教育後援會草章
page 12	騙妓案判監三月
page 12	創立青年會者之百週紀念
page 12	山票案平反
page 12	被控未滿期回港
page 12	收晒晾判監
page 12	軍火案
page 12	煙案
page 12	控討薪金案再押候
page 12	山票案判罰
page 12	偷船上氈被控
page 12	控偷酒案再押候
page 12	煙未納稅案
page 12	搶小童金　判監
page 12	拐案注消
page 12	賭案
