page 2	陳席儒之大政方針
page 3	黎元洪將容納吳佩孚意罷免張耀曾盧信以湯薌銘長農商結束鄂長問題
page 3	院秘書長擬任黃郛
page 3	民八議員已領款惟仍聲稱非出席國會不休
page 3	李根源謀政治討論會委員長
page 3	張其鍠即日赴桂任
page 3	桂省二百萬軍用票扣存滬關陸廷電政府釋放幣制局准放行五十萬
page 3	五日憲法會議被民八議員毆傷警長闖進議場王家襄受打秩序亂散會現王吳議長協商如再有闖進即逮捕交警今日眾院常會難免風潮
page 3	聞吳佩孚擬任張福來為榆關防守總司令前方軍隊概歸節制
page 3	黎元洪擬給民八議員勳章並定邀請茶會
page 3	潯陽兵變案參陸議決記吳金標大過一次免團長任金榜職營長關漢英陳公信褫職陳寶琛攜款潛逃並以部令通緝蔡免置議
page 3	府退回張英華二次辭呈並派員勸張出席閣議張已允暫代並擬任張傅易為財次
page 3	張英華決發特種庫券七兆半為過節準備
page 3	財政會議九月中開會已電各省區派表列席
page 3	武漢報界五日在漢萬國春開會歡迎梁任公黃任之
page 3	庚子賠款日拒絕停付英亦未經專門委會通過
page 3	五日憲法會議人數足護法議員將王家襄侮辱秩序大
page 3	亂即散會
page 3	聞政治討論會成立擬推李根源為會長
page 3	王寵惠因保定請撤蔡成勳善後事宜四字擬再辭職
page 3	外訊英法美日資本家擬投資於華不分京外一律彙案但要求一總擔保品
page 3	張英華昨擬就代部為四局索薪團圍困故赴府辭職並電保洛訴苦　說謂張已允四局員發薪個半月即赴財代部
page 3	吳佩孚語左右謂聯省自治徐佛蘇鼓吹甚力宜函勸止並囑諷示盧信張耀曾速見機下野免討沒趣一說謂盧信張耀曾如不退擬由黎元洪下令免職
page 3	四日北京電稱梁如浩昨偕助理員五人赴威海衛磋商收回該埠事宜
page 3	北京電稱直軍已抵霸溪譯音張作霖增加　州譯音之防軍吳佩孚飭令存儲大幫軍糧並命漢陽兵工廠日夜趕鑄子彈
page 3	同日北京電稱黎總統前派汪汝芝譯音赴津晤高淩蔚昨返京覆命謂高自問無應付財政現狀之才幹不允擔任財政總長
page 3	薩鎮冰來粵之使命
page 3	添兵赴湘助趙之消息
page 3	省長不赴省會接印之原因
page 3	省會歡迎陳席儒情形
page 3	銀價
page 3	同敬工會要求加薪近聞
page 3	租屋轇轕案判詞
page 3	請政務司令民平均用水
page 3	加增食水辦法
page 6	章太炎儆告上海民黨書反對孫黨聯直
page 6	張耀曾之內閣始末談
page 6	孫中山覆商聯會書
page 6	馮玉祥對於賀電之聲明
page 6	吳佩孚反對聯省會議電
page 6	劉成勳電告川亂緣由
page 6	章太炎拒絕貺儀
page 6	民八議員致孫中山電
page 6	海參威停發華工護照
page 7	省議員俱樂部之近狀
page 7	海軍艦扣留鹽船原因之補述
page 7	各縣法官之更動
page 7	政務廳長尚未定人
page 7	彙呈各區店戶被搶清冊
page 7	郵局通告
page 7	粵軍在四邑編募新兵
page 7	第二師拿　記
page 7	輪船撞沉鹽船
page 7	擴張兵工廠計劃續誌
page 7	楊坤如部增兵
page 7	省公署人員照常留用
page 7	省城搶匪又猖獗
page 7	潮安縣長請以工代賑電
page 7	主婦竟圖撻傭婦款項耶
page 7	影畫誌
page 7	開審行劫瑞億輪船案
page 7	妓婦打荷包之趣劇
