page 1	意希戰爭與蘇聯
page 2	晉南日軍出擾
page 2	豫南日軍受創
page 2	行政院會議徐堪任財部政務次長郭秉文任財部當務次長
page 2	羅斯福與威爾基
page 2	王外長歡宴蘇聯大使
page 2	馬鴻逵主席捐資設教養院
page 2	經濟部設澱粉廠
page 2	德代表團抵蘇
page 2	賴伐爾赴巴黎
page 2	蔣夫人文學獎金截稿期展緩
page 2	泰轟炸機二十架越入越南空界但未有投彈
page 2	英傳蘇聯有意與日締約以免有東顧之憂再對付地方威脅
page 2	在滇黔邊界中航機被擊落搭客九名有或死或傷滇越路客車亦被掃射
page 2	羅斯福總統發表演說攻擊共和黨領袖
page 2	波杜恩任新職外長由賴伐爾兼任
page 2	日向我國公司租賃輪船運鐵該輪為我政府沒收
page 2	浙東我軍克復紹興桂南連克龍州明江
page 3	英土兩國討論意希戰爭問題土努力防止保捲入漩渦英決以各種可能助希臘
page 3	蓋達聲述侵希理由
page 3	意機四架轟炸雅典
page 3	英國援希注重海軍
page 3	南國表示嚴守中立
page 3	希保交通經已斷絕
page 3	日本或將對希宣戰
page 3	意軍大批集中邊界
page 3	西在目前決不參戰
page 3	襲擊英倫德機數量大減料多　往歐洲東南支持意軍侵略希臘
page 3	墨希會談冬季進攻計劃注重地中海軍事行動同時亦不懈轟炸英倫
page 3	法國防委會名單宣佈
page 3	姑妄聽之
page 3	德意日同盟測驗器
page 3	墨索里尼的嗡嗡嗡
page 3	德商船槎航十號改為武裝運艦
page 3	越督肅清反貝當勢力
page 3	希臘實力陸軍六十萬人軍艦六百餘艘
page 3	魏勵抵達加港
page 3	意希戰爭範圍仍限於邊界區域希軍一部已深入阿境英軍在薩羅尼加登陸
page 5	以嚴密反封鎖
page 5	乘夜運回南頭
page 5	附日軍之駐地
page 5	鄉民學習日語
page 5	昨得寶安情報
page 5	粵振會籌辦運送澳僑回國再撥款護送港僑歸國請中央撥款辦米散振
page 5	瓊崖義民陸續到達
page 5	留日學生首批抵韶
page 5	桂省搶救越南義僑
page 5	港韶沿線嚴密護僑
page 5	廣州灣法官員多更換副總公使等被撤乘輪返越日檢查員二十人到達西營
page 5	粵籌備紀念防空節捐募慰勞物品慰勞空軍桂發行獻金獎券二萬張
page 5	博羅防軍協助農民救旱
page 5	粵省冬耕迅速開展預算本年可獲雜糧千萬公擔粵北五十餘縣現已成立農站
page 5	冬耕
page 5	水利
page 5	農站
page 5	寶安日軍奉令停止演習後深圳沙頭角日軍大部他調邊界情勢已趨和緩我軍仍握守寶太路加緊淪陷區之封鎖
page 6	反攻邕寧戰情續誌
page 6	瓊崖我軍襲三亞港
page 6	南路嚴懲貪官
page 6	正式宣佈收復南寧
page 6	東江來客談粵當局招致歸僑事由港地遞解回籍之囚犯亦當設法收容以免為患
page 6	赴湘日記四
page 6	曲江舉辦冬防嚴防歹徒入境隨時檢查住戶人口
page 6	桂嚴密保護湘桂鐵路路面積極推進職工教育全路各校短期內可成立
page 6	廣州西郊游擊隊活躍日車一列又被截擊日軍大舉搜捕鄉民
page 6	廣州槍聲再誌
page 6	粵下年度中心工作計劃各機關在草擬中
page 6	桂南連日劇戰我克復南寧欽縣日陸空軍聯合猛犯那香我軍增援反攻將日驅回小董
page 7	防空人員萬餘出動
page 7	各行商店提前收市
page 7	港督頒布動員命令
page 7	探海燈光交織空中
page 7	海陸空軍準備應戰
page 7	永樂碼頭炸分七段
page 7	假患敵機進襲市區
page 7	海陸交通大部停頓
page 7	大建築物中彈被焚
page 7	九龍半島多處中彈
page 7	第二次來犯被擊退
page 7	三次進襲亦被擊退
page 7	露宿救濟會昨議決募款建築永遠收容所並借用國家醫院舊址收容各區露宿之婦孺
page 7	日僑山口獲釋羈留兩月身體較前肥胖
page 7	連續性防空演習第一夕假想敵機三次飛襲港九市區兩次被擊退一度闖進偉大建築物多中彈救護員萬餘名出動海陸空軍亦齊出應戰市區整夜黑暗如黑代督仍親赴各地巡視
page 8	拐帶方法
page 8	躉藏機關
page 8	男女身價
page 8	出席國民大會澳洲華僑代表抵港黃襄望談當地僑胞近況
page 8	僑胞狀況
page 8	救國捐輸
page 8	發表談話
page 8	新督略歷
page 8	新任澳督泰海拉過港抵澳就職後即來拜會港督
page 8	改善待遇
page 8	團體活動
page 8	南華大學員生昨歡送鍾魯齊
page 8	賑聯會昨會議
page 8	是年罌花節取銷公眾祈禱
page 8	脫險搭客談英國皇后輪被炸經過該輪曾六次載客來遊本港人士均認為可惜
page 8	葉恭綽將赴菲工並往印度考古
page 8	婦女頻被截劫捕獲疑犯四名
page 8	破獲三字花廠六賭徒被重罰
page 8	住聯會決易名短期內開派棉衣
page 8	汕廈拐匪　淪陷區兒童每名僅值國幣數元攜來本港發賣約可得四五百金
page 10	體協會游泳部日內召開會議選定水運大會職員
page 10	德權鼎聯賽四組最近形勢
page 10	吳祺祥話文奎昨日抵港奎義臣因私　　與偕來
page 10	南華民眾歌詠班定期開始訓練
page 10	星島會昨會議足球主任易人
page 10	東方會戲劇部下月義演話劇鄧竹筠女士參加演出
page 10	友誼籃球賽消息
