page 1	英美蘇合作之表裏觀
page 2	越南日監視員柳澤墜機溺斃同機五法人亦同罹難
page 2	日外務省曲解羅氏意見菲人對羅意見亦極注意
page 2	蔣委員長發表一告全國青年書認識時代堅定信仰確立革命的人生觀
page 2	重慶又被空襲日機共一百二十架分隊轟炸近郊區域
page 2	偏關西犯日軍全線被我我擊潰皖南日軍圍攻齊山鄂北偽軍反正殺日
page 2	桂各界擴大討汪肅奸運動陣亡將士公墓由陳市長奠基
page 2	七七紀念日蔣總裁對美播講由蔣夫人譯成英語轉播
page 2	行都各界熱烈紀念七七並公祭殉難軍　暨獻金勞軍
page 2	全力以赴
page 2	徬徨煩悶
page 2	全國青年
page 2	英國正式答覆日本拒絕滇緬禁運要求日對英方如此答覆甚不滿意勸英政府對此問題再加考慮
page 3	亞力山得里尼法艦隊投標決定歸附問題馬田 尼格島現尚安靜大隊英軍艦巡防該處
page 3	奧蘭　件後法艦之今昔
page 3	一以行動答覆謠言
page 3	二法國海軍的力量及其素質
page 3	三奧蘭事件以後
page 3	岷尼刺日領控兩華報有礙日商務謂該兩報反對華僑買賣日貨因無中國商人指證控告失敗
page 3	交戰國雙方空軍互相襲擊英機一隊襲擊意屬加丹尼亞德意飛機分襲英倫及馬爾他
page 3	埃及英巡邏隊攻入敵軍陣線截斷基自來水管
page 3	英國空軍力量大為增強美國定機源源運到英自製機生產倍增
page 3	墨國選總統各地暴動死傷數百人
page 3	駐倫敦法大使未得絕交訓示情形殊覺可異
page 3	日憲兵被捕案日方否認道歉並謂日憲兵被毆打受傷日將向美當局提出抗議
page 3	羅斯福與巴里氏會談切實表明對總選態度但巴里對羅斯福態度嚴守秘密羅是否願任候選總統尚成一謎
page 3	泰國消息傳安南王被刺
page 3	英國嚴正表示
page 3	日本太樂觀了
page 3	顏露爾斥美日妥協安定遠東實賴中國美國外交政策協會發表報告主張美蘇聯合維持中國獨立
page 5	四邑交通最近情況
page 5	拉伕慘狀又復出現
page 5	九江日軍突又增加
page 5	侵寶安日偽軍昨又向上步鄉　七七紀念日日偽之戒嚴
page 5	我中順團隊充分活躍中日閥安籐派員視察抵大良時勒令舖戶閉門街外行人絕蹟偽警面壁
page 5	廣州日領勒令偽外交特署改易名稱偽外交特員改為交涉員
page 5	增城日軍圖犯小樓中途被我伏擊我團隊夜襲烏涌
page 5	沙田收穫宜予保護
page 5	台山發女界響應徵募夏衣布鞋
page 5	廣雲禪炭兩路我游擊隊活躍橋梁路面均被破壞
page 5	台山組織兵役協進會分設普通會員與當然會員兵役宣傳委員會合併工作
page 5	粵省府訂定職員扶助辦法
page 5	廣州灣浮言傳播中法當局最近之措施詳誌正式佈告禁運貨物前往華界汽車行駛亦遭限制防止遷移我游擊隊開抵寸金橋維持治安
page 5	西江日軍略增
page 5	限制遷移辦法公佈
page 5	布告禁運貨物離灣
page 5	我維持寸金橋治安
page 5	決組商團及特務隊
page 5	兩賑會之遣散難民
page 5	白蕉陷後四邑交通近況拉伕慘狀又在各地發現寧陽路鐵軌被日軍掠奪聞運往桂邊築龍州鐵路九江日增兵犯海口不逞
page 6	軍事概況大要如下
page 6	關於本省糧食問題
page 6	一部未能盡忠職守
page 6	粵桂越邊區展開劇戰我向日軍後方大舉反攻主力部隊挺攻扶南斷其歸路防城情勢突又告緊正激戰中匪徒竟糾眾械劫靈山伯勞墟蔣委員長電勉南路當局
page 6	龍州寧明血戰劇烈
page 6	主力部隊繞襲日後
page 6	粵省各界舉行七七獻金三天
page 6	獻金辦法
page 6	防城西南再起激戰
page 6	伯勞墟被匪劫詳情
page 6	高雷情勢略為弛緩
page 6	嚴緝合零零散匪徒漢奸
page 6	獻金種類
page 6	獎勵辦法
page 6	禁煙實行連坐
page 6	三水岡根發現日軍官屍
page 6	民廳派員視察四邑施政注重救濟與兵役
page 6	余漢謀報告粵省一月來軍事粵北戰事全線穩定江會大捷東線無大變動我軍反攻寶惠關於救濟米荒痛斥鹽運人員舞弊
page 7	陳鑑坡報告書
page 7	顏成坤報告書
page 7	羅棟勳報告書
page 7	護督史美訓詞
page 7	英後援會會議改期明日舉行
page 7	中華兒女參觀者極踴躍
page 7	各區炮台舉行射擊演習
page 7	義軍野外演習
page 7	市民疏散中各區空樓日增住客減租運動積極進行明達業主亦有自動減租
page 7	代督接見保良局總理三屆首總理分別報告任內局務代督致詞嘉許並希望繼續努力
page 8	華人疏散自動登記
page 8	英籍歐人強迫登記
page 8	婦孺到境岷埠廣播
page 8	美國水兵熱心招待
page 8	在菲婦孺通信困難
page 8	本港當局充實消防設備各區將增設抽水機各衙署已增置沙包
page 8	中國是反侵略鼓勵者
page 8	兄弟兩人被控拐帶女童十二歲女被幽禁山中
page 8	清貧學生求助旅費明日開始申請登記
page 8	八一三小販擴大義賣各界賑聯會昨會議定期結束賣花工作
page 8	德奧猶人今日離港
page 8	鞋匠被控行兇昨日初次提堂
page 8	港英澳間空郵暫由中航機擔任接駁第一架星期日已由港開出每星期一班郵費暫無變更
page 8	賊黨賺門械劫案提審女主及傭婦次第作供
page 8	誤殺疑案註消被告無罪釋放
page 8	一印兵突失蹤
page 8	貨艇一艘被劫
page 8	水塘撈獲腐屍
page 8	華人自動登記昨開始將由港府協助返自由區英籍婦孺繼續進行疏散
page 10	第四屆夏令籃賽今日揭開戰幕馬雲衢主持開球典禮高初級各有一場戰事
page 10	４０比４３宵來乙組籃球賽培英力戰挫青職青乙勝太古　晨鐘破紅鷹
page 10	安南米石源源運港昨又到安暹米船各一艘外客踴躍購貨米價微漲
page 10	南華游泳場七七遊藝會收入成績甚佳義款八百餘元
page 10	港澳埠際乒乓擬定比賽日期
page 10	乒乓義賽今夕七時上演地點在中青
page 10	足球總會定期舉行年會
page 10	九龍學籃戰訊
page 10	四川工業巡禮
page 10	日用品工業
page 10	遷川工業
