page 2	異哉孫文竟登廣告以賣國土耶
page 3	齊燮元來第三電仍主張招集新新議員惟吳佩孚表示不贊成
page 3	外團將提出要求外僑因戰事損失賠償案
page 3	赴滬議員擬向京國會總辭職
page 3	常德盛師取道閩邊入粵援
page 3	助粵軍前鋒已抵長汀
page 3	陳炯明代表謝超分謁孫傳芳王永泉請助共大偉夾攻廈門
page 3	廿八日趙恒惕軍攻破攸縣譚部謝國光向吳集退援湘北軍已進駐長沙原駐趙軍李正宗賀耀祖劉重威等部均調赴湘東應戰以北軍守長沙聞已將淥口譚軍擊退鄂軍胡念　旅第三團進駐安鄉南州與湘陰北軍成犄角勢令第四團直協同王都慶旅進取安福石門直逼常德劉敘彝派兵扼守鰲角山天龍谷一帶傳巳劇戰嶽麓蔡軍因領事團抗議已停止向長沙轟擊
page 3	漢訊王汝勤電吳佩孚稱援川軍尚足編七旅但須彈百萬始能反攻吳令暫取守勢俟定湘後再攻川
page 3	川訊李樹勳由培州退　都川第一軍正在追擊中湯子謨周西成在長壽會兵墊江鄧錫侯陳國棟兩師由鄰水赴保寧順慶會合田頌堯一軍間道由保寧截擊湯周兩部
page 3	孫寶琦閣同意案廿九晚已準備但三十日戌刻尚未送眾議院聞擬以顏惠慶長外交王克敏長財政李士偉亦活動此席新閣同意案或須俟議長問題解決後方可談到
page 3	路警有不設會辦說三十日參議院又推五人備發歲費
page 3	曹錕以十五混旅長王用中為保定防務司令
page 3	高木呈曹錕請將參戰借款本金五千二百餘萬及息由政府出國庫券將來整理外債時同案辦理
page 3	張作霖擬分九路檢閱東三省軍隊
page 3	奉天留日生　日人殘殺華僑慘狀憤而回國運動反抗
page 3	龍彥飭部分赴兩廣備活動
page 3	蘭州省議會援國會例主延會外界反對甚力
page 3	劇戰後之東江形勢
page 3	軍隊拉伕之慘無人道
page 3	西報評粵省政局
page 3	孫科秘密來港消息
page 3	江門西訊
page 3	水喉管又爆裂
page 3	本港大雨後之調查
