page 1	英法著重經濟戰
page 2	粵北戰情
page 2	晉省戰情
page 2	某司令長官暢談視察前線經過行程一千六百餘里沿途所見印象極佳
page 2	日機七十架大炸蘭州
page 2	沙　越華僑擁護領袖
page 2	豫東我軍再襲大康
page 2	老黨員曾克齊等電請中央緝拿汪精衛望政府明令再頒殺奸獎勵以快人心
page 2	英正式公布封鎖德貨辦法定下月四日起嚴格實施
page 2	樂景濤被挾持參加偽六中全會經過褚氏親自出馬誘脅形同綁票開會時汪精衛竟然指派執委
page 2	薛岳封翁定期安葬
page 2	滬附近日軍調防一空
page 2	由杭嘉出擾日被我痛擊回竄吳　嘉興
page 2	日軍犯南匯被我擊退
page 2	第三次全國金融會議下月在港舉行
page 2	德強迫工役制適用於保護國
page 2	日機夜襲豫境
page 2	巴城新報二次被罰停刑因刑載反日言論
page 2	渝哈航線定期五日通航
page 2	侵桂日軍攻軍勢已挫敗竄銀盞　日軍被擊退晉南殘餘日軍千餘陷我包圍中
page 3	蘇聯軍隊已準備行動蘇大批機械化部隊在列寧格勒區集合
page 3	佛教訪問團日記一
page 3	蘇方報告謂芬蘭挑釁芬蘭謂蘇施行侵略反欲蒙蔽世界公意
page 3	英商輪損失之數德方報告隔　實太遠英空軍確優越於德空軍英轟炸機配有活動砲位
page 3	美將有大量飛機運往英法美國在此戰爭時期對外貿易必更增長
page 3	德發明新牛痘能醫治痢症
page 3	美大使詹臣抵平傳美英日三大使將在平舉行會議
page 3	英空軍襲德機場
page 3	大阪梅田車站失火被燬損失約在十萬
page 3	德軍施用煙幕掩護步兵攻法軍陣地被法軍機槍手溜彈擊潰
page 3	英宣佈鹹肉牛油分配
page 3	法內閣舉行重要會議達拉第任主席各部長均參加
page 3	英有名大憲章運到紐約保待歐戰結束然後運返國
page 3	　機　英被迫降落水面
page 3	滬華人織造廠購進鉅量外棉
page 3	日傳蘇贊成改善日蘇關係
page 3	法海軍捕獲兩德商船
page 3	德俘虜七十三名載抵英西海岸
page 3	賀兩謂英法聯軍永不會被擊破
page 3	美其黨秘書召集共黨會議參加黨員六百人
page 3	羅斯福準備編造明年預算
page 3	中華日報供詞日採奴化教育禁各校研究三民主義希望學生忘記係華人
page 3	蘇芬風潮現正急速開展蘇宣佈放棄蘇芬不侵略協定蘇芬邊界有兩地點發生戰事
page 5	江會各線連晚激戰
page 5	粵北我軍反攻之劇戰鳳凰莊文嶺爭奪之激烈軍田獅嶺被我四面包圍龍口日軍再犯平山不逞
page 5	廣州灣方面救濟瓊崖難民近況西營　州難民大部已疏散難童經設校收容積極救災
page 5	日軍連日大拉壯丁
page 5	昨有日機六架狂炸淡水惠州
page 5	難民多向中山逃來
page 5	文化界組抗戰宣傳隊聯赴各地宣傳
page 5	瓊島我軍攻入嘉積
page 5	四邑各縣舉辦賦閑軍人登記分別予以起用
page 5	張發奎復兼黨政分會主委
page 5	羅翼群赴粵南組設行署
page 5	下月二日舉行
page 5	南海日軍昨擾西樵大棗
page 5	漳澎河面日艦觸雷沉沒
page 5	台上登記日貨
page 5	粵民應一致起來熱烈參加國民兵總抽簽兼軍官區司令李漢魂告粵省同胞明年一月一日至二十日全省舉重
page 5	新會槍決三匪
page 5	九江江門日軍一度騷擾江佛路圖牽制我新開新鶴兩路兵力盛傳日軍圖犯沙坪實無其事淪陷區日軍大拉壯丁之慘劇
page 7	登記米行共廿二間
page 7	入口每擔抽稅毫二
page 7	本港米食不虞缺乏
page 7	防空員之制服一律用深青色
page 7	南海同鄉會喚起邑人救濟桑梓為地方留一分元氣為人民延一線生機
page 7	交通幫辦警告汽車司機須依左上右落行駛
page 7	留營難民略減
page 7	商電准用密碼定下月七日起實行
page 7	中山同鄉會施賑員昨返港
page 7	的士增加車費行政局將開會討論
page 7	肺癆症之可怖去週死八十四人
page 7	庫務司昨返港
page 7	大道西大打架一路人被刺傷
page 7	牛池灣建軍營農戶奉命他遷
page 7	糧食統制專員斷言香港米食不虞缺乏入口米商登記者已有廿二家半年內可輸入洋米五百萬擔
page 8	被告之媳
page 8	用錢過多
page 8	以拳擊我
page 8	星洲政府再度限制商品入口本港享有特惠稅商品仍得領征書照常運銷
page 8	中青救護團兩年來之工作昨晚開餐舞會籌款
page 8	手持利刃
page 8	印警亞捷星強姦婦人疑案押候今晨十時再審
page 8	大埔一屋被焚
page 8	血案獲一疑犯
page 8	三拖船觸水雷
page 8	何明華昨赴滬
page 8	聖雲仙會明日賣花籌款
page 8	港僑自衛團嚴防冒名勸捐昨日公布募捐條例
page 8	高級學界籃球賽民大榮膺冠軍培英力抗以十九比廿九失利
page 8	張寶樹昨日逝世
page 8	英海軍尋覓水雷
page 8	征菲女籃球隊將再來一幕義賽各隊員今日集中聆訓
page 8	公開排球賽各隊最近形勢
page 8	宵來籃球戰績
page 8	淩風社舉辦乒乓團體賽會
page 8	記者籃球隊今日出戰培英
page 8	高級法庭提審殺媳案被告之子葉文直認曾毆其父羅棟勳大律師謂其罪大惡極
