page 2	廣東善後問題
page 3	傳太原兵變
page 3	盧永祥王永泉臧致平保朱泮藻督閩
page 3	眾議院定明日討論取銷廿一條款問題並查詢政府目前次眾院決議後辦理此事若何兼討論金佛郎案
page 3	政府拒西班牙援法例要求金佛郎賠款言准以金佛郎賠法款者係因法退讓賠款為中法銀行及教育之用故以金幣報之不能援以為例
page 3	贛訊陳炯明代表參與贛州會議陳所提條件一改編陳部接濟械餉二必要時請贛省實力相助三陳仍任林虎為總指揮仍退駐贛境蔡成勳欲陳部助已拒某鉅公回贛有均已應允訊
page 3	劉存厚攻成都被賴心輝擊退楊森已向成都進發不日將有大戰吳佩孚紛派援兵助楊並接濟械餉甚夥另飛機二架隨行
page 3	廿七日閣議通過李思浩免緝不日即發表
page 3	參陸處促孫傳芳入閩並由財部飭閩稽核所撥鹽餘十萬
page 3	又有以武力解散陳軍之說
page 3	丁槐有因粵局變化中止赴粵訊
page 3	法使因金佛郎牽涉中法復業問題聲明如華觀望則中法銀行可由法獨辦決先復業但輿論咸謂紙佛郎與金佛郎皆法幣法不當拒紙
page 3	眾議院已列金佛郎案日程
page 3	國會一部份議員擬劾張閣但多數不贊成擬先由劾彭允彝入手
page 3	吳佩孚計劃決定收川後即移駐武昌再利用湘黔統一西南
page 3	吳佩孚電京工潮係某系主使請密緝主謀國務院電滬何豐林預防大罷工
page 3	中國改良司法未竣由外部電各國司法委員會展緩明年秋季來華參觀司法部通電各省務於一年內籌備妥協俾照華會議案與各國商議收回治外法權
page 3	交通部決京綏路接築二枝線一通新疆一通甘肅
page 3	內閣議決施肇基顧維鈞各回英美使原任
page 3	張紹曾復吳佩孚電如孫傳芳能入閩則先發表督閩令
page 3	吳佩孚聞張作霖聯孫大舉急電曹錕請暫拋棄選舉總統謀先備張故曹錕增灤州戍兵兩師
page 3	張作霖除派代表聯孫文外並派代表聯段祺瑞另與小幡越飛密議欲藉出兵為名包圍直軍但段尚未表示加入
page 3	接濟孫餉孫已招募夫役四千購米萬石決定入閩
page 3	潮汕軍隊有不受李烈鈞節制消息
page 3	大埔發生戰事之傳聞
page 3	令沈鴻英退防消息續誌
page 3	西江各軍駐地近誌
page 3	滇軍又騷擾新國華報
page 3	乍畏街命案再押候
page 3	新差抵港日期
page 3	清淨局會議
