page 1	今後之中德邦交
page 2	淮南我軍以合肥為據點向定遠池河全椒進攻我軍活動得手主力已將迫近全椒皖中之敵現據全椒和縣無為一線
page 2	新城日敵恐我襲擊
page 2	敵兵厭戰士氣沮喪
page 2	兩下店敵搆有工事
page 2	敵犯道口被我擊退
page 2	劉匪被我擊斃甚多
page 2	我便衣隊謀襲濟寧
page 2	我軍圍剿大馬廠敵
page 2	據蕪湖敵軍犯石硊鎮受創定海縣長率隊克復泗確島
page 2	華北走私變本加厲凡取軍用名義即可完全免稅
page 2	偽準備銀行短期無法開業
page 2	據滬之敵開始檢查郵件
page 2	蔣委員長電勗鄧錫侯
page 2	外籍隨軍記者報告臨汾失陷經過宋萬兩部不遵命令臨陣退卻衛部後方受敵威脅不得不退
page 2	英意談判將在羅馬舉行撤西國志願兵問題亦已在倫敦商議中
page 2	我游擊隊擊落敵機一架
page 2	日方否認建造裝甲巡艦
page 2	英大使定十五日來港
page 2	班禪大師追薦會定期舉行公祭
page 2	日輪開海參威無線電急中斷日方疑被蘇方扣留
page 2	乘敵注全力犯晉機會豫北我軍大舉反攻我克汲縣新鄉包圍封邱之敵敵後方受威脅西移之勢驟衰
page 3	海軍方面
page 3	空軍方面
page 3	傳日著手開鑿暹羅海峽緬甸立法院昨提出討論
page 3	舒斯尼格取締奧國社黨投降監禁兩途任其領袖選擇
page 3	陸軍方面
page 3	蘇聯黨獄寧連日開庭審問克萊斯汀斯基當庭否認罪名各被告直供叛國各驚人陰謀
page 3	因遠東反美事件影響美通過擴充海軍法案海軍委會對羅斯福國防政策絕對擁護並主張必要時授權海軍部取自由行動
page 3	美蘇機師參加轟炸台灣日政府對此事認為事態嚴重
page 3	張伯倫否認提議舉行四國會議
page 3	希特勒與英大使會談談話內容極緘默
page 3	日眾院開會情形大亂各議員攻擊末次失職日社會大眾黨提出彈劾末次正信案謂末次身為內相未能維持首都秩序
page 3	日將非正式供給造艦情報
page 3	美新聞業大王格立皮斯逝世
page 3	日動員法或將延緩討論
page 3	滬証券交易案現已完全了結多頭與空頭均兩無虧損
page 3	平瀋鐵道沿線敵軍禁種高梁防我遊擊隊襲擊
page 3	滬兇徒又向立報投彈傷華人三名
page 3	對繼續在戰區上課各校教育部頒發處理方案
page 3	法飛行跳傘家創跳傘新紀錄
page 3	日貴旅院核准經常預算
page 3	美競走家創世界新紀錄
page 3	濟寧之敵損失極大
page 3	鳳陽附近我敵發生遭遇戰
page 3	英白皮書發表擴充軍務五年年計劃明年三月間可完成軍艦六十艘飛機數量及空軍人材均告激增
page 4	哥靈登離港赴岷埠本週球事頓復舊觀特別銀牌比賽四華隊齊出師南華兄弟可操勝券獲準賽權
page 4	公開網球賽昨日因雨改期
page 4	培正鼎小球賽今明共有四場
page 4	男普通籃賽今晚開始角逐甲組一　同意改期
page 4	乒乓王在港最後表演
page 4	南華會徵求展期結束
page 4	友誼球類比賽
page 4	象棋界籌款購債預售比賽大會入場券一連三晚分五元一元兩種盼同胞踴躍購銷以裕收入
page 5	抗戰緊張中粵商業突呈好轉原因各省多來粵辦貨物中央撥款辦理兵險保障各工商業運輸
page 5	敵南侵野心未已加築陸水機場三處敵南侵空軍亦重新改編有加派陸機擾我交通訊
page 5	米商三次集會結果
page 5	官商間之會談略誌
page 5	省市商會協助進行
page 5	廣汕商人聯請救濟米荒續詳省市商會助進行
page 5	電影業勞資糾紛日內將可解決
page 5	中央令粵更改聯席會議名稱改為全國民眾總動員分會
page 5	敵艦多艘忽抵伶仃洋面敵未有向我進犯似圖阻礙我航線昨未有敵機來擾
page 6	桂省府劃地設難民墾殖區
page 6	組難民管委會推定正副主委
page 6	桂歡迎僑胞入桂開發礦藏
page 6	河南四十一約恢復警隊動機
page 6	黨政機關調處木炭風潮
page 6	檢驗出口蠶絲歸商檢局辦理
page 6	唐家灣視察記柒
page 6	新會各界昨舉行反侵略之火炬巡行
page 6	番禺灣頭鄉人賀土地誕發生慘劇敵機開槍掃射五人受傷
page 6	佛山火炬巡行
page 6	獲謀殺案疑犯
page 6	六都貨渡沉沒
page 6	伍應祺之消極定浴佛節披剃訊
page 6	三灶島偽軍逃亡日眾沿海常發現被槍殺之屍體
page 6	東莞太平各界慰勞虎門要塞將士
page 6	粵國防公債規定攤銷辦法續詳照救國公債比例分配市商會攤銷擬定辦法照救國公債欠額攤派
page 7	居民請願似須實現
page 7	託詞易主強迫遷徙
page 7	貢獻五項制裁辦法
page 7	亞細亞公司將建築大油庫
page 7	遠東航空校成績優美先後造就駕駛師百餘人
page 7	港澳航線將有新輪行走
page 7	庚款董事會議已完竣決定撥款救濟文化機關董事長朱家驊日內返漢
page 7	鷹艦醫官在星捕獲鯊魚
page 7	正按察司請捐助慈善會
page 7	帝航機未抵港
page 7	陳璧君昨抵港
page 7	本港各西報籲請政府制止加租社會輿論無法打銷業主牟利心政府應體恤受薪階級
page 8	惠陽工作團昨出發
page 8	學賑會最近之工作
page 8	南洋公司捐贈雨具
page 8	女服務團函陳維周
page 8	招待各籌賑會代表
page 8	看了東戰場判斷北戰場三我軍忠勇抗戰東戰場便是敵人的墳墓我們已有制敵辦法敵人決不能渡黃河
page 8	我駐日使館屬員章蒼萍縷述入獄經過誣以間諜罪名任意拘捕施毒刑廿餘次監禁三月
page 8	審訊經過
page 8	施以酷刑
page 8	獄中苦況
page 8	貝祖貽昨飛漢
page 8	住戶被匪入竊一人跌傷被疑作賊
page 8	騎士墮馬受傷
page 8	被捕原因
page 8	籌募將士雨具昨又得款萬惠陽青年工作團昨日已出發中國新聞社執行籌賑會代表
page 10	環遊世界巨輪利乃因斯或來港
page 10	國貨廠商昨歡讌許世英
page 10	中華國貨公司尚在籌辦中
page 10	本港痘症超過千宗蔓延之勢雖減惟數字仍頗巨
