page 1	希特勒和平演說之反響
page 2	壺關日軍向四家池進犯經我某部迎擊潰退
page 2	日政府決授野村全權解決外務省內部糾紛外務省高級官吏地位有搖動
page 2	蔣委員長就任川省主席王纘緒將赴前線參戰
page 2	津日軍用車被人放火
page 2	北平日辦新民報鼓吹排猶
page 2	外部否認宋子文駐美說胡適並未有意辭職
page 2	某將軍發表談話湘北大捷經過指出我軍獲勝兩大原因及我們今後慶注意三點
page 2	法總理發表激昂演說英法國將繼續戰爭到底不獲真正和平不放下武器
page 2	全國慰勞總會慰勞湘北將士撥出國幣萬元
page 2	湘各法團電委員長致敬
page 2	日駐意大使大島奉召回國以來栖三郎繼任
page 2	滇兩礦商捐寒衣五萬件愛國熱忱足資矜式
page 2	犯長沙日軍總退卻後我軍續向新牆河推進攻佔平江我軍又續克南江橋平江修水道上已無日軍蹤跡
page 3	英遠征軍不分晝夜開法俾與同盟軍共同作戰
page 3	英對希特勒演說發表正式聲明希氏詞句充滿虛偽曲解事實和平提案內容實甚空泛暗晦對希氏演說之各方態度
page 3	英大使抵重慶將與我政府商議中英間之新問題
page 3	波蘭新領袖發表演說
page 3	捷人醞釀組織政府以貝奈斯為領袖
page 3	德潛艇威力已漸削減
page 3	蘇準備將立陶苑拉入勢力圈內蘇立互助簽訂將成立又圖與芬土締新協定
page 3	美海軍飛機十四架出發演習目的地未明
page 3	英法在美定機經已製造俟中立法修正即可裝輪載運
page 3	太原一英籍醫院被日軍所搗毀
page 3	胡適在美發揮孔子學說
page 3	我軍收復菉蘭
page 3	粵北我軍克復平山
page 3	英法最高統帥部舉行聯合會議對外交單事雙方意見已趨一致交戰國如有誠意美願斡旋和平
page 5	漢奸冒軍圖誘譁變
page 5	日艦乘勢猛攻疊石
page 5	新開線日軍再度進犯蓮塘不逞我在鳳尾山與日軍激戰
page 5	石岐禁止人口入境
page 5	昨晨日機頻來轟炸
page 5	軍政當局全體動員
page 5	東路戰況劇烈一瞥
page 5	在湖洲見北台大火
page 5	廣州當押被迫恢復同業公會
page 5	我機隊炸毀西村日軍械庫自來水廠亦毀大喉
page 5	省府主席李漢魂為推進所屬各機關黨務
page 5	省府籌設各種布廠
page 5	廣九路中段激戰日軍犯塘頭廈天堂圍不逞林村樟木頭一帶我軍力充強寶安戰事沉寂淡水龍崗安謐
page 5	日軍取攻為守
page 5	犯天堂圍受創
page 5	塘廈戰事情形
page 5	瓊東戰訊我軍圍攻嘉積
page 5	公務員實行節約儲金
page 5	韶關擎天茶樓倒塌悲劇
page 5	粵公路處搶修軍運公路省府飭各縣府協助
page 5	合浦縣疏散人口物資
page 5	日軍沿東西兩路猛攻石岐　機昨在石岐及二四兩區轟炸當局禁人口入石岐檢查甚嚴密
page 7	陸靄雲氏致開會詞
page 7	十五日起實行出勤
page 7	灣仔區自衛團成立
page 7	秋季第二次賽馬華籍騎士大勝八場中竟有五場獲首名李文陶柏林被禁止出場
page 7	英大使卡爾昨晨飛渝在港停留僅數小時
page 7	紅磡區開首次大會
page 7	港僑自衛團正式成立本月十五日各區團隊開始出動主任勸團員嚴守紀律廉潔自愛
page 8	中國新聞學院今日行畢業禮
page 8	羅文錦續任非官議員
page 8	海盜又劫貨艇掠去財物約值二百元
page 8	新界難民待救當地紳耆將來港募捐
page 8	端納力讚我國新軍謂最後勝利必屬於我
page 8	九江匯兌
page 8	圖劫犯處徒刑
page 8	修正義軍條例
page 8	中大服務團舉行戶內獻花
page 8	九如坊血案疑犯詳臬
page 8	殺妾案昨續審
page 8	囚犯被毆斃案疑兇詳臬定讞
page 8	足球聯賽開鑼戲1比3東方挫光華光華賴十二碼破光蛋四比零南華華輕取香港會
page 8	公開華人水運決賽何本根創俯泳新紀錄今晚繼續舉行七項
page 8	足球聯賽第二幕南南對聖若瑟今午四時半會師加路連山李惠堂與大告山奴雙上陣
page 8	南遊日記四七
page 8	商會調查物價委員對評定物價之意見根據來價加以限制較有把握不問市情規定價格實難辦到
