page 1	書本港政府去年經濟情報後
page 2	日本對華態度非讓步則決裂
page 2	日本決定拒絕中國所提對案
page 2	韓復昨離京反濟宋派員謁韓商要公
page 2	華北日軍將舉行大演習平市居民紛紛遷避今井發表大演習計劃一連十天在演習期內必要時將佔用民房
page 2	南京方面同時舉行
page 2	國民軍革命紀念大會各方均派代表參加濟市長聞承烈致開會詞
page 2	蔣委長抵西安後召見張于聽取報告日方對蔣突飛西北又露暴躁態度日對華軍事外交或將有重大變化
page 2	各方均派員參加胡國葬禮各國外領亦多參加
page 2	財部修改稽查進口貨物辦法
page 2	蔣公壽辰獻機委會昨開常會通過捐款購機人應請獎案各方捐款達四百八十萬元
page 2	須磨返國請示後三相即召開首腦會議決定侵華對策與交涉方針許大使昨訪有田說明我政府不能接受日本建議並請日外相重行考慮日本之態度
page 3	意德談判內容謀與法妥協訂結公約聯成反蘇聯陣線並承認西班牙國民軍政府對國聯態度兩國互為聲援　外長今日謁希特勒開始談判
page 3	日軍謀在陝豫擴設特務機關
page 3	閘北滬西一帶發現日便衣隊
page 3	外僑藉名遊歷在杭另有企圖
page 3	日海軍祭典節昨日在滬舉行
page 3	中偽通航公司目前尚未成立
page 3	李守信張逆鵬兩部發生意見
page 3	叛軍迫近馬德勒舉行首次白晝空襲近郊一帶落下炸彈多枚
page 3	法急進社會黨舉行全國代表大會多數代表主張維持人民陣線
page 3	浙省獻機舉行命名典禮禮節極為隆重
page 3	徐永昌昨日由京返並
page 3	三省安瀾會定期在濟舉行
page 3	胡文虎將赴漢各界籌備歡迎
page 3	宋哲元歡宴綏署職員
page 3	劉鎮華昨晉京報告皖省政情
page 3	香翰屏等覲林主席致敬林對粵政垂詢頗詳
page 3	溫畫家陳依範由莫斯科返國中蘇文化會開會歡迎請陳講蘇聯新興文化
page 3	蓮池講學院聽講人限百名
page 3	京滬路首都特快車免費票不適用
page 3	班禪在果洛宣化返藏期尚未定
page 3	全國高教概況
page 3	比將贊成召開洛約會議
page 3	新西蘭下議院通過保護英航務案
page 3	德郵輪兩艘加入遠東航行
page 3	波外長下月聘問英　英予以正式招待
page 3	英建巨型機廿九機第一架已完成機內陳設富麗堂皇稱為天空瑪麗皇后
