page 1	再論日本南進政策
page 2	東戰場我軍活躍滬郊發生激戰浙西我軍展開擊戰術
page 2	邵力子準備五月赴任
page 2	客輪華民號觸礁沉沒溺斃搭客百名
page 2	永安發現奇麗日暈歷時半日異彩奪目
page 2	陳光甫謁羅斯福辭行將　五月初返國
page 2	南僑慰勞團抵渝盛況
page 2	阿根廷潦水為災財產損失極大
page 2	滬工部局納稅人年會定昨日在賽馬會舉行英美日等籍納稅人將全體出席反對增加各項賦稅百分之五十
page 2	德軍架橋窺盧森堡
page 2	英方決定扣留運丹貨物
page 2	赫爾贊成冰島當局要求與美締結外交關係
page 2	英後備兵提前入伍
page 2	西線德軍襲擊英軍防地
page 2	法當局繼續逮捕共產黨人
page 2	北歐戰事影響泊滬丹挪輪共十一艘遠東方面海運將大受限制關係於遠東商務利益至鉅
page 2	德秘密警察總監傳已在丹遇刺
page 2	德軍事代表團已抵羅馬
page 2	羅鐵衛團團員六十五人獲釋
page 2	蘇聯黑海艦隊開始演習
page 2	旅滬挪僑登記為祖國服軍役
page 2	駐華法軍司令昨日離渝返國
page 2	日國內反戰怒潮高漲反戰暴動事件東京日益增多
page 2	前方浴血方　後方豪華益甚當局取締公務員宴會喜慶款客以茶點為限因公宴客限二元五角
page 2	渝再發現漢墓
page 2	克復麻城後追殲殘餘鄂東日軍向福山逃竄贛北我克雷家廟向南昌挺進
page 3	荷蘭政府堅決表示
page 3	美對荷印極為關切
page 3	丹挪黃金向何處去
page 3	汛美聯會十三週年紀念羅斯福總統發表演說勸世界各國步武美洲各國為世界持久的和平而努力
page 3	艾登演講希勒並非狂妄者實抱有最大之野心
page 3	挪威克發生巷戰德軍後路被截斷登陸英軍已與挪軍聯絡
page 3	德國官方宣傳勝利
page 3	美船塢不足影響海軍擴充政府增支四千餘萬擴充各船塢之設備
page 3	德限挪王從速　降
page 3	比國不願接受聯軍保證
page 3	羅南保匈四國贊成警備多腦河建議凡可改變軍艦輪船不准駛入
page 3	挪軍展開游擊戰爭
page 3	侵挪德軍約共六萬
page 3	聯軍若加緊封鎖意有參戰可能聯軍現正考慮限制意貨輸入但對若干種貨仍有讓步可能
page 3	前一週內德損失船艦共十一艘共中有八艘係軍運艦　輔助艦英商船並無損折一艘　為　見
page 3	軍事委員會一週戰況四月六日至十二日
page 3	法政府對日宣稱不容侵佔荷印荷蘭當局表示決不放棄荷印英美兩國海軍將在遠東合作
page 4	入學的問題
page 4	長成了的童星莎梨譚寶正式入學的詳情中離開攝影場踏進正式的學校這是她生活上的一個大轉變
page 5	天河日艦企圖派兵登陸
page 5	前午日軍又犯中山八區
page 5	日軍前在黃涌登陸經過
page 5	中山日偽另設卡口抽稅
page 5	粵省積極改進兒童保育召開會議
page 5	粵北前線安謐如常
page 5	粵省各地登記失業教師
page 5	交通技術人員特准緩役師管區飭屬知昭
page 5	粵糧食會商定調節辦法推定常務委員草擬詳細辦法
page 5	太平日軍又侵擾黃松崗我寶安兵團向寶太路戒備大亞灣日艦已有多艘退去
page 5	大亞灣日艦已減退
page 5	日軍百餘擾黃松崗
page 5	新會崖西黃涌鄉發生驚人之謀財害命案死者為熱心公益之陳　和被綁擊斃後並劫去數千元
page 5	黃世途在四邑召開警衛兵役會議自術團隊統一組織
page 5	粵偽政府改組之紛爭偽省主偽市長聞已決定陳某任省主彭某仍任市長呂派爭取偽省委四出拉攏
page 5	一區專員公署嚴禁對過境人貨留難苛擾由倫陷區逃出義民多被擾以致行客戒心民眾多怨言
page 5	各屬保甲長須助郵件運輸
page 5	日艦屢向會天河窺擾圖打擊我控制江門之軍隊中山八區前日突呈緊張日艦迭向八區沿岸進擾日偽在中山另設卡濫抽貨稅
page 6	方得保送
page 6	參加抗戰
page 6	日機飛三埠肆虐荻海被炸慘況續詳各團體辦理善後工作忙碌三埠各民船規定時間寄泊
page 6	服務成績
page 6	日機圖破韓江封鎖
page 6	被炸傷斃六十　人
page 6	南海偽行政專員夫婦觀劇被擊
page 6	日機連日窺攏嶺東轟炸韓江圖破我封鎖汕海日艦突增日機連日演習
page 6	過境義民各縣不容膜視
page 6	免作日機轟炸目標
page 6	汕海日艦又有增加
page 6	期滿分發
page 6	訓練期間
page 6	粵各級幹部人員訓練辦法分現任人員與非現任人員兩種訓練期間最長六個月最短五日
page 6	受訓人員
page 6	受訓待遇
page 6	　中以上學生參戰獎勵辦實際參加抗戰軍事工作分三項抗戰有功者受獎殉職者受撫卹
page 7	趕工製造
page 7	貨品入星
page 7	紗價突漲
page 7	馳名普洱茶到港
page 7	留營難民續增較前週增五十四人
page 7	本港聯青社請蔣夢麟演講
page 7	商振會昨會議
page 7	青年會徵求會友結束打破十七年紀錄
page 7	寮屋被拆之貧民准在　頭角搭寮居住衛生設備由醫務局辦理並貸款貧民搭寮費用
page 7	成茂茶居茶客打架結果三人受傷
page 7	六個疑犯獲釋
page 7	誤飲鬧楊花湯少年發狂送院醫治
page 7	龍船灣海面貨艇被劫損失鎢砂牲口千餘元
page 7	九龍樂善堂籌建義學兩所
page 7	日籍旅客偽冒華僑被罰
page 7	小學學藝比賽改期下月舉行
page 7	本港痢症流行去週發生廿七宗死十人
page 7	星洲海關執行新例限制港貨准恢復入口貨品入口證書每年分兩次發給北歐開戰紗價奇漲廠商受打擊
page 8	硝石來源斷絕港爆竹廠泰半停工爆竹輸出額亦已銳減
page 8	越華僑服務團籲請捐助藥物杜其章馮蔚軒慷慨捐輸
page 8	干力島海面劫艇案再提堂
page 8	醫院接生學習節育
page 8	多胎產育及其夭折
page 8	開本港新紀錄保險銷貨場出現
page 8	優生學會年會定廿五日舉行
page 8	防止墮胎惡習蔓延
page 8	購桂皮之糾紛官准取消合約
page 8	踴躍協助
page 8	徵求傷兵之友各界徵求隊多已出發紅磡工商學組推進會
page 8	應注意者
page 8	造福社會
page 8	防空人員仍感不足港府勸市民參加訓練本月內又有四個防空班開課白晝防空演習將在中區舉行
page 10	港軍征越人選今日國會決定東方南洋之行已獲批准
page 10	小型球協會今夕召開會議商討港澳寒事宜
page 10	菲律濱女子籃球隊一行十四眾昨晨抵港現下榻銅鑼灣酒店
page 10	東方菲島歸鴻
page 10	南南渡海征光華結果兩無吃虧零比零各得一分島上霸蟬聯冠軍
