page 2	治粵芻言一
page 3	王寵惠電促法長徐謙農長高淩霨來京就職
page 3	陸榮廷請接濟軍餉中央電陸就地自籌
page 3	曹錕吳佩孚賀新閣電已到各省賀電將續至
page 3	昨有令准唐閣總辭職令王寵惠署閣顧維鈞長外交孫丹林長內務羅文幹長財政張紹曾長陸軍海軍李鼎新司法徐謙教育湯爾和農商高淩霨交通高恩洪大理陸董康董未到前餘啟昌代
page 3	昨令俄庚子賠款俟緩交期滿應即停付
page 3	院部以十一月一日開財政會議各省區代表尚未到齊恐難開幕擬再電促
page 3	京師八校校長因教育費有著允復職擬下星期開學
page 3	漢口訊十九日各工團代表往粵漢路局提最後條件一釋被捕工人二撤軍警懲張苗三卹死傷賠損失肆承認前提七條王世　謂我極贊同但須部定
page 3	交部請發短期公債充煙濰鐵路長途汽車費
page 3	國會因閉會後派署閣揆擬提質問聞係張耀曾手筆
page 3	交長高恩洪因王承斌截留天津煙酒印花電報電話等稅已與交涉
page 3	劉震寰已啟程回桂三誌
page 3	葉舉將由惠返肇
page 3	葉舉電覆總司令之硬語
page 3	擬合設海防江防司令部
page 3	吳佩孚擬編楊森部為廿二師暫駐鄂邊相機人川
page 3	黎元洪十八日宴關稅研究會會員及各商會代表演說裁厘加稅年多六千萬
page 3	曹錕吳佩孚會電孫傳芳與劉成勳議和條件一劃一峽東西部為川鄂駐兵地二處置楊森所部三四五六條未詳
page 3	吳佩孚派彭壽辛部任灤州至軍糧城防務又令張福來部在天津馬廠集中策應
page 3	漢口訊鄂水陸工團昨聯電交通部速決粵漢路潮否則全體罷工
page 3	組織財政季員會消息
page 3	學潮尚在暗湧中
page 3	銀行代收紙幣存款之略情
page 3	本港颶風後情形
page 3	定例局會議
page 3	瑞益輪船劫案詳臬
page 3	一日之雨水
page 6	張作霖最近之言動
page 6	關稅研究會特別會議紀
page 6	昌興公司聯航巴黎之大計劃
page 6	靖國軍孤軍奮戰之報告
page 6	舊伴行竊判監
page 6	被控冒名代人驗眼
page 6	小錢債案
page 6	被控向艇家勒索
page 6	被控勒索案再押候
page 6	影戲賑災
page 6	青年會賣物會開幕盛況
page 6	皇仁書院籌賑進支數目
page 6	千里駒演新劇
page 6	遞解案
page 6	小販之換牌忙
page 6	竊案
page 6	騙案判監
page 6	和尚募捐被捕
page 7	令編十一年度預算案之例言
page 7	陳炯明近里餘聞
page 7	新廣州拉雜譚　
page 7	粵閩邊防吃緊
page 7	銀行存放紙幣辦法之續訂
page 7	總部艦務處有裁撤消息
page 7	省議員催發月費
page 7	南海縣議員提議禁娼
page 7	張醁村任市長消息
page 7	治河處坐辦仍委劉持
page 7	陳母祝壽再誌
page 7	潯州現尚安堵
page 7	桂商分送禮物於粵軍
page 7	遣送外省流落軍官
page 7	小　幣大角送商會封存
page 7	唐繼堯請討張開儒
page 7	被擄　溺水斃命
page 7	梧州商人停止辦貨
page 7	瑣聞一束
page 7	北京新內閣
page 7	中俄將有會議
page 7	前德皇續娶
page 7	長春日俄會議
