page 1	美總統競選之前夜
page 2	贛北我軍捷報頻傳進擊南昌包圍安義
page 2	滬華美晚報被迫停刊
page 2	滬西特警署即將成立
page 2	我與蘇美易貨協定推行極為順利我國國際信用地位穩固
page 2	法軍被迫投降由於奸細活動
page 2	鄂南我軍克兩要點
page 2	日兩派團體主張介入
page 2	行走中國意輪恢復滬溫航線
page 2	汪爪牙窺伺滬法租界
page 2	滬法界巴士車一稽查員被刺頭部中兩彈
page 2	羅斯福取消售艇與英原議
page 2	縣政計劃委會成立週年紀念
page 2	英空軍襲擊西西里島意機轟炸馬爾他
page 2	日機今晨襲渝被我擊落兩架餘機恐惶狼狽逸去
page 2	晉西北日軍又復蠢動
page 2	邱吉爾報告德法媾和經過雷諾事前曾徵英意見今後當努力以救法國
page 2	滬西徐家匯鎮交由日偽接管法人教會學校均未遷移
page 2	滬美當局宣稱美遠東政策並不變更傳美艦主力部隊已離開夏威夷羅斯福批准陸軍部軍事建設費
page 2	荊遠當宜一帶日軍迭遭痛擊受傷甚重我神勇機隊飛宜昌前線助戰
page 3	政友會總裁鈴木逝世
page 3	加拿大戰時預算將達十九萬萬元以上
page 3	英未要求埃及正式向意宣戰
page 3	日兩右源團體主義改變外交政策對歐戰放棄不介入立場醞釀政潮反對米內內閣
page 3	德空軍將利用少呼響彈威嚇英國居民
page 3	羅馬尼亞一子彈庫爆炸
page 3	美國共和黨舉行代表大會討論下屆總統候選人及政策主席對羅斯福施政多所批評
page 3	日稱一部分日艦隊開華南及海防監視越南邊界運輸情形
page 3	德難民奉令恢復故居
page 3	汎美洲會議將在古巴舉行將有提議收買西半球列強屬土使之成為汎美聯盟委任統治地
page 3	加拿大軍隊協防荷屬西印
page 3	日委原嘉道博士繼任樞密院長
page 3	英倫各地發出空襲警報情形緊張為向所僅見倫敦區尚未有落炸彈
page 3	阿根廷國會討論擴充海軍
page 3	傳蘇軍侵入比沙拉比亞州
page 3	法民族委會領袖哥里發表廣播雷諾亦將參加該委會法艦隊一部已投英國
page 3	蘇報抨擊法反動派
page 3	滬法文報主張戰爭
page 3	英論抨擊貝當政府
page 3	希向國人發出宣言
page 3	法投降後準備還都
page 3	法意休戰協定簽字法境戰事完全停止德準備以閃電戰術進攻英倫今後爭局將由陸戰移向海空
page 5	寶安傀儡醞釀出演
page 5	寶深公路日騎被襲
page 5	日偽兩路仰攻惠州
page 5	淡平路上展　血戰
page 5	我方增兵保衛惠陽
page 5	西江戰事漸緊廣三線日軍運忙日艦艇迭次肆虐均不逞我團隊襲金山寺獲戰果
page 5	華僑回國保護中之代價
page 5	襲金山寺獲戰利品
page 5	日汽艇圖登陸不逞
page 5	南番順三縣縣政府之近況
page 5	大良日軍調容奇中途遭我狙擊
page 5	軍用地圖詳細分析
page 5	省營工業管理局調查粵北工業
page 5	招待省參議員席上王俊將軍報告殲日經過此次戰果俘虜眾戰利品多追擊快李主席馳書慰問前線長官
page 5	南僑慰勞團已抵韶關
page 5	再度作大規模來犯
page 5	次則民眾助力尤大
page 5	並致函各軍師旅長
page 5	中山日機開赴潿洲島日運輸艦亦時赴該島
page 5	日偽分路圖攻惠州淡來路上血戰我軍源源增援寶深路口騎兵被我襲擊寶安傀儡組織偽持維會
page 6	從化我軍克南蛇頭
