page 1	美國不應再徘徊了
page 2	胡大使訪國務卿希望美再增援助
page 2	野村決年內赴美赫爾談美國態度
page 2	美遠東根本政策在防止日本獨霸
page 2	美對英再增援助天空砲壘亦出讓
page 2	英輪華籍船員不獲戰險津貼議員巴列說提出質問
page 2	比自由區與意已成敵國　屬剛果意僑被擄
page 2	意希戰事二次開展在德爾文諾一帶激戰意大批生力軍趕赴前線準備反攻墨索里尼又將更換在阿意軍統帥
page 2	英農部大臣鼓勵農民生產以減輕運輸擔負
page 2	新北愛爾蘭總理發表政見贊揚已故總理政　　續助英參戰工作
page 2	美下年度預算集中全力擴充軍備撙節其他一切政費
page 2	意報抨擊作戰失策
page 2	意亦發表勝利消息
page 2	意軍敗後加速增援
page 2	英機在希在戰興奮
page 2	阿革命軍襲意軍隊
page 2	英國助希向阿進展
page 2	美軍　工廠發生工潮美　府會商解決
page 2	在德英俘虜缺乏糧食英托中立國提抗議並購糧食運德接濟
page 2	英國商輪損失重大只靠美國供給
page 2	英准許恢復買賣外國有價證券
page 2	遠東時局動蕩中赫爾再申美外交方針維護合法國際秩序蘇大使將再訪美副卿日如承認汪政權美決再增對我援助
page 3	英對保預提保證軸心宣傳被揭破
page 3	土南保不附軸心希特勒無法援意
page 3	德結束徵求友邦蘇聯報特別注意
page 3	軸心國信仰漸失德蘇商務難進展
page 3	鄂中日軍千餘出擾鍾祥以北發生血戰粵漢路北段我軍衝入五里牌車站贛皖邊境我軍克至德以南吏部口
page 3	晉南日軍竄陌頭鎮
page 3	粵省日軍炮擊棠下
page 3	日照西南日軍被擊
page 3	前任台督小林定期反日阿部已飛回南京
page 3	河內美領被扣案日無滿意答覆美再提抗議越當局否認擬驅逐　領我在滇越邊界積極佈防
page 3	南寧各樣下月復課回邕市民已達六萬
page 3	奇俊峰抵蘭州
page 3	德意懷柔回教徒保護麥加朝聖團凡載朝聖團輪船可得軸心國保護
page 3	新任荷印日總領石澤昨抵泗水
page 3	日郵船由滬返菲將不經香港
page 3	美財政援英問題短期內難討論約翰臣中立法案本屆會議難修改
page 3	日　本洲東北發生劇烈地震
page 3	桂加緊進行如期戒絕鴉片
page 3	埃及陸相逝世
page 3	美政府設法嚴防第五縱隊羅斯福召集會議商討各機關聯絡
page 3	倫敦各地寂寞
page 3	東非洲下月發行巨額戰債轉貸與英政府
page 3	英仍維持三國貨幣協定尚未與美計劃恢復金本位制
page 3	羅當局　決政治犯六十餘均為前朝重要人物
page 3	阿根廷軍備擴充預算政府向國會提出
page 3	軸心外交攻勢失敗後英向保提供保證決維持保國獨立望比西尼亞自由復國羅馬傳西班牙將附軸心
page 5	日犯石牌被我擊退
page 5	日機四次轟炸茜坑
page 5	粵征兵順利月達萬二千名團管區副團長得由縣府推薦曲江依期實施國民兵總抽簽
page 5	東江各縣調節食鹽自兩運銷鹽價下降
