page 1	上海租界問題
page 2	桂南方面我軍克復那寥扶南日軍傷亡甚重粵南我軍襲擊龍口
page 2	新絳日軍出擾被擊潰晉西南我軍破壞張茅大道
page 2	八二七為教師節與孔子誕合併舉行
page 2	羅匈兩國今日開始談判會商割讓土地問題
page 2	贛臨川縣西瓜大競賽第一名重五十八斤
page 2	香港英籍婦孺一批疏散抵澳
page 2	贛南壯丁自動請纓
page 2	黃河堤壩發生缺口鄉民溺斃數千
page 2	土耳其感覺不安
page 2	荷印堅決的表示
page 2	松岡辭　職薦秋田任拓相
page 2	華中英國救護隊隊長巴格爾等抵重慶分訪我國政府各領袖
page 2	非常時期維持治安緊急辦法第二條各項法條之參攷一
page 2	李漢魂談粵政設施
page 2	當陽日軍回竄襄西我軍掃蕩殘日
page 2	轉瞬秋涼徵募寒衣總會向海內外同胞呼籲決定募代金一千萬元務於十月尾金部完成
page 2	滬各國駐軍司令會議傳會議已獲得結果英防區劃分由美日雙方接管
page 3	十四日空戰擊落德機廿六架
page 3	德跳傘部隊已有在英倫下降
page 3	德是否攻英在此兩週內決定
page 3	各地熱烈慶祝空軍節空軍將領電首領致敬周至柔演述三年來空軍戰績
page 3	英機襲德意德遭空襲損失奇重
page 3	英屬索馬利蘭戰情較前寂寞意軍由拉斯沿海岸　進被英海空軍所夾擊不逞
page 3	美朝野各界集中視線英倫大戰
page 3	不惜犧牲荷印煤油產區現已加強防禦力量倘荷印一旦受到敵人侵略可立將油倉油池　行炸毀
page 3	美海軍部急速進行建築三個後備海軍港準備應付東西兩岸之敵夾擊
page 3	法國海岸發生大火
page 3	印度總督由孟買往般納
page 3	意國攻擊希臘引起土人不安防意欲造成某種事變藉口增兵阿爾班尼亞
page 3	美士兵月餉增加由二十一元增至七十元
page 3	英巡洋艦一艘被德擊沉船員失蹤者三十名
page 3	蘇聯極注意亞拉斯加地位　蘇日可由太平洋擾美
page 3	聚利亞邊界完全開放
page 3	政友會宣佈正式解散協助推行革新日本政治體制
page 3	英皇定期祈禱希望國人一致參加
page 3	庚款留英學生轉留學加拿大因受歐戰影響
page 3	一德籍商輪欲駛　州附近被日海軍截留
page 3	軍事局面加緊推進德以遠射砲攻英倫昨天氣惡劣德機不甚活動
page 5	日機頻向中新窺伺
page 5	西江情勢內張外弛日軍連日調兵增援我團隊襲新街鎮南之戰果中央炮兵團分駐西江沿岸
page 5	日軍喧傳開放中山
page 5	我夜襲新墟
page 5	江會各線頻有接觸
page 5	寶安邊境日軍連日調動甚忙人數約共有五個大隊我大軍亦已源源南下向廣九鐵路壓逼日電戰事有一觸即發之勢
page 5	我游擊隊衝入大良城郊
page 5	省順源記渡被匪截劫被劫處在番順交界孖頭沙所謂西海聯防隊虛有其表
page 5	是夕
page 5	星夜
page 5	五日
page 5	日軍
page 5	日機在白坭墜毀餘波日軍指為我游擊隊用七九槍擊落
page 5	湘粵桂各路最近運輪狀況
page 5	潮陽東南無日蹤我軍反攻達濠
page 5	容良電船日軍小隊長墮水遇救拘去舵工索賠償
page 5	西江之佈防
page 5	我機炸禪炭線日軍　三路日軍車亦被擊
page 5	我機出發
page 5	炸禪炭線
page 5	中山八區情勢已轉緩和又喧傳開放中山之詭謀所謂中山縣府欲登記不動產圖誘中山僑民回鄉藉籌鉅款
page 6	增從我軍兩路出擊
page 6	粵省救濟事業之速進撥付振款已達百餘萬元加緊搶救義民救濟空襲
