page 1	再論美國之遠東政策
page 2	上月晉南大戰我軍殲日萬餘晉東南我軍迫近蔭城高平蒲池村為我克復
page 2	日軍九江警備司令藤堂高英被我軍擊斃日軍聞之莫不膽寒心悸
page 2	滬發生兩綁架案被綁者均學生
page 2	邵力子抵莫斯科
page 2	日對美態度逐漸和緩希望與美改善邦交維持太平洋之現狀
page 2	皖北我軍進襲鳳台斃日軍百餘
page 2	海內外各界通電討汪
page 2	粵北我軍乘勝進迫街口雞籠岡之役殺日官佐多名
page 2	兩項債票在滬抽簽還本
page 2	王曉籟抵貴陽
page 2	蔣季長嘉勉滇商李國材捐助醫藥費
page 2	中央促進陝省農村經濟建設貸款三千餘萬元
page 2	湘北我軍襲擊粵漢北段
page 2	豫北日軍竄竹林寺遇伏
page 2	桂南日軍受挫遺屍百餘具向沙井潰竄
page 2	唐柯三抵桂謁白崇禧
page 2	滬暨大教授沈星五被剌斃
page 2	電蔣總裁致敬
page 2	英機飛入德境轟炸各汽油廠在漢堡以南投彈一煤油廠被炸中
page 2	王逆揖唐就傀儡職王逆克敏在場交代
page 2	我日兩軍爭奪渡口襄河西岸展開激戰鄂北殘餘日軍向隨縣潰退
page 3	德空軍又襲英倫在那福克投彈有一德機覆墮
page 3	意大利假　戰參一
page 3	澳洲積極製造軍械
page 3	意煤油船在墨奉令暫停
page 3	加總理勗勉人民盡力協助聯軍不能容許基督教之真光被邪惡之納粹勢力所滅
page 3	意國的經濟力
page 3	倫敦對意匯價已暫停掛牌官定匯率無變更
page 3	英勸青年參加服務國防工作
page 3	美以轉賣文式接濟聯軍武器此種援助聯軍方法極得社會人士贊成
page 3	埃及之命運與英法相聯繫埃及內閣代言人表示若被侵略則必起抵抗
page 3	美國九十五個城市代表在美京舉行反戰大會援助英法但勿超過中立地位主張擴充國防但亦限於自衛
page 3	美駐歐艦隊寄泊葡京
page 3	日謀統一南美出口貿易工商省擬定一計劃檢查輪往南美貨物
page 3	倘意向土壓迫蘇願為土支撐土政府將提議修改國防法俾在戰時增加政府之權力
page 3	意國的空軍
page 3	拔佳鞋業公司被列入黑名單續訊
page 3	美亨利霍特廠研究新機製造美陸軍部徇其要求將一新機交之研究
page 3	德軍猛攻略有進展越過恩河一部德軍已被消滅聯軍防禦陣地確獲相當成功
page 5	南路日軍調回廣州
page 5	新鶴戰事轉趨劇烈
page 5	中山日軍幾已盡撤
page 5	三澳交通暫難恢復
page 5	曾同春談宣慰華僑經過海外僑胞抗戰輸將數已達二萬五千萬
page 5	去年九月
page 5	粵北大捷
page 5	離鄉別井
page 5	牛角等十六沙農民擊殺偽委抗繳煙賭費日軍放火焚屋達三百餘家
page 5	師資缺乏
page 5	傷兵慰問處募巾運動
page 5	桂米運到三埠救濟民食一區購糧會繼續購辦米價將回降三埠麵粉來貨稀疏價格目趨上漲
page 5	粵北我軍進展甚速攻入從化城猛撲神岡花縣我收復平山挺進龍口廣州外圍日軍急增援死守
page 5	花縣我軍續克平山
page 5	衝入從化展開混戰
page 5	克和睦逕猛撲神岡
page 5	粵省府組設省立救濟醫院
page 5	我游擊隊攻入疊滘
page 5	同室操戈台山橫水鄉劉姓械鬥爭田起釁發生爭鬥一區署長調解息爭
page 5	粵財廳開征第三期營業稅
page 5	新鶴線戰情已趨劇烈南路日軍調廣州北上增援中山日軍陸續撤退交偽軍踞守三埠澳門恢復航行仍然有障礙
page 6	粵北日軍慘敗後安籐赴前線圖振軍心連日召開軍事會議商討應付我軍反攻
page 6	粵當局籌撥二千萬元救濟全省糧食溝通外米來源並施行糧食統制戰區成立軍糧局負責軍糧購運
page 6	鶴山煙農多已改種禾稻
page 6	撫慰方面
page 6	宣傳方面
page 6	粵省展開宣慰軍人家屬工作側重物質精神上之援助使出征軍人無後顧之憂
page 6	粵鹽贛米互銷商洽圓滿陳煥章建議四項辦法
page 6	廣東省銀行籌設貴陽分行
page 6	粵省當局再申令禁賭博公務員違犯即撤懲軍警機關負責查禁
page 6	北江物質缺乏原因以苦力謀食者大受影響
page 7	徵募運輸輔助團現登記者已有五百人該團並非在港外服務英籍華人須重新登記
page 7	現祇限於華人
page 7	電單車通訊隊
page 7	何明華會督為猶太人請命要求政府准其留港
page 7	人才調劑協會港站開始徵求人才先登記專門技術人員考驗及格即回國服務
page 7	中大同學會組同學訪問團
page 7	英使夫人抵港
page 7	香港青年會國語班歡迎各界男女諸君參加全期學費二元四角廿四課能聽說國語
page 7	三萬餘人已受防疫注射
page 7	難童工藝救濟院籌辦慈善演劇會籌款院長徐謙昨招待各界名人
page 7	今日防空演習在中區分三個地點舉行
page 7	救債分會又募得萬餘元
page 7	比國本土已成敵佔領區本港政府昨日公布
page 7	陳光甫將來港
page 7	經紀接贓案被告上訴失敗
page 7	各界賑聯會議決七七售花素食教聯會售花併入賑聯會辦理預算今年成績當較去年尤佳
page 8	聖士提反女校辦音樂會籌賑
page 8	學賑會新職員
page 8	義勇軍織組女救護隊少莊英籍婦女皆可參加
page 8	平糶米已抵甬第二批開始購辦
page 8	國貨聯營公司在星設門市部
page 8	本港英籍公民會議組募捐特委會策動一切籌款運動臬司贊成募款購械
page 8	李門報告
page 8	喜活夫人
page 8	出席會員
page 8	五十餘萬
page 8	港政府委任令
page 8	澳門今日賽馬大彩票同時開彩
page 8	江霞公等參觀琴齋同人書展
page 8	日本青年男女兩人被控私售麻醉藥劑詭稱中國人寄居旅店
page 8	港九戒嚴區範圍擴大電話電報兩局機房均不許擅進太古　廠與各船塢亦列入禁區
page 10	宵來公開籃球賽甲組廣大壓倒培英乙組青乙勵行打勝仗
page 10	傑志會球隊今晨拔軍征澳一行廿餘眾軍容鼎盛
page 10	今日棒球聯賽好戲連檯上演中華出戰岷甸奴香港會對抗港啤南華對工程昨因雨改期
