page 2	邦聯與聯邦伍出兵權支配問題
page 3	閣議任陳炯明為援閩總司令未通過
page 3	膠澳商埠章程廿一條總統交議結果分交各部簽注再提王家襄宣告拋棄決選楊永泰全走蔡復靈劉哲兩派駁論亂打蔡劉皆受重傷
page 3	趙恒惕覆蕭耀南岳州增兵專為防川無他意
page 3	吳佩孚在洛陽召集七省聯防會議討論援閩防浙
page 3	劉冠雄電辭閩省宣撫使黎元洪覆電慰留
page 3	蘇皖邊境形勢嚴重齊燮元請假不准
page 3	吳佩孚密電保李玉麟任皖省裁兵監督助馬聯甲一說謂恐蘇齊藉皖亂擴張勢力令將下
page 3	黎元洪派齊耀珊赴奉天勸張作霖取銷天圖路約毋喪失
page 3	國家權利
page 3	贛人開會慰勞財政廳文群又擬請謝遠涵在京設辦公處就贛省長職
page 3	直隸各界發起查賬省會擬迅速通過曹銳報銷賬目各界請願國會並將通電全國
page 3	國會議員及津派請顏惠慶組閣方請黎元洪提顏閣案一方派人赴石家莊迎顏
page 3	朱深十日抵津謁段祺瑞蕭耀南因豫匪猖獗電各軍嚴防
page 3	黎澍由滬到漢擬即返京
page 3	商會聯合會因滬代表馮少山侮辱報界十二日致函道歉
page 3	湯節之因女書記席上珍案十二日被檢察廳拘去
page 3	閩訊李厚基已離鼓浪嶼行蹤甚秘
page 3	馮玉祥去後豫匪益熾豫人請政府嚴令責吳債孚張福來肅清
page 3	阜陽紳商呈政府倪氏藏軍械甚夥馬聯甲故意縱容今反供匪用塗炭地方罪無可逭請查辦
page 3	十三日閣議張紹曾提頒討許崇智令聞因李厚基代表胡恩光極力運動李鼎新羅文幹均反對不歡而散張擬令送府並保陳炯明任討許總司令黎元洪堅拒將打消
page 3	林森與黃大偉衝突被迫離席即赴倉前山宣佈辭職各軍正設法調停請許黃軍移駐城外
page 3	福州領事團電京福州游民全入軍籍北軍安福民黨均非閩人所喜但無力使退閩將被三者分割
page 3	羅文幹宣佈財政計劃及任內經過本月到期外債六千萬本利無著各國要求總結賬今後不借款已到外人干涉地步
page 3	堰匪為靳雲鶚軍擊出路線十二晚通車
page 3	十　號漢口電
page 3	鍾榮光亦被人狙擊
page 3	運兵往梧絡繹不絕
page 3	熊略全部已出發西江
page 3	漳州已發生戰事之電告
page 3	調李炳榮赴汕防守後方
page 3	鄧伯偉任市長之呼聲
page 3	搜樓拿人
page 3	打單勒索又聞
page 3	助賑潮汕風災賣物會聚會
page 3	汕頭甲商學生旅行到港
page 3	本港銀行家赴滬
page 6	　閣外交　　關係
page 6	李厚基高全
page 6	反對加郵之交部覆函
page 6	孫中山為金韓被殺致齊蕭電
page 6	王林電告就職
page 6	稟請報窮案續聞
page 6	梅訊
page 6	私寨案
page 6	銀價
page 6	渣打君回港
page 6	蘭言會廿週紀念
page 6	懇親會紀盛
page 6	工商銀行請女界參觀婦女部
page 6	軍火案
page 6	竊案
page 6	私煙案
page 6	賭案
page 6	被控恐嚇勒索案
page 6	被解未滿期回港
page 6	華商總會聚會
page 6	打銀匠懷槍被控
page 6	貨車碰壞電車
page 6	智利地震續聞
page 6	美禁日人入籍
page 6	近東時局之緊急
page 7	肇省輪渡被劫續詳
page 7	澳門人數之驟增
page 7	葡兵強姦學生案已開審
page 7	張開儒離職他去消息
page 7	王定華部拔隊來省
page 7	西江軍事要聞
page 7	電告會擊黃明堂餘黨情形
page 7	汕頭設立無線電局
page 7	狄克博要求每天給伙食五元
page 7	李烈鈞之態度
page 7	熊略赴桂之任務
page 7	軍人插髒陷害之難防
page 7	附城東滘盜風之猖獗
page 7	控官案三誌
page 7	電控陽山縣長
page 7	冒兵擾民被拿
page 7	電報加價之通告
page 7	吳川人請派兵剿匪
page 7	小虫蛀禾之可恨
page 7	鶴山樓沖商人控縣長之呈批
page 7	瑣聞一束
page 7	旅省高要人設立公會
page 7	無軌電車之不滿人意
page 7	撤銷薯莨行厘商
page 7	警察獲匪之論功
page 7	舉報公產
page 7	番屬匪患彙誌
