page 2	非常議員問題
page 3	六日民八議員乘汽車闖進眾議院為門警阻止不得入徐　和李燮陽在議場仍持民八說被打扶出隨選張伯烈為副議長
page 3	將明令取締索薪團舉動
page 3	吳佩潢任國務院秘書長
page 3	吳佩孚對民八議員搗亂議場表示不滿擬　電反對後為左右勸止恐因此激起政潮
page 3	黎元洪招待護法議員茶話請願大局說謂奉天匯來四萬元津貼護法分子每人三百元由東省議會及聯省代表聯合會經手
page 3	　英華代部要求三項
page 3	昨眾議院警告議員今開常會須帶證章預防民八議員再搗亂實行戒嚴
page 3	昨午眾議院開會選舉副議長出席三百九十人張伯烈得二百一十八票當選褚輔成僅得一百六十八票故失敗
page 3	公府電孫中山及護法派議員磋商北上合併法
page 3	李烈鈞二日到長沙
page 3	昨憲法審議會
page 3	外部提民八後與各國締結之條約請國會追認閣議已通過又閣議擬任江天鐸為國務院秘書長被內外兩長反對無結果
page 3	內部取消治安警察法中禁止女子集會結社條文
page 3	宣統大婚定十一月十二日舉行
page 3	近聞川東已無戰事二軍多被繳械
page 3	在滬舊國會議員四日協議決定大部分北上一部分留滬處理事務並以法統維持會名義援助護法議員之活動
page 3	徐樹錚以關於統一之事致函吳佩孚其內容謂可以規劃統一之人物惟有段祺瑞及孫中山吳氏倘擁戴孫段則三年內當可統一此說民黨方面現亦首肯但此後徐吳能否捐棄前嫌歸於一致尚屬疑問
page 3	薩陳晤談海軍北歸事
page 3	被控向少婦打單
page 3	政務廳長已委定陳覺民
page 3	陳席儒催促陳炯明就職
page 3	維持紙幣又一辦法
page 3	股東被控無據放人
page 3	被控私鑄偽銀案詳臬
page 6	擬聘湯廷光兼任治河督辦
page 6	劉玉麟兼充交涉員
page 6	白逾桓北返之行期
page 6	軍官之更調消息
page 6	西關又發生暗殺案
page 6	胡漢民已赴上海
page 6	魏邦平最近之行蹤
page 6	高廉軍事要聞
page 6	資遣李朱所部軍官回籍
page 6	銅仙價漲
page 6	煤工又控煤東
page 6	瑣聞一束
page 6	省署公牘之清理難
page 6	連陽匪氛已靖
page 6	高明械　案近誌
page 6	請承抽女招待捐之趣聞
page 6	本港警務談
page 6	渣打銀行派息
page 6	九龍居民協會之籲請
page 6	閱書樓舉行開幕禮
page 6	巴西民主紀念
page 6	銀價
page 6	被解未滿期回港
page 6	被控打單案再押候
page 6	賣物賑災會續聞
page 6	軍火案照舊施判
page 6	此可謂善繼父志
page 6	碼子案判監
page 6	被泥壓斃
page 6	摩托車遭意外
page 6	拐案與報失人口之多
page 6	小故墮樓
