page 2	對日交涉大警告七亡國條約的痛史國恥紀念的公憤願我國民其無忘三日本第二次送交修正案
page 3	保洛電請任洪兆麟王獻臣為鎮守使
page 3	政府密派王寵惠與孫文接洽並派李茂之陸興祺司徒穎隨同協助均不日出京
page 3	不信任案參議院付審查
page 3	唐紹儀電張紹會謂粵局複雜疏解待時
page 3	羅文幹出獄與否須經今日閣議
page 3	吳佩孚贊成王正廷晤張作霖商對俄但言兼聽民意勿偏於聽張
page 3	吳佩孚電杜錫珪現籌發欠餉勿提鹽稅並請勿反對溫樹德粵艦隊總司令名稱
page 3	曹錕吳佩孚共保洪兆麟梅潮鎮守使王獻臣漳州鎮守使
page 3	閩上杭汀州間電線被軍隊割斷
page 3	張紹曾囑內務交通兩部會訂鐵道院專章規制視幣制局尤崇似為孫文預備
page 3	馮玉祥通電力爭廿一條及收旅大
page 3	不信任案未列二日議程眾議員詰吳景濂吳派決消極抵制
page 3	吳佩孚電張紹曾外長難久懸速提王正廷
page 3	審計院決禁兼薪經調查議員兼薪最多張紹曾不敢取締
page 3	覆駁日牒決定廿一條及旅大分為兩事三日閣議通過即發
page 3	湘鄂間雙方均有軍事行動前傳吳佩孚防趙恒惕說愈猛進
page 3	保洛電促沈鴻英勿觀望速平粵難
page 3	京傳達賴將到京商議藏務
page 3	張紹曾前擬致孫文之電一
page 3	日已發出首述孫開國功勳愛國熱忱次贊同裁兵政策儘有商量餘地末謂望即北來商大計
page 3	吳佩孚三十日電黎元洪張紹曾謂前任王永泉幫辦閩軍務原欲　縻乃王竟食言拒孫傳芳請嚴懲
page 3	吳景濂維持張紹曾非愛現閣係抵制某方欲自組國會內閣擬吳任總理褚輔成王正廷內務楊永泰財政溫世霖教育彭允彝司法王乃昌農商王家襄交通陸軍馮玉祥海軍李鼎新惟馮李非議員
page 3	蕭耀南二日由蒲圻繞嘉魚返鄂未赴宜昌
page 3	北軍抵南雄之所聞
page 3	帥府財政會議之詳情
page 3	瓊人集議拒債
page 3	食水缺乏之可慮
page 3	娶妾訟案
page 3	本港華人銀行之進步觀
