page 1	變化中之德蘇外交
page 2	美不難被捲入遠東戰爭漩渦
page 2	東亞門羅主義係空泛之論調
page 2	豫東日軍全部均呈動搖歸德在我軍圍攻中馬牧集亦為我收復
page 2	南昌日軍反撲與我展開血戰一晝夜間斃日軍千餘毀戰車二輛殘日回竄
page 2	諾斯與史汀生將出席海軍委會報告條陳其對於國防之意見
page 2	中央核定閩省農貸數額定為二千萬元
page 2	史太林或將向土有所要求蘇聯條件若太苛刻土有被迫而戰可能
page 2	信陽城內激烈巷戰
page 2	贛發現銅礦當局籌劃開採
page 2	備漢堡煤油庫被英空軍炸毀德一子彈庫亦被焚燒破壞範圍二百萬方碼
page 2	皖獎勵人民密告貪污
page 2	川參議員任期屆滿
page 2	安邱我軍出擊奏捷
page 2	我克邱家廟猛攻洋梓
page 2	我財部實施徵遺產稅
page 2	渝舉辦難胞小本借貸特擬二十萬元
page 2	倍立廈主張英愛合作禦敵
page 2	平津日偽各報主張接收租界
page 2	怪消息的透視
page 2	羅接納德保證
page 2	川省防旱
page 2	中正大學暑假招生
page 2	英內閣會開會討論遠東最近時局情形英不願犧牲中國滿足日本要求
page 3	德軍佔據英倫海峽小島島上居民受德統治謠傳敵在英倫登陸
page 3	宋子文在美欲見赫爾但尚未確定日期
page 3	美海軍部積極造艦軍艦四十五艘已簽合約趕建
page 3	德將假道西班牙進攻直布羅陀
page 3	倫敦兩主教勸諭人民團結應付嚴重時期試驗
page 3	格拉斯安尼任意空軍元帥繼巴爾布之職
page 3	赫爾對有田演說保持緘默
page 3	查里滿真紀念碑被德拆卸
page 3	俞星槎墮車殞命
page 3	日巨型艦一艘被我擊沉
page 3	穆逆被剌事件滬偽提出抗議向工部局要求四項
page 3	香港疏散人口到廣州者多人
page 3	哥里將軍在英重整法國軍備已季出海軍總司令官軍艦及空軍多已歸隊
page 3	皖南殲日二百
page 3	蘭各界歡迎政巡視團
page 3	王伯群等被偽府通緝又以恫嚇手段對待上海記者
page 3	德俘虜數百已運抵加拿大
page 3	上海市舊檔案將移交偽市府
page 3	輪船被德破壞共十九萬餘噸
page 3	意潛艇被擊沉前後達十一艘
page 3	英　聚利亞發表聲明如德意侵及聚利亞英必採必要之步驟
page 3	蘇立外長會談
page 3	美少將士太陵竟主與日妥協只　目前小算忽略將來大患
page 3	滬七七紀念推行寒衣運動
page 3	駐埃及前哨兵繼續與敵接觸
page 3	羅投入德勢力範圍宣佈放棄英法保證德蘇平行外交政策已達終點匈羅形勢和緩雙方磋商撤兵
page 5	加增團隊包圍白蕉
page 5	組設卡口勒收護費
page 5	江會戰事仍然沉寂
page 5	禪炭線戰事迭起日增兵犯大窩我張師反攻馮涌擊退來犯日軍日擾驛岡被殲我衝入白沙日營
page 5	禪炭日軍進犯大窩
page 5	我軍掃蕩三水日偽
page 5	嚴禁壯丁做和尚避兵役四十五歲以下一律不准出家
page 5	陳耀組在日人牽線下編成偽保安隊兩團東湊西集祇得偽兵五百餘人用人行政均操於日顧問之手
page 5	第四戰區經濟委會成立
page 5	財政金融人員高考定期舉行
page 5	軍委會政治部組退迴督導團駐粵分團部將成立
page 5	日軍官三人在佛山妓寮滋鬧被擊妓女良家同遭戲弄鐵尺手槍痛予膺懲
page 5	東莞萬頃沙匪偽激戰因爭收禾票起釁發生大激戰偽護沙隊被斃數十隊長重傷
page 5	日軍封鎖南頭邊界大小木船盡被焚燬我軍分路包圍深圳日軍難民回鄉經深圳之被困東莞縣長電旅港莞商會勸告同鄉勿經深圳回籍
page 5	邊界安謐
page 5	難民被困
page 5	封鎖南頭
page 5	日軍強令邵邊鄉供應牲畜匪徒奪而有之漢奸負責賠償
page 5	廣東財政廳頒發省款經費發放辦法
page 5	日偽陷白蕉後尚無進展祇有設卡勒抽來往船隻護費來往三澳輪渡已多忍痛復航江會戰況沉寂連日仍有砲戰
page 6	我軍一度衝入潮城
page 6	漁船十餘力戰日艦
page 6	我機飛襲嶺東日陣
page 6	省主席李漢魂歡迎南僑慰勞團致詞二提供意見望僑胞盡力協助抗戰廣東政治漸趨好轉足告慰僑胞
page 6	廣州日空軍練跳傘隊飛機損壞墮下魚珠兩機師一死一傷
page 6	南僑慰勞團一行抵桂向白副總長獻錦旗離韶時之情形
page 6	省府令各縣嚴防奸商售買賭具
page 6	桂林成立憲政協進會大會電呈總裁致敬
page 6	嶺東我軍節節勝利一度衝進潮城西門攻佔梯雲山下寺衝進西門斃日逾百我機連日飛嶺東轟炸收穫重大戰果
page 7	增派警探出巡市面連日大捕無業遊民
page 7	超過軍役年齡英人奉令參加防空工作
page 7	蔣夫人非赴菲
page 7	卓還來昨過港
page 7	文化中學服務團將回國
page 7	港軍事當局聲明英方無破壞英日協定對日方之指摘大加駁斥
page 7	英文中學會考下月中旬放榜參加學生千五百名
page 7	日機三架偵察中英邊界
page 7	衛生局昨例會
page 7	六月份之氣候
page 7	警探射擊演習暫時停止舉行
page 7	巨騙疑案續審原告續供被騙經過
page 7	諾爾頓少將主持港政諾氏原任印度英軍西區司令奉令後不久將離印來港視事
page 8	輔政司那魯麟談話
page 8	登記婦孺數逾三千
page 8	四華代表謁見代督
page 8	意籍教士奉命離港
page 8	有功華人家屬登記
page 8	赴澳輪客昨仍擠擁
page 8	保育院請領回兒童
page 8	帝航公司職員家眷
page 8	某鉅舶中途遇颶風
page 8	銀行存戶紛紛提款
page 8	歹徒勒索赴澳輪客警當局昨派探到碼頭驅逐
page 8	寶安難民僅千餘人返鄉多數仍留新界不去日迫深圳居民築路
page 8	羅湖站方面
page 8	沙頭角方面
page 8	賑聯會急賑
page 8	迫難民築路
page 8	爭領遺產案未了結誰是合法承受人尚須研究法官法意雞代新郎之婚例
page 8	海盜截劫貨艇
page 8	鬻子案昨判決被告兩夫婦入獄
page 8	拾獲實彈手鎗
page 8	香港英語會請顏惠慶演講
page 8	一號風球已下颶風從港外掠過
page 8	西商會請撤銷疏散令督轅昨召開秘密會議對於疏散計劃仍決定繼續進行並宣佈本月五日為大疏散問題
page 10	今夕公開籃球賽青年甲逢廣大華僑隊迎擊銀紅乙組記者戰青白
page 10	夏令籃球賽高級十一路大軍題名
page 10	學界排球冠軍決戰無期
page 10	南華二次水藝改期明晚舉行
page 10	九龍高級學籃賽各隊最近形勢今有兩場角逐
