page 1	劇變中之東南歐
page 2	晉西南日軍來犯被我圍殲中條山我軍攻克兩點據點豫北我軍連日猛攻沁陽
page 2	淮南我軍衝入無為縣城斃日官兵六百餘人
page 2	寶應日軍被殲四百
page 2	桂南行營公祭俞劉
page 2	亳縣砦首偽軍反正殺日
page 2	荊北日軍被我圍殲
page 2	洛陽各界追悼張自忠
page 2	銓敘部將定期檢查公務人員
page 2	各方討汪函電交馳
page 2	邕西財殘日已被肅清
page 2	日又擾汕尾媽宮被我痛擊同竄我攻沙頭角克數據點進襲三水衝入西南鎮
page 2	蔣委員長召見陳侯二氏垂詢發展僑　意見
page 2	張繡文任滇鹽務局長經已正式就職
page 2	童世亨被綁失蹤童為著名輿學　者
page 2	桂省舉辦戰地國民中學
page 2	羅馬尼亞的悲哀
page 2	近衛水中撈月
page 2	美組救濟團體救濟歐洲難民
page 2	巴爾幹外交戰仍忙羅馬尼亞將被屈服將以一部份國土割予匈保德軍一部由西線調到東線
page 3	美限石油廢鐵出口日本似無抗議準備惟以事實試驗美限制程度如何
page 3	軍委會公布一週戰況七月廿一日至廿七日
page 3	傳德已定下月中旬進攻德發明海上閃電戰
page 3	法前任空軍部長森畢拉氏抵美不願批評達拉第但頌揚貝當元帥
page 3	印度設立機廠製造軍用飛機
page 3	駐拉立美公使奉召回國報告
page 3	考克斯罪狀觸犯日本軍法
page 3	汎美會議五人委會對管理歐洲屬土問題意見已一致彼等現正起草一協定草案重申西半球各地有自決權
page 3	直布羅陀居民繼續疏散
page 3	日本重要團體聯合組織南洋研協會獲致天然資源並促　對外貿易發起人舉行會議決定工作大綱
page 3	瑞典商務戰事大受影響
page 3	墨索里尼玩網球表示無病
page 3	歐洲大陸將有大饑
page 3	美國東部氣候炎熱中西部勢死者數百
page 3	英倫各地擊落敵機四架
page 3	歐亞公司停辦渝鄭等線
page 3	國立戲劇學校奉令改五年制
page 3	近衛內閣國策大綱奢言建設大東亞包括泰國印度緬甸及安南強化德意日三國軸心關係
page 5	控制邕龍公路
page 5	又再進犯上龍
page 5	籌組桂省偽府
page 5	廣三路全線日軍戒嚴十天禁止沿線居民出戶佛山拉伕全市騷動
page 5	廣州日軍迫各鄉築路民窮財盡應付極感困難
page 5	粵發行公債千五百萬本月起發出償還期十五年半票面分萬元千元為無記名式
page 5	三水設火柴廠
page 5	廣州傀儡又圖欺騙僑胞籌設偽歸僑招待處
page 5	粵籌備訓練衛生人員畢業後分別派各縣服務公共衛生人員結業返韶
page 5	增設防疫站
page 5	韶關物價調查
page 5	設法維護四邑交通李郁焜蔣召集航商會議
page 5	日軍進駐槎頭
page 5	工商團體職員附逆懲處辦法停止職務依法懲治
page 5	欽邕線激戰再起我軍突破邕龍線兩據點日軍事上無進展圖作政治進攻明江發財墟日軍百餘被我圍殲
page 6	日軍增援石龍
page 6	日艇竄擾企石
page 6	破壞莞龍公路
page 6	廣州日軍拉伕數逾二萬不分晝夜出動強拉婦女難倖免所拉伕役調赴外省以防其逃走
page 6	前後合計
page 6	大舉拉伕
page 6	茗客正眾
page 6	反縛其手
page 6	賄給一元
page 6	乘夜強拉
page 6	擾攘情況
page 6	軍事行動
page 6	考古專家徐松石抵桂與記者談西南種族問題將赴滇黔等省繼續考察
page 6	中央幹訓軒視察員昨抵韶
page 6	寶安殘日不敢妄動增城日軍數百抽調石龍日汽艇擾企石被我擊退
page 7	今日入稟請停疏散
page 7	港府或須請示英廷
page 7	南路返國四條路線
page 7	炮兵演習日期
page 7	張似旭追悼會今日下午舉行
page 7	招致青年返國工作
page 7	粵省府徵用會計人才託廣州大學在港登記
page 7	沙魚涌貨運空前擠擁原有挑夫不敷分配運輸公司來港招僱
page 7	廣州商人紛紛來港搜購白米珠江河道貨船往來不絕港米價受影響迄未回跌
page 7	大小船艇入避風塘
page 7	基督教培靈講道大會已定下月初旬舉行
page 7	玻璃職業工會港府批准成立
page 7	商會同人大會已定明日舉行
page 7	颶風迫近本港天文台昨改懸五號風球
page 7	北角泳場提前關門
page 7	颶風距港僅數十里
page 7	杜四端家奠記
page 7	撤銷疏散命令英僑今日向港府請願昨一日內簽名參加者六百餘人港當局或須請示英廷始能決定
page 8	譚如輝庵被劫鉅款
page 8	另一尼庵亦被光顧
page 8	教育司令各校一律設避難室教學生認識防空方法教職員須盡看護責任
page 8	學校均須設避難室
page 8	路遇警報走　辦法
page 8	垃圾問題
page 8	中大服務團決辦平民義學十二間校　已擇定下月六日開課
page 8	六一統制來源銳減
page 8	中式簿記將受影響
page 8	本港紙商籌設紙廠
page 8	舊監獄改作印刷工場
page 8	我國限制紙料出口後本港土紙價格飛漲比前漲百分之五十港商籌劃設廠自製
page 8	黎　材昨抵港省立臨時中學招生
page 8	新界農產豐收
page 8	全港華探改配新式鎗械
page 8	北大同學會今日下午聚餐
page 8	公眾浴室裸婦狂哭衣服被匪竊去無衣蔽體回家
page 8	泉州輪減收客腳
page 8	道高一尺魔高一丈五強盜夜劫大澳尼庵比丘尼無力抵抗法身被縛所失銀物約值一千六百元
page 10	國幣毫券平穩
page 10	四川蠶絲業本年出產比前增進當局積極鼓勵生產紛設立蠶絲實驗站
page 10	四川蠶絲業
page 10	蠶絲實驗站
page 10	蠶種的改進
page 10	港啤隊實力太強昨輕取岷甸奴十一比三相差甚鉅十比七南華挫香港
page 10	東方南征足球隊今日或可抵港
page 10	中華會友水球八一開始角逐
page 10	公開
page 10	學界
page 10	夏令
page 10	籃球戰訊
page 10	英美匯兌略縮
