page 1	蘇芬戰爭之展望
page 2	掠奪華中礦產資源
page 2	統制華中鐵道運輸
page 2	獨佔中國航空事業
page 2	我軍克復澄海繼續猛攻潮安另一路衝入新會城巷戰
page 2	晉南我軍迭予日軍重創稷山日軍蠢動不逞我猛攻汾城激戰中
page 2	美銀行增資案眾院多數通過俾得借款於中芬兩國
page 2	土政府統制全國煤業希望將來出　額增加
page 2	上海巴士公司工人罷工要求增加米津
page 2	湘北天雨我軍活躍
page 2	皖南戰事猛烈展開
page 2	磁性水雷製造秘密已為英方發見
page 2	高宗武陶希聖再揭發南京偽組織賣國密約承認日方得獨佔華中經濟利益
page 3	赫爾邀約各國會商安定戰後經濟已有許多中立國響應但具體計劃尚未擬就
page 3	蘇州河以北各區警權問題日當局與工部局雙方已在談判中
page 3	贛北前線印象記三
page 3	英意經濟關係現呈微妙狀態雙方談判數星期尚未解決因意煤炭供給須仰給於德
page 3	菲律濱地位已成一謎日本威脅濟經困難難阻菲人獨立要求
page 3	羅南荷等設法阻止糧食輸出因發覺有人從郵局以包裹寄糧食往德
page 3	南大西洋英艦隊集合南美海面盛傳南美海岸外將有海戰兩英艦行蹤飄忽引起謠言
page 3	德允賠償華沙華僑損失賠款之額現尚未知
page 3	日在佔領區掠奪華中物質限制若干項產品運往上海由日政府託商行收買運日
page 3	法國銀行討論增加信用放款
page 3	汪偽政權又傳下月成立各偽院部長人選已定
page 3	王逆克敏辭偽委長職靳雲鵬杜門謝客不願與日人接觸
page 3	東北我游擊隊月來益形活躍迭挫頑日斬獲極多
page 3	天津麵粉價值暴漲係因商人囤積又因偽幣低折
page 3	美大使昨抵渝
page 3	蘇軍集中全力攻維伊普拉城蘇生力軍不斷開到前線芬軍完成堅固防禦陣地
page 3	西線前線寂寞
page 3	欖勿行夜冷
page 3	英國計劃擴大封鎖德國擬在加設站檢查由美運蘇貨物並設法阻止蘇聯運輸接濟德國
page 5	反攻古井情勢緊張
page 5	江佛各線最近戰情
page 5	容奇日偽發生內訌
page 5	粵財廳施行三項新政
page 5	整理捲煙稅
page 5	取締錢銀業
page 5	取銷包商制
page 5	廣州日軍造兵廠突爆炸傷及失蹤者數十名聞彈藥庫失慎所致
page 5	林偉儔來函稱贊越華僑服務團
page 5	日軍增到虎門太平日軍勒設偽維持會我當局已嚴密防備
page 5	三埠渡復航訊
page 5	三洲澳海面日軍追擊漁船日機轟炸鹿角
page 5	廣州菜欄大火詳誌被焚一百五十四家菜欄遷地之經過談
page 5	東莞縣長履新
page 5	寶安行政會議之決案實行建設新寶安自力更生復辦縣立中學校作育人才
page 5	台山舉行出征軍人家屬墾親週分贈春禮品金
page 5	台山各地流行脊腦膜炎病症當局注意防範蔓延
page 5	賭風影響僑匯　區專署嚴申賭禁
page 5	我團隊反攻古井戰情緊張我已佔奪附近高地獨洲鵝溪已無偽軍容可偽軍繼續反正發生內鬨戰事頗烈江門日艦駛赴彈壓一部偽軍調犯南沙
page 7	昨晨大雨旱象略解醫務局勸居民慎防水毒
page 7	中山青年會設街坊圖書館
page 7	香港置業公司獲利百餘萬元
page 7	萬生豬欄巨劫案開審主探官述拘捕五被告經過
page 7	海盜四名入獄主控官述彼等劫艇經過
page 7	勝斯酒店將建築新大廈
page 7	宵小入屋行竊盜去大批珍飾
page 7	廠聯會昨會議
page 7	三院新總理謁華民司面陳整頓各院計劃慨捐經費八千餘元
page 7	英艦遺失水雷
page 7	王正廷昨飛渝
page 7	日郵船淺間丸德客九名已移交次日方由英艦載至橫濱海面交付日仍要求交還其餘十二人
page 8	勸募慰勞金第四日之成績
page 8	史羅斯昨返英
page 8	運台賑米現仍滯留澳門因四邑交通阻塞
page 8	糖商會聯歡會
page 8	盧的士醫生任衛生局議員
page 8	本港法僑開賣物籌賑會
page 8	橫瀾海面劫貨案破獲男女疑犯八人昨日提堂
page 8	名駒沙甸禮主人伊力摩剌大談賽馬童年即習騎術及長為名馬主有名駒五十匹四子均為騎士
page 8	緊　情緒畢生難忘
page 8	沙甸禮紀錄難打破
page 8	寶芝騎術強勁可驚
page 8	　有良駒凡五十匹
page 8	大生杯排球賽明日漢中出戰平山本星期日英皇再逢逍遙
page 8	焯云杯小型球今日舉行決賽
page 8	籃聯會今開會
page 8	頌醫貴由衷
page 8	港九住客聯合會曾長廖炳泉謁華民司詳陳減租運動之原則與步驟該會加緊進行
