page 2	論羅案
page 3	昨閣議未成查辦京綏路押債案醞釀甚急
page 3	魯案細目大體決定或可如期簽字移交
page 3	王寵惠辭呈復遞謂屢辭不獲比羅案發仍擬暫留各方不諒懇准免署解職後仍留都候羅案解決廿八日經黎元洪批准高淩霨尚辭代閣但黎徇左右意將不俟高同意決先下令
page 3	吳佩孚政策以犧牲羅文幹王寵惠為限津派要併去孫丹林高恩洪
page 3	廿八日無閣議內閣負責無人黎元洪令各部總長輪流理閣事
page 3	廿七日公府會議王寵惠語黎元洪不免職亦不辦事
page 3	廿八日曹英土廷楨湯薌銘由津到京
page 3	吳佩孚定下月九日前赴保定
page 3	吳佩孚廿六日電王　寵惠述覆曹錕電羅案罪有主名不容含混當依法辦理毋所偏袒以伸公道又謂案發後消息多抵觸俟真相明瞭請通電詳述尊重司法保總統令譽端　此舉
page 3	怡和三井　七八洋行紛索還借款無法應付
page 3	鐵路加價滬甯一日起實行
page 3	黎元洪派人赴津請靳雲鵬組閣張志潭潘復等又活動並以奉直接近非靳莫屬為號召
page 3	梁啟超電黎元洪謂逮捕羅文幹遠法魑魅橫行市都吳景濂張伯烈太怒去電痛詆又嗾蘇籍議員電齊　元韓國鈞逐梁出境
page 3	實行稅捐加五補水之佈告
page 3	二十七日盧永祥對羅案發出長文通電當先聲明並不干政但攻擊武人幹預閣事批難郵電加價及募集公債主張以各種稅收抵押借款之招商局收歸國有並攻擊關於奧債之羅文幹及其他為之辯護者主張嚴辦滬上各界謂此為盧氏對吳佩孚之攻擊
page 3	上海電二十七日李烈鈞由香港抵滬黃大偉亦由福州來即晉謁孫中山報告　閩省形勢已告一段落現以福州為中心商務及秩序漸次恢復前經李厚基之擾亂財政上雖難復原狀但現在研究辦法李厚基餘黨僅有王獻臣勢力亦無足數省中政治之進行以民治為重
page 3	傳聞高淩蔚小允代揆將以李鼎新代汪榮寶廿六晚抵京據云駐日公使之任命未經提出國會倘政府提出得國會同意則將赴任
page 3	廿七號北京電
page 3	研究系活動擁汪大燮組閣各方多不贊成
page 3	薩鎮冰催發林森長閩令
page 3	日政府通過中國修正關稅
page 3	盧永祥廿七日通電羅文幹賣國罪成立詞意憤激暗有所指
page 3	商聯會廿七日開緊急會議對　案決以會名通電府院請持平辦理
page 3	公使團對於吳景濂張伯烈聲明借款須國會同意一函因與國會向無往來決退回
page 3	王承斌電責吳佩孚袒護士寵惠指為張作霖第二
page 3	黃大偉廿七日抵滬
page 3	陳炯明派員間道入閩運動軍隊許崇智得諜報嚴搜獲十九人
page 3	靳雲鵬在津籌劃曲阜大學決請康有為任校長
page 3	杜錫珪應吳佩孚召赴洛商援閩事
page 3	津訊段祺瑞病頗重
page 3	西路軍事之布置忙
page 3	援閩軍事之布置忙
page 3	外人向粵政府索賠損失
page 3	永和街劫匪判死罪
page 3	瑞安劫案捕去二人
page 3	查究瑞安輪劫案之委員會
page 6	吳景濂又迫總統免王羅
page 6	外報論羅案責任之重大
page 6	羅案已有水落石出之為　　
page 6	顏惠慶組閣之風說
page 6	芝加哥借款展期說
page 6	清宮喜禮
page 6	開審軍火案
page 6	被控製做偽銀紙案
page 6	捐助賣物會之踴躍
page 6	以仁心行仁術
page 6	控騙麵粉案再押候
page 6	銀價
page 6	河內展覽會展期
page 6	費路者化之展覽會
page 6	傳染症報告
page 6	梅蘭芳今日離港
page 6	被控窩留女子
page 6	違犯工務司則例被控
page 6	摸竊判監
page 6	被控私取皇家泥土
page 6	被控毆打查票人
page 6	婦人懷槍被罰
page 6	被控偷電
page 6	影畫誌
page 7	桂省軍人之態度
page 7	請何旅長移駐雷州
page 7	請免裁虎門守備隊不准
page 7	兵站總部扣留課員
page 7	各縣稅收已陸續解省
page 7	扣留撞沉油艇之輪船
page 7	任用警員須照章辦理
page 7	新會紳商集議維持治安
page 7	香山輾穀工潮近誌
page 7	香山縣擴充游擊隊
page 7	香山補選縣長將揭曉
page 7	香山古鎮之匪患
page 7	匪徒截搶軍隊槍械
page 7	華法分會請資助學生赴法
page 7	陸孟飛有接任瓊關希望
page 7	汕頭市長尚未就職之原因
page 7	南洋華僑請省署究追騙款
page 7	飭令撥還康氏物業
page 7	更正前聞
page 7	博羅規復船捐之擾民
page 7	欖鎮太平沙不太平
page 7	學生組織共動讀書會
page 7	近東會議
page 7	法國擬據德土之傳說
page 7	樹膠漲價
