page 1	論氣節
page 2	政院議決石友三主察劉汝明另有任用
page 2	華中Ｘ軍新司令山田由寧飛滬召集Ｘ陸軍隊長訓話
page 2	Ｘ不能維持漢口治安近日搶案頻頻發生Ｘ司令遁辭答記者
page 2	我空軍襲武昌Ｘ發炮及派機抵禦Ｘ對此事加以否認
page 2	鎮江日人戲院放映汪氏電文觀眾咬牙切齒報以嗤之聲
page 2	平津舊歷年禁止燃放炮竹ＸＸ已出佈告
page 2	捷匈糾紛暫告妥協同意設中立區雙方並定期交換俘虜
page 2	贛省婦女參加抗戰工作
page 2	淞江口外外輪時被海盜襲擊
page 2	許世英昨抵渝即謁孔院長報告並出席政院會議
page 2	美外交協會稱德美衝突可能性增加近來德國不復攻擊法蘇捷而專以攻擊英美兩國為事
page 2	崇明縣長陳庚堯率部克復啟東
page 2	汪精衛化裝離河內行蹤秘密不知何往
page 2	駐　英軍發表封偽警局經過
page 2	地政學會四月舉行年會
page 2	日一九三八年度對外貿易統計
page 2	Ｘ機轟炸南寧
page 2	Ｘ機昨襲重慶在郊外投彈後復飛濾州轟炸
page 2	澳洲國防部長視察星洲軍港
page 2	西國民軍機濫炸事國聯會調查工作完竣報告書多份已送達國聯會
page 2	慕沙里尼親自駕機出巡
page 2	法國　局拒修日敘商約聚拒日商入境
page 2	日人籌備恢復滬日航線
page 2	荷蘭政府限制猶人入境
page 2	美國馬房失火名駒廿五匹被災
page 2	某某等國擴充航空事業與美爭領袖地位
page 2	耶路撒冷又發生行兇案一猶太人愛重傷
page 2	晉西我軍勢如破竹克蒲吉鄉甯大甯等縣我夜襲辛潭舖Ｘ殲Ｘ二百餘人楊梅三江之Ｘ被擊向三水退卻
page 3	英贊同法對意要求
page 3	穿過了Ｘ區
page 3	美紅十字會惠我小麥已運抵上海計一千六百噸用以救濟難民
page 3	暗殺　王陰謀敗露詳情如何尚未知悉
page 3	日內閣各部次均辭職
page 3	英美應付遠東問題態度已趨一致郭使請英政府注意中國時局並詢國聯有　決　對付日本
page 3	英陸軍部公佈已勒斯坦真相力圖英軍暴行宣傳
page 3	美軍械商不再售械於日美國務卿勸軍械商大收成效
page 3	美國務卿赫爾警告侵略國家西半球各國決聯合一致以捍衛各國領土之完整
page 3	蘇日漁業談判仍無頭緒
page 3	德意去年密簽同盟條約
page 3	西國民軍直趨西瓦拉城
page 3	美共和黨議員謀推翻各項新政法案查究羅斯福運用權力是否適當
page 3	羅斯福即將向國會提出國防咨文請撥鉅款添造海陸軍飛機
page 3	智利駐英大使埃德華斯返國
page 3	希特勒遷居新總理署
page 3	歐洲各國銀行總裁會談
page 3	張伯倫昨啟程赴羅馬英不擬調停意法糾紛西國內戰或當提付討論
page 4	增城Ｘ軍兵力調查
page 4	Ｘ陸戰隊增防虎門
page 4	長谷川部開駐石龍
page 4	第一區游擊隊反攻陳村在激戰中各團分路推進紫泥已收復訊
page 4	粵省稅收託省銀行辦理支分行設分金庫桂翁兩要員辭職
page 4	省府限令新任縣長接事
page 4	一區專員催繳解經募棉衣藥品
page 4	南路各縣增編自衛團十七大隊Ｘ圖在南路佈置漢奸綱計劃失敗前赴廣州灣避難民眾現多回內地
page 4	Ｘ軍向沙井鄉恐嚇謀阻止我民眾返鄉減少我方抗戰實務
