page 1	蘇芬談判與北歐局勢
page 2	我游擊隊襲擊三水日軍新鶴路又起激戰杜阮無日軍蹤跡
page 2	外部情報司長朱世明闢謠言攻勢暴日有計劃的製造謠言企圖搖動吾人抗戰信念
page 2	我軍連日攻擊岳陽日軍圖犯朱河市我軍迎擊有劇戰
page 2	閻錫山將軍談國外國內情勢一與目前我們工作方針
page 2	蔣委員長初度良辰處此國難時期儀式極為簡單
page 2	羅斯福廣播否認有意參戰美參院政府方面獲勝利否決加州議員之修正案
page 2	陳樹人新詩兩首
page 2	晉南戰況我用機動戰略使日軍疲於奔命
page 2	廣州漢奸開會被我襲擊彭逆亦受重傷
page 2	蘇聯將頒布驚人法令在相當範圍內恢復私有財產
page 2	駐滬日海軍長官野村行將退職招待報界話別發表荒謬談話謂欲建設東亞希望中日和平
page 2	星洲宣佈徵調英籍男子
page 2	宋美齡女士對美廣播痛斥日本肆行侵略贊美美國為我援助
page 2	外商船濫用美旗須受處罰禁止在三個月內不得入美國領海
page 2	希特勒下令創立但澤省
page 2	中中交農四行實行聯合管理計劃全國金融事業將受其統制蔣委長為聯合管理局主任
page 3	美聯邦安全部長主張保持遠東如不退出遠東列應保持菲律濱否則美不能在東方外交上發言
page 3	羅召駐外使節返國會談討論最近新局面
page 3	川康建設期成會規則
page 3	希特勒或將改變內政方針趨向共產主張藉以自拔故納粹黨領袖只有左傾
page 3	格魯與野村定期會談調整日美邦交
page 3	英國工人擁護戰爭決心打倒強盜政治解除歐洲年來紛擾
page 3	美向蘇德要求釋放火石城號德認扣留美輪係合法律手續
page 3	芬蘭決心維持獨立地位拒絕蘇聯要求施行軍事戒備
page 3	桂省集中營日俘虜生活舒適行動自由定時游戲工作學習漢文經史其中有一女俘虜似不甘獨居
page 3	駐華日海軍司令及川發表荒謬談話竟誣蔣委長應負戰爭之責色厲內荏其實欲誘我言和
page 3	比皇聲言維持中立地位比人不計生死總要保持　平
page 3	英外相在貴族院斥駁里賓特羅甫演說謂里氏欲離間英法必失敗英政府對蘇芬談判極關懷
page 3	英海軍部宣布發現破德潛艇
page 3	蘇聯國會定期召集特別會議
page 3	賀爾報告英政府盡力實行銷除印度內部紛歧將來戰勝後立謀解決印度憲政困難惟不合作運動有障憲政之急速進展印立院反對總督憲政宣言
page 3	法下年度預算三千餘憶佛朗
page 3	國際扶輪會羅姆勞任主席中國廿二個扶輪會贊成
page 3	英籍教士在日突被扣留
page 3	西線德軍戰略或將侵入瑞士由　拉山迂迴攻擊馬奇諾陣線或侵入荷蘭奪取海空軍根據地
page 5	日軍百餘圖犯蓮塘
page 5	睦洲日軍又全撤退
page 5	日艦　集伶仃海面
page 5	我便衣隊襲擊會城
page 5	我軍反攻澄海續詳兩路進攻曾克縣城
page 5	三灶日軍又佔據草鞋洲雞啼門海面發現日汽船
page 5	桂農行採購屯穀禁止商人競買
page 5	日軍在廣州設立募兵機關以訓練自治員為名解赴虎門補充入伍
page 5	粵慰勞團在衡參觀各戰利品
page 5	高鶴台開縣境安謐
page 5	南洋各地僑匯激增
page 5	戰區司令部嚴禁收編自衛團隊
page 5	粵設計會成立各主任派定已開始辦公
page 5	省府撥發各縣自治經費八九兩月共六十五萬餘元
page 5	瓊島戰事激烈日軍增援犯文嶺市不逞王毅電告抗戰前途絕對樂觀我一度攻入瓊東縣城之情形
page 5	遂溪昆連法界區域當局闢設市區利便粵桂對外貿易
page 5	日機昨又轟炸增博沿線炸毀民居多間死傷六十餘人
page 5	中山嚴禁團隊擅封單車
page 5	中山籌辦冬防
page 5	中山防務佈置就緒當局公佈恢復內地水路交通日軍又犯蓮塘砲轟大澤我擊退昨傳日軍又在中山大涌登陸不確我便衣隊又混入會城激戰
page 7	粵港基督教團體湘粵戰區慰勞團成立本基督精神慰勞前線將士慰勞金籌募辦法在起草中
page 7	總
page 7	組織
page 7	費用
page 7	附則
page 7	痘症日漸流行居民宜速種痘
page 7	馬來亞政府絕未限制港貨入口用英國原料更可減稅本港各廠家皆大歡喜
page 7	港海陸空軍嚴限穿著軍服
page 7	中國文協會籌辦廣東文物展覽會積極提倡本港文化事業藝術觀賞會亦在籌辦中
page 7	本港婢女日漸減少去年底僅餘千一百零三名較前年減少二百九十四名
page 7	宋美齡女士謝港商捐巨款
page 7	中　文協會第六次聚餐紀
page 7	本港水雷陣地已擴展至整個海岸線海軍義勇隊全體動員巡邏海面指揮過往船舶免誤入危險區域
page 8	香港仔木屋三間被焚
page 8	華商會策動各行防空工作
page 8	捐金購債彙誌
page 8	崇正總會救濟新界難民
page 8	魯警鄒德無勒索小販罪名成立處徒刑二月
page 8	三賊截劫少年
page 8	保良局之年報去年收容婦孺六百餘名
page 8	青年記者學會將舉行成立一週紀念
page 8	擦鞋少年被殺案續審被告之弟述慘案發生經過
page 8	中青救護團第八隊將出發昨日舉行授旗典禮
page 8	今日足球聯賽光華戰香港會南華兄弟鬩牆于加山
page 8	乒乓團體分組初賽成績一覽
page 8	港澳埠際小型足球賽今日假修頓場舉行下午四時半交鋒陳蘭芳行開球禮
page 8	紀不勝紀日海軍又焚船南艘榜人十二名失蹤料已殉難五人漂流海面遇警輪獲救
