page 2	黎元洪已南下
page 3	王承斌今日來京主持大選
page 3	吳佩孚擬以蕭耀南與張福來對調
page 3	林俊廷派其弟玉書及秘書古捧支梁嘯雲抵京
page 3	湘訊譚延闓令姜濟寰暫護省長譚尚無蒞省確期須俟湘東戰事解決後方來
page 3	趙恒惕在醴陵佈防甚嚴密與萍鄉蕭安國部贛軍聯成一氣吳佩孚已電蔡成勳速派一旅赴醴陵助趙吳劍學謝國光決於贛軍未到時先向醴陵攻擊
page 3	賀耀祖電譚延闓謂願解甲歸田惟劉敘彝尚率部追擊請制止譚已電劉停追並派員與賀接洽湘西可無問題董政國十二日到漢口十二晚專車赴岳觀察形勢
page 3	唐生智部退守江南
page 3	蔡鉅猷覆省議會電謂通過中立難照辦
page 3	廈訊洪兆麟劉志陸黃大偉王獻臣賴世璜等聯同致函廈門各界謂臧致平收集殘餘負固頑抗決即率同水陸軍隊進攻克復廈門後即將苛捐一律蠲免等語粵軍欲從事克廈即返戈救惠州故戰事轉急美領事恐商場糜爛允任調停但無具體辦法
page 3	杜錫珪電京謂海容應瑞兩艦並未獨立
page 3	孫傳芳原定由滬回閩惟到滬後電曹錕謂俟餉到始行曹已電財部催速撥四十萬匯孫勿延
page 3	津傳段祺瑞十二夜易僧服乘輪赴大連並傳張紹曾十三夜入京
page 3	馬聯甲宣稱以保境安民為職志無須加入江浙和約
page 3	攝閣十三日已期滿決定延長任期致選出總統為止經催兩院速選總統並通電聲明未還政權之理由
page 3	吳景濂主促王承斌來京主持大選
page 3	十三日憲會仍流會擬聲明先憲後選以招致議員
page 3	眾議院秘書孫曜通電宣佈十日預選會虛報人數實情吳景濂謂係捏造有意攻擊擬請通緝
page 3	張勳十二日在津寓病故
page 3	九江招商局躉船被太古船撞沉損失三十餘萬
page 3	張作霖預備雙十節後以護路為名佔駐京奉路全線
page 3	洛陽十五日開勦匪會議直魯豫蘇皖均派表與會
page 3	俄表語顧維鈞宜先解決中東鐵路案
page 3	宜昌日本領事偕同日清公司代表乘坐日本炮船往培州設法援救益陽丸被扣留之水手及搭客並查究肇事情形
page 3	東江形勢之最近全局觀
page 3	高電軍事將有變化之各說
page 3	廈門戰事之省信
page 3	昨日風訊
page 3	業主取屋案判結
