page 1	日本政潮之由來
page 2	上海法租界發生巨竊案英僑丹比夫人失去貴重珍物
page 2	晉南戰況
page 2	鄂中戰況
page 2	日本發生嚴重鐵路慘案一路橋被山泥衝毀列車經過駛入河底
page 2	贛北奉高間時有激戰
page 2	日軍反攻澄海已被擊潰
page 2	海南島我游擊隊近來甚為活動駐華日艦隊司令部宣傳日軍作大規模軍事行動
page 2	日眾議員攻擊米內外交已失獨立性
page 2	豫北日兵軍觸我地雷
page 2	居院長公子前線殺日軍校畢業後任排長參加最近南寧會戰
page 2	任鴻雋談蔡元培生平
page 2	我長江炮隊擊沉日艦一艘斃日官兵二百餘人
page 2	齋藤隆夫將於今日被國會驅逐但彼聲言一年之後必將再度運動復選
page 2	行政院會議
page 2	滬市賊黨白日擄人
page 2	湘北日軍運輸困難
page 2	蘇皖境戰事轉趨沉寂
page 2	國府令通緝樊仲雲等著由軍政機關一律嚴緝
page 2	日賀汪特使或為芳澤謙吉
page 2	黃主席報名巡視戰區情形
page 2	德法戰爭直同兒戲前線士兵互相呼答木牌標語表示友誼
page 2	中央組鋼鐵委會統制全國鋼鐵存有鋼鐵者必須向政府登記如有出賣轉運須得該會許可
page 2	上思日軍敗潰竄蘇墟晉南日圖犯蒲縣未逞鄂中我軍活躍漢宜路戰事緊張
page 3	德煤若繼續運意英決予以扣留但願考慮意國抗議意輪裝煤準備出發
page 3	法政府軍報擊落德機三架
page 3	英僑寄英郵件勿經西比利亞否則易被德截留
page 3	維伊普拉城形勢已極危急城內古堡仍見芬旗飄揚芬軍大部已退守新陣線
page 3	日要求法承認中日對敵行為但已被法政府拒絕
page 3	維里斯歐行成績甚微美各報均作同樣觀察
page 3	蘇聯農工文物運華展覽
page 3	英輪太平洋號在西海被擊沉
page 3	德機多隊往來巡查西線
page 3	英空軍轟炸一德潛艇料該潛艇已被擊毀
page 3	美議員湯麻士提議大舉貸款計劃將美所存黃金盡量貸出使美銀行成一世界銀行
page 3	舊奧太子赴美視察研究民主政治情形
page 3	德機損失百零一架
page 3	南大西洋未必發生海戰
page 3	滬南市賭窟均被查禁
page 3	人事行政會議審查提案
page 3	德空軍頻侵犯荷商輪荷蘭人士甚為憤激將提出最嚴重抗議
page 3	上年偽軍十五萬人反正各淪陷區偽軍約共五十萬人
page 3	滬航業界巨子捐助我國萬元
page 3	瑞士宣佈提前動員
page 3	傳德軍兩師發現蘇境將開高加索
page 3	英內閣將有變更另組戰時內閣利便推行戰時職務
page 5	江會容奇日軍大增
page 5	日艦突向中山包圍
page 5	廣州新港公路橋樑被我便衣隊炸燬小港等鄉民多被拘日軍強令鄉人護路
page 5	日機在石岐投炸彈
page 5	香港唐家均被登陸
page 5	中山四路均有劇戰
page 5	日偽在鯉魚嘴登陸
page 5	南頭海面日艦移動
page 5	大良日偽續犯陳村
page 5	澳門糧食大受影響
page 5	寶安稅局設稽征所續誌
page 5	大亞灣日艦又在下涌追捕漁船日機散放竹葉之可異
page 5	日機散放竹葉
page 5	省行購大量耕牛運往粵北戰區辦理農貸防止冒濫
page 5	日機日艦擾馬鬃烏坎港焚劫我漁船五艘
page 5	省府通令粵鹽增加銷稅
page 5	漢奸施放毒菌當局令各屬注意
page 5	軍管區頒布免役緩役人員
page 5	惠陽鹽場聯組合作社
page 5	省銀行在寶安設分金庫成立
page 5	我團隊在汝生圍截擊日艇情形擊傷日艇二艘傷斃日兵數人
page 5	桂南日軍四路出動失敗粵南我軍再克久隆小董日軍猛犯大寺現在激戰中桂南我軍改取攻勢向邕寧挺進
page 5	蚺蛇洞一役
page 5	急亟展開中
page 5	分四路蠢動
page 5	已開始反攻
page 5	日軍昨分四路猛犯中山各地先浸入鯉魚嘴再登香洲唐家灣日機飛擾各地昨石岐亦被投彈我軍分頭迎擊各路在劇戰中
page 7	三分鐘內全市黑暗
page 7	全體動員有條不紊
page 7	聚觀閒人較前減少
page 7	濃霧滿天不見飛機
page 7	管制時間僅卅分鐘
page 7	立法局明日會議討論戰稅委會報告書節省陽光法例亦提出初讀
page 7	後備警察何蘇勒索疑案詳臬
page 7	在黑暗中歌聲嘹喨
page 7	香港青年會國語班
page 7	趣樂別墅開幕
page 7	青洲英坭公司獲利五十餘萬
page 7	星洲禁限港貨入口港政府已提出交涉惟仍望商人自商解決辦法
page 7	流浮山海賊械劫拖船損失財物共值千餘元
page 7	總理逝世紀念日美　工會義剪籌款捐助中大服務團
page 7	劫匪入獄三年
page 7	乞丐中血斃命
page 7	昨晚燈火管制半小時成績較前數次大進步防空指導員救護員四千出動一般居民均能恪守管制條例
page 8	得病經過
page 8	一年一度的　花展覽
page 8	建築總工會萬餘工友響應一碗飯運動並盼商會賑會負責領導商賑會昨募得三千餘元
page 8	明日小殮
page 8	臨終遺囑
page 8	蔡氏略歷
page 8	蔣委長電唁蔡家屬
page 8	大公報失紙業被告　臬定讞
page 8	英國會議員克利浦昨抵港
page 8	歐亞戰事緊張中世界各都市人口統計紐約人口擠擁為各都市冠本港市區亦有百四十萬人
page 8	甲組銀牌準決賽本週兩場戰事東方全力撲雛鳳南南嚴陣抗警察
page 8	香港小童會陸運本星期日舉行
page 8	小型球賽記者出征鴨　洲
page 8	革命元老儒林名宿蔡元培先生在港逝世彌韶時猶殷殷以救建大事為念矚輩以學術救國道德救國遺骸明日小殮學術界代辦喪事
