page 1	法意關係前途
page 2	贛北我軍分攻南昌永修攻　昌一路進抵烏石橋攻永修一路進抵萬家埠
page 2	重慶發出空襲警報日機向川東投彈
page 2	內政部組織法修正公布
page 2	全國專科以上學生學業競試初試定下月十五日起舉行
page 2	日海軍在華南舉行操演
page 2	梁逆反汪態度消沉
page 2	我軍破壞京杭國道
page 2	日漁船六艘被蘇捕去
page 2	南僑慰勞團將赴前線
page 2	渝市舉行航建運動宣傳
page 2	贛北我軍圍攻南昌
page 2	桂省儲嘉獎救護人員
page 2	國府公布西北防疫處組織條例
page 2	美駐菲高等專使西里乘艦抵滬將轉道赴日與格魯會談謂美國極關懷荷印地位
page 2	京杭國道南段我軍活躍被我破壞者不下百餘段
page 2	日軍增援萬餘南犯晉南戰況益趨劇烈我機動掃蕩斃日軍千餘迭克要點殘日陷入重圍
page 3	盛傳英軍克漢馬鎮
page 3	德軍侵挪係屬失算
page 3	英德兩軍精神不同
page 3	美國準備再提議實行禁運制日倘此案獲得政府支撐通過可運用之以應付荷印問題
page 3	德用漁船掃滅水雷
page 3	墨索里尼演說勗勉國人準備安沙爾杜對士兵廣播謂意國有參戰之可能
page 3	英德空軍作遭遇戰
page 3	崛內與赫爾會談荷印地位問題對菲移民入口限制日方表示為數太少
page 3	英向蘇提議舉行商務談判此種談判係試探性質與對德經濟戰有關係
page 3	海峽殖民地決助戰費貢獻一百萬鎊金
page 3	下屆世運舉行不在芬蘭
page 3	地中海及亞德里亞海現狀不容改變英法政府已照會意國
page 3	南國緊張書面漸次和緩
page 3	日人提議英日劃棉織品銷場日本可銷售二十萬萬方碼英國可銷售一十萬萬方碼
page 3	英空軍入德偵察已達八百餘次
page 3	西線砲戰劇烈
page 3	羅議員團赴意正式拜會此行有重要意義
page 3	五次國參會閉幕蔣議長休會詞全文三
page 3	德倫的英居民遷出
page 3	英廣播勸人民離境聯軍將圍攻挪威克大批英法援軍源源開到挪威北歐諸國對聯軍已回復信念
page 5	日解除中山封鎖訊
page 5	各地日軍頻頻戒嚴
page 5	陳枝部團隊襲擊日偽深夜在南圃墟巷戰焚燬偽軍連部日偽死傷不少日艦派兵增援聞陳團長殉職
page 5	九江日軍繼續增加
page 5	中山八區已無戰事
page 5	連賀公路將可通車每星期對開兩次
page 5	粵省府招致在港澳公務員辦法已在草擬中俾返國得展長才
page 5	一區公署整理五邑民眾醫院組董事會負責統籌改進業務充實內容
page 5	日軍妄進死傷甚眾
page 5	欽東又告緊張日軍再犯平吉被殲日機轟炸靈山落彈甚多雷州半島海外迭聞砲聲
page 5	省主席李漢魂對所屬力闢荒謬謠言訓勉所屬須要緊張和安定不要為廣州播音忙亂起來
page 5	我游擊隊破壞鐵路
page 5	桂南我軍包圍邕寧
page 5	靈山嚴重漢奸造謠
page 5	台山動員會改組組設計委員會聯繫機關一律裁併
page 5	內地物價飛漲省府增加各項經費公務員不僅出無車而且食無菜學校經費學生津貼悉增加囚糧亦增發公務員給米津
page 5	日方圖在東莞擴編偽軍昨日寶安兵團拿獲偽軍一名
page 5	軍政部電令出征軍人家屬不准離異財產訴訟提前處理
page 5	大良日軍增築工事並增到偽兵防我軍反攻
page 5	西江下游日軍續增現無劇戰日軍今日解除中山封鎖訊中山八區已無戰事各輪渡已如常來往
page 6	實施程序
page 6	從新調查
page 6	注意事項
page 6	省府捐助英國戰時慰勞
page 6	省立欽州師範學生請纓抗日
page 6	瓊崖樂會我軍挺進迂迴椰子寨克陽江鎮樂會定安邊境雙方對峙崖縣日軍中計遭我痛擊
page 6	萬寧日軍深入被殲
page 6	我襲瓊山雷虎市
page 6	省府定期複查全省戶口未實施前擴大宣傳已將辦法通令各縣
page 7	詐稱送禮賺門行劫
page 7	賊搜劫半小時始去
page 7	事主詳述賊黨形容
page 7	大道中汽車輾斃孕婦水坑口亦有一人死膠輪下
page 7	七十歲老縫匠跳樓死苦恨年年壓金線為他人作嫁衣裳
page 7	尾房住客亦受損失
page 7	日經濟團赴意去星期六日過港
page 7	基隆街劫案提堂押候三日查究
page 7	七姊妹海水不潔永場實應他遷郭顯宏不反對且謂愈早愈妙籌募數萬元重建費並非難事
page 7	李漢魂捐助英慰勞會
page 7	老婦投海遇救
page 7	汕尾海面貨艇被賊騎劫掠去貨物現款數千主伴九人昨飄流到港
page 7	聯美機昨抵港因霧大在鯉魚門外降落
page 7	五賊劫公務員信宅放下禮物拔出手槍三綑縛婦人搜劫半小時從容而去事後警探拾獲槍銼拘捕疑犯一名
page 8	旅港順德籌賑會響應傷兵之友運動並電蔣委員長致敬
page 8	干力島海面劫案二審艇伴　被劫經過
page 8	公益會昨會議
page 8	失學學生審查竣事教育部匯到大批旅費著即整裝赴指定地點就學
page 8	華商籌賑會擬設提案審查委員會幹事值理將兼任審委
page 8	中英文協會定廿六日聚餐
page 8	廣東的繪畫中國文協會公開研究
page 8	於仁水艇公司昨開股東年會去年獲利六萬餘元
page 8	請補助旅費
page 8	全港義學今午招待報界解釋教育新例之難行
page 8	捷和廠被焚實因汽爐爆炸損失統計約五萬元
page 8	賑聯會之議案今日召開會議
