page 2	閣議通過禁止新文化
page 3	保定至武昌長途電話定下月舉辦
page 3	洛陽擬月中集魯豫陝鄂皖贛蘇會議援閩防浙問題並擬保陳炯明督理兩廣軍務以謀統一
page 3	中日魯案委員今早再討論公產問題大有進步
page 3	宣統十二日納采沿途鋪黃沙儀仗極盛
page 3	某報載鍾鼎基代陳炯明攜款十萬運動督理兩廣軍務兼粵長黎元洪王寵惠恐開罪民黨祇表面敷衍並函復彭養光謂無此議
page 3	任陸錦為直魯豫巡閱使署參謀
page 3	聞政府向新銀團商四萬萬經界借款以地丁作抵除還舊債外可餘三千萬
page 3	憲法起草會十一日決先草省憲定每週一三日開會
page 3	順直同鄉聯合各界決查賬及反對助邊守靖曹銳防止查賬之省會
page 3	豫匪萬餘持大紅旗書趙王爺替天行道字樣京漢路信陽至明港聞被匪毀
page 3	孔庚十一日到漢旋赴湘關孔奉孫文命聯川湘
page 3	張紹曾請任陳炯明為討許崇智總司令王寵惠不贊成俟十三日閣議再決
page 3	曹錕保吳毓麟長豫
page 3	政府擬以李濟臣長鄂以海軍檢閱予湯薌銘藉此下台
page 3	張作霖派員密查馮玉祥調京真相據報聞馮將兼衛戍總司令
page 3	交部以外交團不滿郵電加價請外部電各使預防華僑反對
page 3	戴大仇電滬憂鬱投江漂流十餘里遇救無恙頃仍赴川
page 3	薩鎮冰電請裁討逆正副司令專事撫輯
page 3	李厚基由鼓浪嶼拍洋電請援國務院不再理曹錕與齊燮元均請留李厚基總司令名義故政府不下撤令
page 3	鹽正署洋人赴奉天與張作霖商三省鹽稅解京月撥奉省四十萬張要先恢復官職方允交稅
page 3	傳吳佩孚馮玉祥協議選舉總統主曹錕先日副總統再與黎元洪談判任期
page 3	小幡十二日咨外部十一日曙朱琛越牆逃走朱前數日病因不注意
page 3	輪渡嚴搜軍伙之原因
page 3	戴天仇入川途次宜昌下游投水在約距十里地點救回休養數日將入川其原因當係由神經衰弱所致
page 3	某方面消息上海造幣廠　羅鴻年以廠中機器及營造物需費置辦與京財政當局協議決定以鹽餘擔保向滬華商銀行團及錢業行借款三百二十萬元已訂合同
page 3	漢口全國商會聯合會以北京總商會要求以漢口作為預備會議另在北京開正式會議各省代表反對決定雖在北京開會亦不派代表並於十　　議決通電反對郵電加價
page 3	大　輪渡被劫續詳
page 3	金章辭市長原因又一說
page 3	廈門西訊
page 3	稟請報窮案
page 6	豫匪攻陷　陽之慘　
page 6	湯薌銘離漢　
page 6	代徐樹錚招兵者被拘
page 6	徐　　　制憲主張
page 6	　火未成　
page 6	冒簽提單案
page 6	破天荒之女航海冒險家
page 6	慈善界售花　款
page 6	梅訊
page 6	被控圖劫案無據
page 6	攔途截搶又聞
page 6	影畫誌
page 6	被控藏有魚炮
page 6	私運硝磺出口被罰
page 6	印差槍傷苦力
page 6	軍火案
page 6	賭案
page 6	竊案
page 6	漢口　休戰紀念
page 6	近東之大風雲
page 7	武人亦有尊重輿論機關之言
page 7	大紙暫未截角之原因
page 7	學生反對借款之最後辦法
page 7	稅務　干涉軍隊走私
page 7	熊陳已返省
page 7	梧州上游暫行停寄包裏
page 7	兩項借款同時交付之消息
page 7	桂省軍事要聞駐桂滇軍之收束
page 7	軍官軍請林虎回桂
page 7	劉張戰事將開幕
page 7	第五旅長易人
page 7	調兵赴防德慶
page 7	　　防陸戰隊分駐豬頭山
page 7	槍決入屋搜劫之犯兵
page 7	軍人搶劫應槍決
page 7	東莞盜匪大審官兵
page 7	洪兆麟催繳潮屬酒稅費
page 7	冒名招兵陰行索詐
page 7	三水械鬨案續聞
page 7	匪徒擄去大幫蛋民
page 7	博羅縣長被控
page 7	電話工人要求發現之暗潮
page 7	始興禾田又發現害虫
page 7	決司令飭發還新青年社書籍
page 7	取締特種藥品續聞
page 7	前印花支處長被扭
page 7	海榮商輪被封後之港海交通
page 7	瑣聞一束
