page 1	婦女節中對港僑婦女之期望
page 2	兒玉等來華使命注意在棉業攖取林首相昨招待該代表等時曾與兒玉等交換具體意見
page 2	日眾院預算總會通過龐大預算案
page 2	津新聞學會理監事聯席會
page 2	會議建築滄石路已進入實業階段
page 2	津日租界私貨堆存山積
page 2	胡木蘭定期乘輪返港
page 2	劉蘆隱停止接見賓客
page 2	京南開校友舉行聯歡會北平南開校友會舉行春讌
page 2	熊希齡等抵滬
page 2	宋子文南下期仍未定
page 2	津商會調查華北土產
page 2	滬電車工人昨已一律復工
page 2	滬第三屆二萬公尺競走談榮生奪獲冠軍
page 2	美惠爾斯勒大學贈宋美齡哲學博士學位決定于本年六月舉行授與典禮日婦女界候宋過日時開會招待
page 2	滬市將舉行風箏競賽大會
page 2	准陽發現漢墓
page 2	冀察行政機構有將改組傳說
page 2	日林首相發表施政方針
page 2	考政學會舉行二屆年會
page 2	日傳王外長首步工作取銷淞滬協定重新構築吳淞要塞國防實現中國沿海軍事建設駐華日高級軍政首腦將在滬召開特別會議
page 3	法總理演說請人民認購公債
page 3	法國財政足以應付所負債務
page 3	政府決定發行大批國防公債
page 3	政府支出節減六十萬萬佛郎
page 3	主要目的務使資金重還本國
page 3	陝甘張部分三批東開于何兩部分駐陝北張部調駐豫南皖北繆徵流部調駐河南
page 3	英輪梯檳號抵紐約被搜出大幫鴉片
page 3	各地婦女界舉行三八紀念
page 3	迦拉瑪將有大戰西叛軍將分兩路進攻馬德勒叛機在馬德勒附近施行轟炸
page 3	津日領館驅逐浪人離津
page 3	通商四明等三銀行決將商股減價呈請財部加入官股
page 3	西亂監察計劃原則上成立協定各國軍艦及監察員於十三日達到指定地點任命英國海軍中將奧利佛為海面監察主任
page 3	濟發現宋明古物
page 3	皖各縣府一律從新修建工料費限十萬元
page 3	常熟人產生兩頭怪胎出世後即死
page 3	世界紡織會我代表已派定
page 3	法大使那齊雅返滬
page 3	吳鐵城五十生辰
page 3	阿根廷駐西使節陞格
page 3	駐美法大使龐萊謁摩根索
page 3	美擬召集世界經濟會議
page 3	旅德華僑參觀萊比錫市集
page 3	捷克慶祝前總理壽辰將特赦政治犯
page 3	耶路撤冷阿猶民族以復發生衝突當局大起戒嚴空氣頗形緊張
page 3	法擬發行國防公債票面分佛郎美元金鎊三種參眾兩院定明日開會審查勃魯姆廣播演說籲請人民認購國防公債
page 4	二屆長途跑時大觀拍製影片
page 4	普通界籃球賽今晚祇兩場乙組預測黑白鑰智勝利
page 4	英京銀價昨趨升
page 4	球場濕滑表演遜色四對二南華華被淘汰四月十日南華南與華塞斯決賽
page 5	廣州金融交易所仍未核准設立原因組織不善流弊滋多期貨交易不限于銀市宋子文南來未有正式電告外商營業稅辦理困難財廳某要員談話
page 5	粵空軍之擴編訊
page 5	瓊崖考察軒將於來月南下
page 5	中央組調查隊入桂調查礦產伍福初先赴桂磋商
page 5	刁作謙之晉京訊
page 5	廣三鐵路十五日起增車次
page 5	汕海港檢疫所抽費潮各縣公會為僑胞請命
page 5	省營工業歡迎外人投資英參贊決再來粵
page 5	瑤頭等鄉開籌辦消防會議
page 5	汕關在海利輪搜獲大宗煙土案續訊現調查有無包庇背景
page 5	營業稅潮官商協商解決之真相商會稅研會因調查未竣故此案尚未解決俟統計呈報官方將按其數額減低稅率
page 6	草席業勞資糾紛工人代表請改組工會
page 6	曾養甫返粵行程先赴閩商築鐵路
page 6	廣州昨晨大霧水陸交通之窒礙
page 6	整理土煤油業案廠商擬請撤銷
page 6	汕市交通工會防私宣言鞏固國稅壁壘誓與私梟搏鬥
page 6	粵籍歸僑投資開採賀縣錫
page 6	春氣融和中廣州六屆團婚紀箴詞須本合作精神造成愉快家庭
page 6	四省特產展覽會昨日開幕之盛況
page 6	會場一瞥
page 6	開幕典禮
page 6	廣州市立銀行行長江英智
page 6	廣州律師公會
page 6	廣州市校教職員三月份薪金
page 6	廣州市洋裝銀器　商人
page 6	省民教館徵求國術學員
page 6	粵湘含鹽會議無結果粵鹽商將電財部聲明並發言以表明真相
page 7	黃旭初
page 7	迎余會
page 7	解說真意義
page 7	大批飛機頭到港暫存九龍倉日間轉運廣州
page 7	霍寶材啟程赴美鄺光林任廣東銀行美分行長
page 7	焚車慘案竟為行騙之機會歹徒假冒死難家屬
page 7	東華醫院新總理宴舊總理
page 7	葛爾尼離港返英
page 7	一工人獨電慘死
page 7	昨大霧瀰漫阻礙航行省港及港澳輪船多遲到威爾遜總統輪亦遲進口
page 7	兩男女服毒自殺一死去一生還
page 7	飲鬧楊花水發狂
page 7	患羊　咬舌斃命
page 7	兩巨舶為霧所阻余黃未能依時抵港黃旭初昨晚滯留港外余漢謀今晚始能抵
page 8	籌委代表共聚一堂
page 8	各行報告參加景色
page 8	會　　港免徵稅款
page 8	僑教育會歡送講學會代表麥天方定明日北上
page 8	開會理由
page 8	致　送別
page 8	電京報告
page 8	土製電筒之暢銷
page 8	三男女意外受傷
page 8	長庚艦血案疑兇星期三日可出院
page 8	孔教學院昨日講學
page 8	慶祝英皇加冤大典各行商均參加會景巡行舞獅舞龍懸綵張燈應有盡有港府撥六千元舉行夜景雨天
page 10	開會秩序
page 10	場內標語
page 10	賑綏美展會展期
page 10	兩商會選新職員
page 10	民智輪搭客墜海
page 10	學海書樓講學日程
page 10	清遠公會同人年會
page 10	婦女界擴大慶祝婦女節今晚七時半在華人男青年會舉行
page 11	嚴禁鄉鎮浮支經費
page 11	劫殺案女兇犯伏法
page 11	制止築基圍起械鬥
page 11	小輪撞大船後沉沒
page 11	組婦女工作委員會
page 11	惠陽渡船沉沒溺死三人
page 11	粵省海岸之調查
page 11	發展東莞水利興工建築銅湖水閘
page 11	第一行政區定期召開行政會議
page 11	順德土地登記處發給產權確定證
page 11	明倫堂委長另派說
page 11	縣府又槍決紅丸犯
page 11	童子軍視察員抵縣
page 11	防軍整飭軍紀辦法
page 11	開三次禁煙宣傳會
page 11	順德決保留保安清剿隊
page 11	捉回私行逃走徵兵
page 11	獲夏滘鄉劫殺案匪
page 11	廢除陋習推行新運
page 14	統計事業之組織與制度
page 14	統計局之職權與其組織
page 14	各統計處室設立之經過
page 14	四各統計處室組織與職掌
page 14	日人在北滿發現世界第一礦脈較德法爭奪之阿爾礦尤過之開發後可助日偽工業及國防
page 14	自動抽水機發明人胡恩祿的一片傷心話埋頭研究竟見棄於父母妻子自殺兩次始換得了最後成功努力啊苦幹的科學家
page 14	胡氏略歷
page 14	發明經過
page 14	備經苦艱
page 14	一個模型
page 14	五今後展望
