page 1	國際之變動與我國
page 2	德軍無進展波蘭防線完好如故柏林發出空襲警報
page 2	德發表戰報盛誇各路均有進展且能依照計劃推進
page 2	意未欲參戰墨索里尼現仍努力使德波戰事局部化
page 2	波求助英法英將組織戰時內閣法外交界大為活動
page 2	同盟社社長岩長因病逝世
page 2	三民主義青年團昨日正式成立
page 2	歐洲各小國多數宣布保守中立均願支撐和平陣線
page 2	英各屬備戰加拿大作戰爭準備澳軍械工人總動員
page 2	金鎊大跌市情騷動
page 2	華沙防空設施良好
page 2	希氏覆美和平呼籲
page 2	法發紙幣代替　幣
page 2	侵波德軍無法進展波軍仍扼守原有陣地英皇簽發全國海陸空軍總動員令英法向德警告要求德即停止侵略
page 3	滬發生兩兇案
page 3	誰負挑起戰爭之罪英發表英德交涉經過德並未向波提出要求即向波進攻英決履行對波義務準備參加爭鬥
page 3	公開發表
page 3	順利進行
page 3	軍事活動
page 3	宣讀甚急
page 3	言語躁暴
page 3	波蘭提出
page 3	英德談判
page 3	請求德外部發給護照
page 3	開始進攻
page 3	咬緊牙關
page 3	徵募軍隊
page 3	希氏續謂
page 3	今已發表
page 3	英德關係
page 3	答覆英國
page 3	電文來往
page 3	英工黨督促政府助波抵抗德國謂希特勒已為人類大敵實難望其接納和平勸告
page 3	Ｘ機襲渝在郊外某處投彈
page 3	駐華蘇大使呈遞國書
page 3	Ｘ閣討論歐局決定密切注意今後發展
page 3	全國各大學校長電呈蔣委長擁護國策並對汪逆痛予申討
page 3	日機在青失事杉山受有微傷Ｘ陸軍省已證實
page 3	夜之柏林將成黑暗世界經已開始燈火管制所有燈光不得外露
page 3	中宣部致電唁朱惺公家屬
page 3	贛省各界一致電討汪逆
page 3	羅斯福謂美不致捲入戰爭漩渦戰時美對英法購貨措施故可不受強生法之限制
page 3	翼城村副三人協助作戰殉國當局呈請政府褒卹
page 3	長治外圍劇戰新牆河北我軍活躍魯北陵縣為我克復
page 4	華人防空訓練參加極踴躍
page 4	收回墳場築路港政府之通告
page 4	聖馬利堂昨晚演劇籌款
page 4	勒索案昨判決六被告分別懲罰
page 4	喜氣充盈之酒家
page 4	本港政府頒佈學校管理新規則特別注意校舍衛生設備禁教員對學生擅用體罰
page 5	省救護會增設醫療所
page 5	廣九路反攻軍事仍在石龍方面展開惠陽沿岸已少Ｘ蹤沙魚涌交通仍無阻岩口公司小輪復航
page 5	布吉民眾憤激抗Ｘ
page 5	深圳四週游擊活躍
page 5	反攻軍事側重石龍
page 5	東涌之Ｘ昨已潰退
page 5	桂洲細滘焚屋百餘我團隊反攻容桂續詳桂洲七大絲偈被洗劫路心等街商店亦被劫我團隊討偽發生劇戰
page 5	我軍進迫新街戰況續詳
page 5	Ｘ又增防九江西江Ｘ軍之動態
page 5	江會Ｘ軍集中順德
page 5	江會Ｘ正規軍大部撤退集中順德用意未明中山當局已加緊戒備江會方面戰事仍劇烈
page 5	前方軍車禁載官春違者扣押嚴辦
page 5	第四戰區籌設軍人監獄
page 5	省府令切實施行囚犯服軍役案
page 5	梧市嚴密推行禁政
page 5	歐局緊張中廣州灣當局加緊警戒舉行燈火管制演習成績甚佳
page 5	燈火管制
page 5	Ｘ集順德企圖兩說
page 5	江會戰事甚仍激烈
page 5	中山方面最近情況
page 5	疏散人口
page 6	Ｘ艦Ｘ機淩晨進犯
page 6	我軍英勇駕艇殺Ｘ
page 6	番禺Ｘ軍搜游擊隊被擊
page 6	中央派員來粵搜羅粵省戰史
page 6	Ｘ擾北海不逞後Ｘ艦　聚海峽又窺徐聞廉江安舖市亦三度遭炸
page 6	北海商業愈覺蕭條
page 6	北海市區遍地彈痕
page 6	新會縣府加緊振濟難民工作舉行振濟運動及加緊徵募寒衣增設難民收容所盡量收容難民
page 6	新會自衛隊整編完竣完成民眾武力
page 6	謙江舉辦平糶由八區專署撥款購辦
page 6	第二期抗戰後方農業建設的動向三
page 6	粵財廳整理財政完成初步計劃令各縣編製戰時預算
page 6	花縣難童婦女搶運抵韶受訓
page 6	香港禺北賑災會募款救濟難民
page 6	Ｘ艦Ｘ機犯北海市續詳地角被炮轟北海遭炸三次Ｘ艦駛進出口仍不能登陸
page 7	召集義軍入營候命
page 7	昨加緊封鎖鯉魚門
page 7	喇沙中學作集中營
page 7	我游擊隊昨反攻深圳落馬洲一帶均聞鎗聲
page 7	營養素研委會顧慮戰時嬰孩食糧指示市民製造荳精方法荳精為代替煉乳之佳品
page 7	工人萬名趕築壕壘
page 7	旺角自衛團將成立
page 7	荳精製造法
page 7	配合物份量
page 7	追悼死難軍民法會今日起在名園舉行
page 7	瀕海要隘均佈電網
page 7	電報祗准用英法文
page 7	登記華人開始征用
page 7	人心鎮靜離港者少
page 7	應付非常局面休假中之輔政司奉命趕速離歐返港義軍三千昨奉召入營候命港九海岸線均佈置鐵絲網喇沙中學已被徵作集中營
