page 1	中日交涉與華北
page 2	華北教育領袖宣言請廢滬戰塘沽何梅等協定
page 2	桑島歸抵東京談話對中日交涉情形不願說明
page 2	日又舉行三省會議根據桑島報告作詳細協商
page 2	日內閣已有動搖勢海陸兩省對華仍主張強硬
page 2	英國對華投借巨款英報謂此舉不啻對日警告
page 2	談判復開尚無確期大陸報謂日本將改變政策
page 2	行政院會議議決鄒洪任粵保安處長綏蒙政委會會址改設于公廟子顧維鈞郭泰祺為國聯政院代表
page 2	討論事項
page 2	任免事項
page 2	日軍不依期退出閘北我決廢止滬戰協定日軍十隊在北四川路一帶遊行示威有田與海陸軍首腦意見不合日閣有動搖勢
page 3	國民大會或將展期
page 3	廣州各界捐款獻機
page 3	桂省二區國選情形
page 3	日俄邊軍屢起衝突
page 3	楠本大佐昨晨飛津
page 3	冀察經委王辭李繼
page 3	津法租界發現炸彈
page 3	田代在津召開會議
page 3	馬德勒附近四十哩兩軍冒雨劇烈鏖戰政府軍攻入沃維杜城與叛軍巷戰叛軍仍據守大教堂與兵工廠兩處
page 3	華府條約第十九款美人不願保留對英方提議甚反對
page 3	三　匯兌平準基金在技術上成立妥協英法美三國以黃金互相售予三國貨幣合作完全見諸事實
page 3	徐州走私風戢市上洋貨大減國貨漸呈活躍
page 3	法大使那齊雅昨謁陵張外長定今晚歡宴
page 3	馬麟抵京後分謁馮翁請示
page 3	冀察經委會李思浩任主席冀察政會昨已發表
page 3	梅維亮到津海關視事
page 3	楊葉上訴案定期開辯論庭
page 3	章嘉活佛昨日謁陵獻花連日在京酬酢極忙
page 3	日新任駐俄大使重光葵將赴任
page 3	改革行政機構廣田已被屈報
page 3	孔祥熙昨返京
page 3	繆培南等昨日分訪吳蔡
page 3	駐滬英領茶會招待各界為許閣森大使介紹
page 3	　新閣已成立
page 3	希特勒召各領袖會議將有新外交政策宣佈
page 3	四萬年象牙化石在奧地利發現
page 3	法共產黨演說攻擊希特勒
page 3	英國派飛艇一隊增強遠東空軍
page 3	羅斯福演說答辯蘭發抨擊幣制穩固世無其匹各業振興皆政府力
page 3	英俄海軍協定德國表示反對
page 3	　屆運會　米決賽發生糾紛各項比賽停止鄂選手表示返鄂經大會調處今日可望繼續舉行
page 4	金星艦籃球隊何不振至此昨又再負與興華隊成績四十七對三十五比較接近失敗原因乃運球不靈射籃欠準
page 4	李惠堂參加世運歐遊雜感三追述中英之戰
page 4	友誼籃球賽華雄戰中南書院今日二時在露天球場
page 4	鐵爾頓等下月九日抵港在港作三場表演賽門券最高三元半最低一元赴小呂宋後十七離港赴滬在港期間港督預定兩次歡宴
page 5	官窯源安輪渡在文滘被劫續詳
page 5	建設廳實行提高甘蔗價格從前每擔定七毫現決定每擔九毫
page 5	在　布業公會會址舉行潮屬布業防私會議
page 5	雙十國慶日潮屬布商開防私會郵包運毒獲一人
page 5	用郵運毒經已破案
page 5	潮屬共同防私大綱
page 5	東堤爆電油罐火警共焚去舖宇十七家沙河爆地雷傷八人
page 5	南山管理局省府議決准保留
page 5	糖商再請撤統制
page 5	駐佳十九路軍部隊決另行編組直轄中央翁區丘三師部已遷南寧各部隊亦集中附近候命第五路軍轄　師均為桂省原有部隊闞　驊昨與記者談桂事
page 6	市商會籌捐購機祝壽之續訊擬請弛禁麻雀三天酒樓茶室報效雜費
page 6	中區職員之遣散
page 6	裁苛會七次會議各縣機關及團體所收稅捐之審查
page 6	河南警界外深夜擊匪之槍聲四匪行竊一傷一死是有組織之夥竊者
page 6	土布公會請禁止限制工廠工作時間昨分呈省府總部警察局
page 6	粵省煙民銷煙之驚人數目每月銷土一年三百餘擔粵市煙室五百八十二間
page 6	桂省空軍司令林偉成等
page 6	第四路軍發刊四路月刊
page 6	中央僑務會派周演明唐瑞年來粵考察昨抵廣州謁當局
page 6	聞香翰屏定十六日北上攷察
page 6	市郊西村對海之鵝掌笪地方等處近有人搭棚開設私煙窟及賣狗肉
page 6	閩粵邊匪共來去無定軍隊進剿之近情
page 7	九龍國選仍歸併本港辦理今日截止發給推選票聘譚煥堂等為監察員
page 7	九龍區選舉仍併港辦理
page 7	辦事處聘定開票監察員
page 7	董仲偉介紹鄭鐵如候選
page 7	嚴炳章辭謝工界之推舉
page 7	黃慕松將回拜港督鄧彥華電請李星衢準備歡迎
page 7	擾人清夢
page 7	宣述案由
page 7	連肉射出
page 7	謀殺行為
page 7	鎗殺同侶印警處繯首刑陪審員一致認為有罪
page 8	無牌小販
page 8	發揮意見
page 8	有所管理
page 8	奇格倫談
page 8	奇亞能談
page 8	影界籌款獻機以編劇手腕分配工作跳舞會定期舉行女星伴舞男星服役捧茶進饌都是藝人鍾聲慈善社社員今日出發募捐
page 8	女星伴舞每元可跳兩次
page 8	男星服役廁所所長得
page 8	導演捧茶哼哈二將守門
page 8	游藝大會影界全體表演
page 8	商店助物報館報效廣告
page 8	奉命南來
page 8	艦中設備
page 8	該艦歷史
page 8	自強艦奉命來粵省駐防昨日由廈門抵港今晨開黃埔該艦為我國自建戰鬥力頗強
page 8	衛生局議決停發食物小販新牌照認有礙公眾衛生應嚴加限制主席謂政府已注意大腸熱症
page 8	控失遺棄案續審冼律師關心雲雨情
page 8	環飛世界速度比賽兩美記者昨日過港赴菲愛克見早已抵菲候機返美奇亞能等啣尾追去爭冠軍
page 8	眾人一致推舉為代表
page 8	半島中學演說賽明日抽簽編配次序
page 8	海面撈獲一豔屍
page 8	九廣路新軍大埔美女赴省
page 8	小販制度
page 8	如何政策
page 10	福安輪行走省港一星期內可開航
page 10	九龍關公署佈告
page 10	初級法庭案彙誌
page 10	香港仔樹木被焚
page 10	宜廬學友美展續誌
page 10	商務學院開聯歡會
page 10	三大劇團籌款購機
page 10	冒騙
page 10	潛回
page 10	盜竊
page 10	日攷察團之行程
page 11	博羅牛過水地方劫擄殺人案之緝兇
page 11	大幫失業相士到台山縣謀飯食聯設寫信問事館
page 11	國大選舉各屬初選續誌
page 11	莫師廖團分駐中順新各縣
page 11	石龍糖商痛陳糖業統制之弊
page 11	短期小學行將停頓
page 11	教職員請發欠薪記
page 11	禁炸山石防釀水患
page 11	西江河岸崩塌基堤
page 11	華平兩姓爭界械鬥
page 11	船會請禁搭霸王船
page 11	平潭墟火燒店三間
page 11	市橋墟火警焚三店
page 11	縣府組軍警檢查處
page 11	三水各商會聯請撤銷樑捐
page 14	粵漢路通車後湘礦產亟待開發五金煤銻鎢等礦無一不有全省礦區十之九為採礦區
page 14	面積如我國的一縣丹麥風土文物小記國民體育發達個個體強力壯
page 14	川陝匪合股計劃失敗毛匪圖竄寧夏希圖北越長城已被擊退殘匪分道潰竄被免包圍
page 14	上海字林西報評論中日談判的展望雙方俱應坦白的認錯壓迫太甚日方亦不利
page 15	三師資訓練
page 15	二市立游泳池
page 15	國立體育學院
page 15	軍事體育學校
page 15	六女子體育學校
page 15	丹麥
