page 1	越南政府應有的認識
page 2	美在不參戰範圍內將以物質援助越南
page 2	越邊戰事整日不停法軍力薄退出諒山
page 2	安邑東南殲日百餘
page 2	滬電車及汽車罷工潮仍無解決希望法租界在軍警嚴密保護仍能局部維持電車交通
page 2	滬公共租界發生綁案兩起
page 2	貸款以外的希望
page 2	德採外交攻勢對英
page 2	張伯苓等電英請無條件開放滇緬路勿再作不必要之顧慮
page 2	滬孤軍集中營恢復常態
page 2	吳鐵城抵菲
page 2	行政院通令改正回教人民稱謂應一律稱回教徒不稱回人
page 2	浙西我軍破壞日軍交通
page 2	德日同盟倫敦人士注意此項協定尚未正式批准但在原則上似經已成立
page 2	滬工部局華董接恐嚇函要求彼等辭職
page 2	李濟琛對報界發表越南問題軍事上日軍因此勢力分散在政治上日一舉而樹三敵
page 2	越南事件就地解決戰事已完全停頓日軍二千名在海防登陸法國否認放棄日法協定
page 3	勞特喬治贊成築防空洞德機繼續轟炸倫敦英機炸擊法國沿岸
page 3	美國不滿貝當媚德
page 3	法國沿岸被炸起火
page 3	法機一百架炸擊直布羅陀私人財產損失重大軍需工業未有傷害
page 3	印度籌劃建飛機廠派員到美定購材料係屬私人投資性質
page 3	羅國揭出國策六項
page 3	芬德關係頗為和洽芬蘭容許德軍假道芬蘭人士亦為驚異
page 3	韋爾基又作演說
page 3	意驅逐艦被英擊沉
page 3	美再攷慮讓英軍械
page 3	齊亞諾赴柏林繼續羅馬談判西內長訪希特勒德西外交有進展
page 3	德正挑選精銳準備進攻英倫選擇各軍中優秀份子編成特別隊伍以候用
page 3	第一五七次申常會兩項重要決議一為關於國民大會者一為關於國民參政會
page 3	達加事件前因後果
page 3	達加戰事現已告一段落英不欲擴大戰事範圍進攻達加聯軍已退卻
page 3	美決定再貸我鉅款達二千五百萬金元美輿論希望我繼續抗戰貸款助我獲得自衛武器
page 5	我游擊隊活躍範圍
page 5	現時我正集中大軍
page 5	桂林　參議會
page 5	石龍日汪軍互相殘殺潮汕軍亦因爭米開火
page 5	粵軍民合作總站改組陸宗騏兼任總站長籌備設班訓練幹部
page 5	肇慶秋節獻金
page 5	日逐三灶鄉民擬將全島改作軍區芒洲日艦截留貨艇
page 5	日檢查員重返西營法方否認放棄廣州灣日兵遊覽西營迭派軍監視租界外各路線我軍防守嚴密
page 5	法否認放棄廣州濟
page 5	日檢查員再回岸上
page 5	越軍監視登陸日兵
page 5	黨務人員互調服務新會黨部易書記長
page 5	連和親三縣停止祭祀二年款項移作戰費
page 5	李主席漢魂指示要政羅劉奉召赴韶
page 5	南區幹訓班下月成立陸冠瑩前往主持
page 5	粵參議會調查民間疾苦託各縣黨部代為辦理十月廿五日以前寄會
page 5	粵南桂　我軍續有斬獲江平墟巷戰各路同時推進我軍控制十萬大山攻入小董　龍路鏖戰克長僑殲日數百
page 6	並非全部撤離寶安
page 6	深圳設防疫委員會
page 6	在華界蓮塘山對面
page 6	我方又派飛機一隊
page 6	日機頻向東路竄擾
page 6	攻入螺岡殲日凡百
page 6	石角附近續有激戰
page 6	從化神岡戰事仍烈我軍攻入螺岡獅嶺　日已成弩末石角日軍續被痛殲
page 6	博羅局長被擄勒贖國幣二萬元
page 6	惠州農作近情
page 6	粵驛運伕役征集辦法驛運處已飭令各縣組征集網每百二十斤一華里工資二角
page 6	各方救濟惠陽水災米石源源運到舉辦平糶省府撥款修築　籐　圍
page 6	我機偵察潮汕
page 6	粵貿易處收購桐油辦法公價依照財政部規定
page 6	興寧至五華試用騾車交通
page 6	西江各縣儲穀備荒購穀五十萬擔需款六百萬元四邑糧運會已決定三項辦法
page 6	台兩認貯十八萬扣
page 6	一區飭令統一採購
page 6	寶安日軍大部調往侵越外傳日軍將全數撤離不確我機昨晨又飛抵深圳窺察深圳日軍染霍亂病者日多
page 7	集合
page 7	費用
page 7	起運
page 7	徐謙昨日在港逝世患心臟病醫藥罔效已致電參政會報喪
page 7	本港各團體發起公開模型飛機比賽比賽辦法昨已擬定準下月二十日舉行
page 7	廠商會會含議紀
page 7	中國文協會昨日開理事會
page 7	斯義桂獨奏今晚在半島舉行
page 7	鐘聲慈善社廿五週年紀念將一連三天開游藝會
page 7	炮台道防空洞面積廣闊可容三千人
page 7	比賽條例
page 7	皮亞士將任港立法局議員
page 7	雞籠環等墳場骨殖移葬新界辦法東華院已擬定將呈政府審核務使拜掃費用不致較前增加
page 8	力謀減少本港
page 8	遣送義民回國統兩省　　辦理
page 8	泰生輪昨返抵本港日艦兩度阻止赴越奉公司命折回本港
page 8	撲滅霍亂運動九龍學界協助宣傳
page 8	帝航機昨宣佈停航
page 8	港灣交通恢復常態
page 8	泰生輪船昨午返港
page 8	搜獲大批軍火一少年被拘控
page 8	本港糧食價格暴漲
page 8	輪客投海自殺
page 8	恩平僑商集資辦畜牧場
page 8	留營難民略減
page 8	生果攤獲准延長營業時間
page 8	崇正總會二十週年紀念定雙十節開慶祝大會
page 8	顧子仁定期演講
page 8	三合會員舞龍十五人被罰金
page 8	圖劫案昨判決三犯均處徒刑
page 8	圖劫馮儉生案下月一日再堂
page 8	英警目被控毆斃魯警小販梁和貴述目擊情形
page 8	自由法僑歡讌志願兵並即席捐助赴美旅費
page 8	港府根據防衛法例將嚴禁各國婦孺入境華籍婦孺疏散計劃在研究中務使港九居留人口逐漸減少
page 10	游泳冠軍賽第二夕水國健兒揚威四百四十碼陳振南再創新紀錄百五碼男女捲力域會均佔首席
page 10	星島僅勝警察
page 10	友誼足球滬三劍客南來助陣東方淨勝海軍九球星島亦以三比二壓倒警察
page 10	東方大破海軍
page 10	宵來成績
page 10	明晚秩序
