page 2	再答孑遺君
page 3	眾院今日又議孫閣同意案
page 3	陳炳焜抵京代陸榮廷請餉械
page 3	趙恒惕馬濟將授將軍銜
page 3	吳佩孚派人勸趙恒惕取銷自治並擔保如有反動再以實力援助
page 3	趙恒惕電米捐局稱卡米捐原濟財政之窮倘有侵蝕立以軍法從事
page 3	桂省長張其鍠派代表龍毓彪經湘赴洛陽
page 3	趙恒惕軍會攻蔡鉅猷賀耀祖自安化進葉開鑫自寶慶進陳渠珍自沅陵進蔡殘部現守洪江決定如洪江不守即退入黔邊晃縣
page 3	援川軍旅長馬金榮督戰斃命
page 3	福州訊盧興邦在樟湖截　柴米船二百餘艘省會民食大慌米船二百餘艘省會民食大慌
page 3	眾議院五日發議事日程六日議孫閣同意中立派議員董元弼江聰精拳術謂誰先動手則打誰故各議員皆不敢動手
page 3	參議院七日投選舉議長票
page 3	外部商准安格聯決發駐外使領費國庫券五百萬已付印
page 3	財部令撤津漢滬等埠貨價調查處改由稅關代辦
page 3	財部擬明年徵收遣產稅
page 3	路電會議七日議電政
page 3	梁如浩以收回威海衛條約為魯人反對辭職繼梁任者因爭者眾故未定
page 3	美商務總長歡迎華銀團派代表赴美請二月初由滬起程往返七旬
page 3	直代表雲章到奉述津保兩派排擠情形
page 3	興綏一帶積極練軍津榆曾議非事實
page 3	鄭士琦獎孫美瑤勦匪得力
page 3	西北兩江之軍事形勢
page 3	司令部亦僱印兵守門之奇聞
page 3	石龍街坊僱請軍隊防守
page 3	另誌北江最近之戰訊
page 3	北江戰雲日逼
page 3	孫文截留關稅之反響外兵登陸護稅關
page 3	江門西訊討孫軍巳入恩平
page 3	業主對於修正建造則例之意見
page 3	電報風訊
