page 2	工團電請停戰之正當主張
page 3	黎元洪令蕭安國為贛東鎮守使
page 3	張國淦取銷檢查出版法
page 3	孫洪伊醞釀正式組閣
page 3	黎元洪將令卹伍廷芳國會擬開會追悼
page 3	公府擬頒令宣示全國已罷戰　爭責　省督軍省長約束　部　維持治安並妥籌善後
page 3	　擬　開撤防　湘鄂　代表
page 3	京奉路　聞　裁冗員除
page 3	　黎元洪請　駐鄂各軍　並將鄂司令　律廢除
page 3	黎元洪　　　金水炎迎岑春　耀迎唐紹儀派白堅　　孫洪伊　派王觀銘迎張繼人員共商國是
page 3	皖　張　派代表謁黎元洪　陳廢督裁兵計劃
page 3	王承斌廿六日偕吳毓麟赴保定商接直隸省長又一說
page 3	　如　就吳佩孚將以汪士元繼任
page 3	魯案委員　昨在外交部行開幕禮我國派委員四十餘人
page 3	王正廷為委員長日本派委員不餘人以小幡為委員長互相演說後決組第一委會辦理收回青島事宜由本月廿九　每星期四開會第　委員會辦理收　膠濟鐵路日本月　十日起每星期五開會
page 3	閣事顏惠慶經黎元洪力勸後已允維持至七月底止八月　日後則不負責
page 3	黎元洪擬電話伍朝樞北上畀以重
page 3	聞陳炯明間接表示願開南北會議解決一切
page 3	董康擬將全國印花稅交外商承辦員　勸阻大起齟齬聞此事　與　款有關消息
page 3	　中政變發生後王家襄吳景濂請黎元洪設法　致留粵舊　議員黎囑財部長董康交　長高恩洪速籌鉅款分匯各議長北上
page 3	保定方面　議以援贛為名直陝軍　　南下赴南京
page 3	王占元宋小濂電　榆關已　戰條件奉軍退至錦州　真軍退至灤州以西　顧維鈞　委員會長說
page 3	張開儒又　來粵耶
page 3	韶關大本營繳械情形
page 3	領　與葉舉晤談記略
page 3	胡漢文之蹤蹟
page 3	各界推舉省長
page 3	粵海兩軍再訂中山離粵條件
page 3	孫文離粵消息
page 3	西報　廣　要訊
page 3	　被劫　駭聞
page 3	洪兆麟由港　省
page 3	北京丸火警
page 6	澳門西訊
page 6	　婢被罰
page 6	傳染症報告
page 6	茶室食品起價
page 6	銀價
page 6	劫案未成
page 6	兩罪俱罰
page 6	煙案判結
page 6	監犯躍海得救
page 6	筲箕灣戲棚火警
page 7	北江軍事最近之形勢觀
page 7	鍾廳長維持紙幣
page 7	北京傳團調停粵亂
page 7	王昌期部調赴北江
page 7	魏邦半仍望陳競　王持粵局
page 7	楊坤如赴韶關佈置防務
page 7	鄭潤　部已　拔西上
page 7	各社團與中山談話紀要
page 7	兵站部封用　江各渡
page 7	軍事委員被剌
page 7	駐韶憲兵回省
page 7	東關被搶情形
page 7	金庫照舊辦理
page 7	林捷　攝理瓊海關監督
page 7	韶雄囚犯急待　濟
page 7	三水土匪乘潦漲搶掠
page 7	香山霪雨沖塌　圍
page 7	香山知事之安民佈告
page 7	香山深灣鉅劫案續誌
page 7	瑣聞一束
page 7	魯案會議
page 7	倫敦之匯市
page 7	英國人口茶
page 7	德國外交總長被刺續聞
page 7	星架波要聞
page 7	上海要聞
