page 1	日本內閣之更迭
page 2	鄂北我軍圍攻馬坪
page 2	信陽日軍狼狽回竄
page 2	粵財廳積極整頓稅收統一機構廢除苛雜改進緝私完成公庫
page 2	淪陷區紙幣不准收受防日人吸收外匯
page 2	華北日軍統制消息美聯社所發電報須經日軍部檢查
page 2	平偽府宣傳局長吞沒公款被偽警察扣留
page 2	日新閣員名單業經決定陸相　俊六海相吉田連任有田木村小磯任外法拓相
page 2	日新閣名單
page 2	抵銷信用借款大量桐油運美在抗戰期中仍能維持運輸線桐油出口未受日機轟炸影響
page 2	反對阿部議員聯同發表宣言
page 2	中央日報著論評論日本政潮
page 2	馬尼刺日報評日閣改組前途
page 2	冀西我軍向平漢線進迫蘇魯皖邊境日軍蠢動遭我迎擊被斃二百餘
page 2	查禁日貨　例再行修正
page 2	匈否認與意商討反蘇計劃
page 2	鄂各界組慰勞團赴鄂中粵北前線勞軍定廿五日攜現款及錦旗出發
page 2	粵我軍繼向殘日追擊軍田官　已為我控制晉南我軍分襲浮山翼城等地
page 3	日希望與美國維持商務關係日政府訓令駐美日大使向美提出通商過渡方案
page 3	德保險業將受打擊英經濟部籌劃驅逐德人勢力
page 3	挪威輪一艘觸雷沉沒
page 3	佛教訪問團已抵印度
page 3	華北日駐屯軍司令尚否認有排美運動
page 3	英國棉織工業力圖發展奪取德日市場
page 3	荷蘭捕獲兩德間諜
page 3	日本靜岡縣昨日發生大火焚燬屋宇一千五百間死亡人數約有三百名
page 3	蘇向瑞挪兩國抗議反蘇運動瑞挪兩政府經已答覆但蘇政府尚未能會議
page 3	美當局破獲秘密政治團體密謀推翻政府成立獨裁政治初擬定廿日作某種恐怖舉動
page 3	蘇機四十餘架襲柏三姆蘇軍昨又進攻加里利亞地峽
page 3	美一碗飯運動繼續舉行
page 3	平美使署衛隊調防
page 3	川省限一月內禁絕煙土
page 3	加拿大政府開始推銷戰債
page 3	日蘇商務談判舉行二次會談
page 3	各地侵華日軍反戰情緒高漲
page 3	陳教長赴平越視察教育
page 3	受德威脅荷比形勢緊張比國動員達七十萬荷蘭令禁士兵告假
page 5	前夜我軍襲擊李村
page 5	容奇沙頭日軍近態
page 5	中山解決糧食金融
page 5	東線我軍猛攻正果壓迫增城增從線我向良田福和挺進由新豐敗潰日軍盡退增城
page 5	廣州紙幣潮日形擴大市內找換業現仍在停頓中偽市商會籌組評物價委會
page 5	封瑣新會淪陷區近訊嚴禁日貨入口及土產資日限制出入中貨物之調劑
page 5	及免內地生產過剩
page 5	破壞日偽交通運輸
page 5	冬令淺涸東江河道疏濬游擊所訂法施行
page 5	禺南各鄉被日偽軍肆擾游擊隊在大石截擊
page 5	廣州市偽民政署迫令民產登記展限至第三次登記者仍寥寥
page 5	日艦窺擾廣海在大衿島焚漁船
page 5	連平發現藉團隊避兵役
page 5	粵北游擊隊夜襲太和市之戰績廣從路截擊日軍車
page 5	四戰區司派員研究日軍工事
page 5	新會篁邊之沉艦日軍急圖絞起
page 5	江會各線戰訊前夜我軍進襲李村江門戒嚴日艇昨圖犯金橘嘴被我擊退中山米　金融問題已有解決
page 7	吳鐵城主席
page 7	許世英致詞
page 7	振濟會章程
page 7	第一次會議
page 7	三團體昨歡送獻劍團徵募慰勞金運動今日結束
page 7	自衛團員越權捕人義裁判司嚴加申斥
page 7	中大服務團東江工作近訊派隊救治傷兵病民
page 7	福建省銀行恢復閩省信匯
page 7	我國紅十字總會理監事會議昨閉幕通過增加救護經費等十二案擁護國際紅十會保護平民案
page 7	桐果嚴限轉口九龍關之佈告
page 7	防空員演習烯燒彈撲滅法
page 7	真光中學開兒童同樂會
page 7	港澳振濟會昨日成立舉出委員二十七人吳鐵城為主任負責辦理兩地賑務中央將有補助
page 8	進行查緝
page 8	賊匪四人
page 8	交出金飾
page 8	知非好意
page 8	本月份刑名案定十八日開審
page 8	英戰時慰勞會又募得二萬元
page 8	李景樅昨抵港
page 8	八和會歡迎粵劇界服務團
page 8	本港政府力謀救濟柴荒
page 8	影星盧敦赴重慶
page 8	大生杯排球賽本月廿七開始秩序抽籤編定
page 8	籃球聯會明晚召開會議商討交代事宜
page 8	港越埠際足球賽有實現之可能赴滬隊定期下月四日啟程旭和杯初賽改遲一天舉行
page 8	上海大學乒乓聯隊犯港青紅孔聖預備迎戰
page 8	蘇軍兩犯規球員昨未依時受訊因演習未畢
page 8	明晚女籃球無戰事
page 8	棒球義賽收入好
page 8	萬生牛欄劫案昨開審次被告馮生無罪獲釋餘被告押候今日再訊
