page 2	本港食水問題
page 3	交行總管理處決定遷滬京行改為支行
page 3	蔡成勳擬設五路司令豐城張福來臨川張克瑤清江靳雲鶚永豐新淦間沈鴻英新建常德盛
page 3	內閣總辭呈經黎元洪退還
page 3	顏惠慶與董康昨赴湯山董擬假後仍辭職謂七月鹽餘除各處截扣外僅得九十萬不敷擔保支配故財部次長嚴壤項驤亦上辭呈
page 3	聞有人向曹錕建議速籌付所欠議員歲費將來由國庫扣
page 3	還以博好感計約二百餘萬
page 3	外國銀團以各處扣款認為已破產擬派代表討論應付我國債務事聞將宣告世界今後不得貸款與中國因此後收入小敷還債故
page 3	聞孫文代表到京託入轉與吳佩孚協商如改召八年國會承認孫非常總統孫即自退並派議員北來
page 3	王寵惠代揆聞將成事實
page 3	外部因政費緊急再催領袖公使商撥關稅五十萬又請月撥五十萬充京內外教育費
page 3	張國淦廿九日辭農商總長因受吳佩孚蕭耀南電詰
page 3	近傳張作霖欲以現款收買京奉路由榆關至奉天之英人債權但英人不允
page 3	王達長皖閣議巳通過因閣潮故未下令
page 3	濟變元派代表謁黎元洪謝令留任守制並報告陳炯明接洽統一極有希望
page 3	聞王承斌擬三十日到津接省長篆調和議會與各社團之惡感
page 3	漢口電訊拒湯薌銘派舉代表謁蕭耀南請兼省長職蕭召軍警及各法團會議並電京請示又一說謂湯謁蕭被拒已從公民請廿九晚任省長職
page 3	聞吳景濂與邊守靖擬重組國民黨
page 3	張作霖又派葉恭綽充三省保安司令部秘書長並於廿七日開軍事會議決練精兵十師月定軍餉一百萬
page 3	聞黎元洪與曹錕吳佩孚商定決用外交派當局以減去黨爭
page 3	張作霖撤消東省鹽政稽核所有令洋員限期出境訊
page 3	蔡成勳特派王利秩到漢與蕭耀南籌商接濟械彈及援贛各事
page 3	開會在即政局如何尚未確定
page 3	張錫元近回國務院提議外蒙因華人無護照之故禁止入庫倫須請求對付辦法
page 3	二十八日任命外交次長沈瑞麟內務次長孫丹林分別代理部務
page 3	河南歸遠東　最近發生兵變有土匪五千加入馮玉祥率第十一師主力部隊前往剿辦起變者係豫軍第一師留守部隊
page 3	張作霖扣留東三省鹽稅有關係之四國公使向外交部抗議
page 3	二十　日閣議後顏惠慶遞總辭呈並稱翌日赴津黎元洪謂君去余亦將再離京慰留甚力
page 3	上海消息海軍總司令部決定八月一日由江南製造局往南京學校新任總長杜錫珪並將有重要委任
page 3	某方面消息在滬國會議員截至二十玖日經領旅費北上者共有一百十七人並聞北上議員多數俟入京後察看形勢乃出席國會
page 3	北江戰事續報
page 3	孫派所言之關國雄態度
page 3	南雄方面之軍事消息
page 3	拉伕情形日記
page 3	梧州西訊
page 3	西報之羊城消息
page 3	火警例誌
page 3	帆船罷工續聞
page 6	陳炯明不受任命
page 6	江亢虎之遊俄談
page 6	吳佩孚致唐繼堯電
page 6	租屋訟案判結
page 6	自由車相撞索賠償案
page 6	唐繼堯與顏惠慶來往電
page 6	香港預科書院之成績
page 6	木工自縊　
page 6	船政司署案
page 6	銀價
page 6	研究摩托車輾斃命案
page 6	妾控大婦
page 6	被控煮私煙
page 6	小童行搶判監
page 6	煙土案
page 6	是否圖劫
page 6	竊案
page 6	德國馬克大跌
page 6	日本擬撤滿洲駐兵
page 6	美海軍總長抵小呂宋
page 6	希臘對君士丹丁作戰舉動
page 7	黃志桓又率兵北上
page 7	孫艦加緊戒嚴
page 7	溫樹德最近行蹤之所聞
page 7	軍防庇賭互毆
page 7	吳飛嚴拿賭徒之近因
page 7	看守所人犯又欲逃脫
page 7	廿六日省議會議事誌要
page 7	戰事消息別報
page 7	廖仲凱被押近聞
page 7	欽廉軍隊來省
page 7	政潮中之新稅推　法
page 7	省銀
page 7	飭憲兵廠查省港輪搭客
page 7	蘇理中辦理北江護商
page 7	陽江土匪紛起
page 7	開平推舉知事
page 7	瑣聞一束
page 7	請由鐵路　鹽不准
page 7	交通情形之最近調查
page 7	商船公會之通告
page 7	潯柳間之匪患
page 7	催陳永安到香山任
