page 2	奉直再戰之動機
page 3	王寵惠昨經各方及顧維鈞張紹曾等敦勸已銷假出院並謁黎元洪現居自宅仍副署命令但不見客
page 3	護法議員昨又舉梅寶璣等四代表赴眾院憲法會議徐清和在議場發言謂法律不解決常會憲法會不能開故又未成會
page 3	聞政學益友兩系因維持張耀曾盧信地位允退回唐閣咨文為交換條件
page 3	張英華回京言與吳佩孚商定向滬華銀團商借五百萬濟急再由曹錕吳佩孚提倡各省協濟中央款項
page 3	政府　漢陽兵工廠罷工毀壞機件謠傳係拒湯薌銘派電造已電蕭耀南查覆
page 3	湘省倒趙之風潮益烈趙派員赴滬聯譚延闓並令宋鶴庚魯滌平與陳嘉祐調停但宋魯仍與譚系積極倒趙現宋已赴衡州魯赴津市將聯電請趙退位
page 3	王寵惠出醫院後因財政難關尚未允正式組閣聞黎元洪欲顧維鈞兼財政俾王出任但願祇允幫忙不允兼財閣事仍混沌
page 3	聞谷鍾秀及張耀曾李根源等昨在公園大讌議員擬預選參議長之候補者
page 3	昨王正廷在東方飯店宴民八議員為吳濂疏解眾對王意尚緩和但極不滿意於吳王逃席去
page 3	護法議員昨在中央公園招待報界由梅寶璣報告經過事情並請援助
page 3	近傳京保議以張錫鑾任東三省巡閱使李長泰副使張作霖為鎮威上將已派員往商
page 3	聞王芝祥王人文南下係勸孫文北上外傳派王人文為四
page 3	川宣慰使不確
page 3	聞連日各省代表均聯袂赴保定協商時局要務
page 3	院連接吳佩孚馮玉祥蕭耀南蔡成勳田中玉張福來等來電歡迎王閣反對聯省會議
page 3	上海電
page 3	維持紙幣之佳音財廳佈告銀行存款辦法
page 3	匯豐銀行代存紙幣已簽約
page 3	兩陳就職日期
page 3	海軍推湯廷光任總司令
page 3	小艇被水師大搜
page 3	被控行劫瑞億輪船案
page 3	勒索案續聞
page 3	飛律濱禁牲畜入口
page 3	本港牲禽增價之原因
page 3	一日之食水
page 3	駭人聽聞之劫案　則
page 3	海軍又請交回舞鳳艦
page 3	總指揮處改為軍務處
page 3	闔港工團演劇籌賑
page 6	憲法審議會第六次開會紀繼續討論省與中央之關係
page 6	東華醫院聚會
page 6	滇唐著手改良司法
page 6	湖口兵變之鄂聞
page 6	潮州八邑商會第一號報告表
page 6	價銀
page 6	招人築路
page 6	商務局報告
page 6	百代公司新攝汕災影片
page 6	開灤煤礦報告
page 6	被控搶珍珠　
page 6	軍火案判監
page 6	和尚騙寡婦
page 6	竊案
page 6	積犯被拘
page 6	線衫未取去
page 7	審計處長履任之經過
page 7	江門北街擄劫案餘聞
page 7	賀陳總司令復職電
page 7	唐繼堯派員來粵續誌
page 7	冒名查搜被獲
page 7	軍人又在戲院滋鬧
page 7	番令調處石樓茭塘鄉鬥案
page 7	炭步商團反抗開礦之慘殺案
page 7	江門之劫渡傷人案
page 7	江門之暗殺案
page 7	塌屋傷人
page 7	釐稅搭繳小紙幣之期限
page 7	擬實行化驗膏丹丸散
page 7	郵局通告
page 7	省教育會定期改選
page 7	市行會會議之發言權
page 7	聯合巡察處展期撤銷
page 7	北江臨時招待所已結束
page 7	陸蘭清軍隊之野蠻
page 7	上海颶風續聞
page 7	德國鬧糧貴
page 7	英國撤銷美領事
page 7	用樹膠漿製紙之發明
page 7	瑣聞一束
page 7	來函照錄
