page 1	桂南日軍總潰退
page 2	五原東南發生激戰殘餘日軍不難短期內殲滅
page 2	晉南日軍後路切斷遼縣柳林日軍蠢動受重創
page 2	錢江南岸我軍繼續進擊浙東戰事我有勝利把握
page 2	新會我軍克復古井
page 2	陳誠等通電討汪
page 2	我桂南前方將領駁斥日荒謬通告
page 2	日軍犯高安以北我軍奮勇截擊日軍不支狼狽潰退我奪獲戰利品無算
page 2	行都慰勞團離韶赴湘
page 2	美郵船八艘賣於比國公司將來行走歐美
page 2	川禁煙署成立設計委會
page 2	桂日軍續向欽縣潰退五原殘日短期可肅清晉南日軍後路切斷我賡續攻擊
page 3	英國俘虜返抵英土
page 3	快臨　　的日人葉秘書長在重慶播講詞
page 3	德向挪威提出抗議
page 3	英方截查德輪報告
page 3	曼那漢元帥勗勉守土將士勸彼等堅守防線待援蘇軍迫近維伊拉普城
page 3	賀爾廣播申述英戰時經濟政策應留意保持軍力與對外貿易並維持現有國家之生活程度
page 3	德輪巴爾多號已被英艦擊沉
page 3	日艦砲擊君山
page 3	華西美以美會為國祈禱並祝委座康健
page 3	德國沒收希輪兩艘
page 3	顏露爾主張引用中立法或禁軍用品運日本關於菲律濱獨立問題美國對之確進退兩難
page 3	粵贛商談經濟合作
page 3	庚款留英學生定期赴美轉英
page 3	英廿齡男子開始奉令入伍計共二十萬人
page 3	挪輪被德艦擊沉已達四十七艘船員斃命者三百零九人
page 3	豫北偽軍反正空氣益濃
page 3	德輪亞爾麥號事件挪威向英抗議英對挪威抗議已駁覆謂係因挪威不善處置德亦向挪威提出抗議
page 5	睦洲日軍已全肅清
page 5	瀧水無恙形勢尚緊
page 5	古井被陷難民口述
page 5	虎口餘生被日兵擄去的小童自述
page 5	粵北大捷軍事長官升調
page 5	省行種值桐樹
page 5	潮屬菴埠日軍侵華美被包圍
page 5	省行工作隊出發粵北前線服務並代財廳省行慰問戰地傷兵
page 5	東江米荒急待賑濟向鄰省求援准免關稅松口厲行日食粥一餐
page 5	日軍在桂南慘敗圖擾高雷犯徐聞竹山港之激戰我大軍增援即將其擊退當局發表欽防日軍動態
page 5	日兵被我擊退經過
page 5	我軍繼續搜索日兵
page 5	省府轉頒捐獻救國公債辦法有債票者望踴躍捐獻
page 5	獻債辦法
page 5	三埠攏水各地均安日軍徘徊古井附近無法再進我援軍源源開到向古井反攻逃出之難民述連日戰事情形
page 7	大學生二百六十餘
page 7	中學生一百九十餘
page 7	登記同學即將遣送
page 7	粵桂捷報紛傳僑胞踴躍勞軍
page 7	港府將設婦女感化院已撥二十萬元為經費將交救世軍負責管理
page 7	汽車輾斃小童
page 7	寶安充滿生產氣象難民紛紛回鄉開耕無田者縣政府給　公田並聘農業專家指導耕作
page 7	振款處置
page 7	遣送辦法
page 7	春耕開始
page 7	匯豐銀行獲利千三百萬將開派去年度末期股息
page 7	宵小入屋行竊盜金飾共值千餘元
page 7	會督協助
page 7	衛生工作
page 7	遣回難民
page 7	李劉聯婚之盛況
page 7	留港失學學生登記竣事將遣送回國繼續求學大學生二百餘人中學生百餘人大部份旅費無著須由政府資助
page 8	少婦跳樓自殺
page 8	青島寄港郵件發現德檢查印本港郵務司發表意見
page 8	婦女新運會徵募軍鞋運動
page 8	自衛團舉行結束典禮必要時仍可召集再出服務
page 8	結束宣言
page 8	公物處置
page 8	被扣留之蘇輪有　釋放說
page 8	團員問題
page 8	為功為罪
page 8	華人機器會馬票明晚攪珠
page 8	東方奏凱快活谷四比一挫警察澄滔梅開兩度許吳各建一功
page 8	國醫會春節團拜
page 8	昨日排球賽保羅輕取漢中成績三比零
page 8	五大公司角逐之興華鼎小球戰績
page 8	打比賽今日舉行沙甸禮冠軍希望最高一元彩票首獎可得廿九萬餘元下午四時半在賽馬場當眾攪深
