page 1	日人圖吞併上海之詭計
page 2	蘇外長道經但澤英空軍飛臨示威
page 2	師出無名迭受挫折意軍內部漸多反戰希軍掃蕩敵人有如摧枯拉朽賓達土山嶺中意軍屍骸遍地
page 2	法自由軍進攻加蓬
page 2	維士政府將舉行法帝國會議貝當召集會議目的鎮壓非洲法屬民心
page 2	英名醫學家慕林氏逝世
page 2	畢特門逝世我朝野表痛惜畢主張援華最力中國失一大友人
page 2	劫後的南寧
page 2	賴伐爾返維士報告德法會談經過對於賴戈會談結果貝當內閣似頗滿意
page 2	波蘭不忘復國昨復興紀念日首相激勵國民
page 2	羅京地震損失重大傷亡二千人無一房屋完整南斯拉夫東部亦發生地震
page 2	續震兩次居民恐慌
page 2	當局積極辦理善後
page 2	南總理演說堅決維護獨立
page 2	和平紀念日倫敦寂寞度過夜深德機大舉來襲中心區頻落下巨彈
page 2	德宣傳蘇外長到柏林商改組世界政治機構日報揚言蘇日不侵約可提早成立德慷他人之慨願將海峽讓與蘇聯
page 3	欽縣外圍仍有戰事
page 3	宜昌近郊戰事劇烈
page 3	湘附日軍紛紛反正
page 3	浙東蕭山被我包圍
page 3	鄂北日軍被我誘殲
page 3	滬又及一花樣建獨立自由港竊銅逃犯瑞士人出名在滬大登廣告
page 3	日軍反對汪組銀行
page 3	泰越邊境又起新糾紛
page 3	美輪所觸水雷澳政府宣佈為敵艦所放澳立派海空軍窮搜敵艦蹤蹟
page 3	旅滇美教士全家三人被害昆明美領派員調查
page 3	日本開國二千六百年紀念大封功臣表慶祝
page 3	日本皇后號已安抵英倫
page 3	滬西又有綁案
page 3	離陝赴豫視察
page 3	飛抵加爾各荅
page 3	渝各界慶祝國父誕辰
page 3	張伯倫之喪各國政要　電致唁波蘭首相尤為哀慟
page 3	士窮見節義滬特二區法院原任官員多拒新命各律師亦皆結束律務該兩院已入停頓狀態
page 3	哥立芝總統輪載美僑離日馬利寶沙號昨日已抵滬
page 3	撤防日軍集中海南台灣美認為將侵荷印欽縣宜昌外圍戰事極烈浙東日潰滬日倉皇赴援
page 5	廣雲公路橋樑被炸
page 5	關邊鄉民鎗殺日兵
page 5	廣州水陸戒嚴情形
page 5	湘粵米鹽交換商人呈請自運
page 5	傷病日兵大批運廣州各鄉祠宇闢為昨時醫院
page 5	日又揚言進犯三埠
page 5	周漢鈴部團隊夜襲會城奏捷附日軍駱部調江會日騎千餘開抵中山
page 5	反戰日人抵韶關反侵會問會招待
page 5	周漢鈴部出擊奏捷
page 5	日騎千餘調抵前山
page 5	澳三貨艇
page 5	謝哲聲談粵省合作事業三十一縣已設指導室充實合作社業務經營
page 5	粵府撥款救濟陸豐漁民
page 5	粵財廳積極整頓稅收劃定二十個清收中心區設評議組評定征課標準
page 5	廣州外圍日軍抽調越南市區內我便衣隊乘機活躍頻襲日營並焚燬日械庫糧倉日商店多結束市民避居四鄉
page 6	始張未曾侵犯
page 6	日機每次過境
page 6	海盜三名捕獲
page 6	南寧舉行復土升旗禮並同時歡迎張長官　鄧總司令民眾愉快之情非筆墨所能形容
page 6	惠隆電船被劫
page 6	桂參議會大會討論桂南復興善後問題收到提案六十件以上黃主席等電賀參政員
page 6	討論桂南復興善後
page 6	首次會議電敬長官
page 6	省府電賀各參政員
page 6	惠河紫寶四縣聯防維護交通桂山殘匪經已消滅
page 6	重征入口貨稅
page 6	寶安國民兵團副團長談沙魚涌鹽田兩地防務日機近經沙魚涌等地甚少投彈我便衣軍警在鹽田捕海盜數名
page 7	今日孫中山先生誕辰各界在娛樂戲院開紀念會各僑團懸旗誌慶學校放假
page 7	大學聯誼會二次代表大會即席成立改選委會
page 7	聯美機昨抵港
page 7	英警官柏架返港談日本糧食已嚴受統制餐室餚饌較前稀薄苦力僅賴冷飯充餓
page 7	本港中文小學准行兩部制此僅係適應環境的暫時措施每年結束須再申請始能續辦
page 7	海盜劫貨艇突遇警輪捨舟登陸棄械而逃警探窮追獲兩疑犯
page 7	胡蝶無恙三年來安居本港傳在滬逝世不確
page 7	對各國婦孺之疏散港府已作未雨綢繆本月十八日起舉辦自由登記必要時按登記先後遣送離境
page 8	張百基將返南洋鼓勵僑胞回國投資擬有興辦實業計劃大獲蔣委員長贊許
page 8	視察經過
page 8	一年來的歐戰
page 8	唐紹儀已定期安葬唐繼室吳維翹昨通知親友對唐榴上訴進行並未注意
page 8	開發計劃
page 8	組織公司
page 8	四巨劫案疑犯再提堂尚須查究未定期開審
page 8	商會今日會議移民新例將提出討論
page 8	字花賭風又熾賭棍竟直接派爪牙上門收票打起廠派彩六成大起爭執
page 8	中山大學十四週年紀念留港同學聚餐慶祝
page 8	金陵舞廳義舞籌得千餘元
page 8	商人夜行遇盜損失千餘元
page 8	三賊誘劫御者
page 8	日輸白銀丸擬二十日由省來港利便淪陷區貨物出口吸收港幣太古公司佛山輪尚無復航準備
page 10	政府貿易機關
page 10	財部頒行條例
page 10	戰時稅關行政
page 10	改組關稅機構
page 10	東方公演話劇籌賑難民
page 10	我政府採發滇錫產合併數大公司實行國營
page 11	交外上常用的各色書皮
page 11	英國的主力艦下
page 11	奼女逃情記七二
page 11	巴爾幹的堡壘希臘
