page 1	擁護中央與信仰領袖
page 2	川樾聲言離京決取強硬態度
page 2	東京海軍當局採取強硬措施
page 2	日本海陸軍隊均已準備調動
page 2	我方協助緝兇結果並無所獲
page 2	駐滬中日外交當局均否認日已向我提各項要求駐京日武官作強硬表示
page 2	佐籐昨晨飛京報告事件經過
page 2	日兵越入華界市府向日抗議
page 2	倫敦對此事件注視時局變化
page 2	日外海省協議決定護僑方法
page 2	蘇格蘭警聞耗追捕一嫌疑犯
page 2	川樾訓令到滬日軍連開會議
page 2	日出雲艦水兵三人被擊後虹口陷入恐怖世界東京日海軍當局決增強海軍警備採取獨立行動日巡邏兵越入華界滬市府向日領抗議日海軍當局聲稱發動自衛權一切交涉已陷入停頓狀態
page 3	翁文灝對記者發表最近外交內政情形中日國交調整尚無具體辦法地方行政已由消極轉趨積極
page 3	豐台北海漢口各事件日方對我之驚人動向豐台事件方向我再致強硬牒文北海事件球磨艦曾奉到攻擊命令漢口事件日陸戰隊巡侵入華界
page 3	國聯討論亞國資格問題多數贊成亞國出席審委會認此問題不便提付海牙當此案通過時帝聽席異常擠擁
page 3	三十九票對四贊成亞國出席
page 3	吳鼎昌王世杰南下視察實業教育昨同乘機飛抵廣州
page 3	意國人士震動倡議退出國聯
page 3	經九星期之圍攻阿爾架柴古堡陷落叛軍奮勇抵抗官軍損失甚重
page 3	京市戶口統計共九十六萬餘人
page 3	孔院長茶會招待外交官員
page 3	李揭敬部即將開赴閩浙派員向蔣鼎文請示
page 3	國民大會決可如期舉行
page 3	日記　在津醉酒墜車喪命
page 3	革命先進尢列由滬抵京九謂對於國家感想一匪以喜一則以懼
page 3	武漢各界舉行公祭諾那諾那遺失灰隨即運京
page 3	虹口水兵事之始末詳情虹口日水兵事件詳情已見前段紀載惟此段所述則為出事後之始末情形較有　數另　之　湛參考
page 4	籃球友誼賽陽光甲戰籃球團今晚七時在健身室
page 4	本年度學界籃球賽昨日已開始報名下月十日止截
page 4	英京銀價昨轉縮
page 4	各行股票之市情
page 4	香港大學舉行週年水運會十月三日在對海西青會泳池
