page 1	羅斯福的援英新計劃
page 2	美輿論擁護援英英人滿意羅計劃
page 2	美開始南美設防日報再發恐嚇論
page 2	西沙漠英軍英勇作戰經過以閃電戰術一舉而佔蘇林意軍慘敗二三萬人被俘虜
page 2	圍攻蘇林
page 2	蘇林進發
page 2	形勢已危
page 2	經過璧璧
page 2	勝利路乎
page 2	荒蕪之地
page 2	加供應部部長等安抵英倫
page 2	德和平刺控失敗將在明年春間大舉侵英倫現正積極發展飛機生產徵募飛機坦克駕駛人員
page 2	日汪滿發起組織東亞國聯會
page 2	英空軍再炸德曼漢城英倫天　惡劣德　活動大減
page 2	匈牙利公主被美驅逐出境
page 2	希軍乘勝追擊冒雪向吉利蘇拉前進意軍退出希馬拉及德比林尼英空軍再炸擊阿國都拉蘇港
page 2	組東南亞民族同盟日南　又一花樣
page 2	願降之心
page 2	非洲勝利
page 2	控制海洋
page 2	海上運輸
page 2	意軍慘敗
page 2	羅斯福回京後昨發表援英新計劃大量軍需借英使用加速國防生產適應英國需求避開借款形式免取銷中立法
page 3	意軍戰敗已失勢德法可單獨媾和
page 3	賴伐爾被捕經過貝當面逼賴辭職
page 3	英軍圍攻巴地亞南非聯軍攻意領
page 3	崑崙關建紀念塔
page 3	南海我游擊隊出擊獲勝
page 3	地中海航運戰險倫敦燕梳業已收受紐約方面宣佈減收
page 3	二萬意俘虜將運印度印趕築集中營
page 3	英國網球名家乘機覆墜殞命
page 3	兩日人因攝影軍事禁區但旋　具結釋出
page 3	倍陵縣民捐獻軍穀
page 3	越南法空軍炸擊泰國城市越南當局大捕共黨共黨散發排日傳單
page 3	瑞士向英抗議英機炸擊瑞境要求賠償損失
page 3	德參贊抵渝續訊
page 3	溫莎公爵願任駐美大使但並未向政府　求
page 3	日人民陣線份子被捕即將開審
page 3	美海軍當局定製驅逐艦四十艘擴充數個海軍船廠
page 3	日報主張與蘇訂立漁業協定所訂條約時期較長藉此改善日蘇關係
page 3	襄河西岸日軍出犯被我截擊當陽附近激戰斃日軍百餘晉南我軍襲擊絳縣南日軍
page 3	意戰敗引起軸心內變德軍五萬開入意北境德法將單獨媾和賴伐爾恢復自由德法關係再考慮法西斯政權不穩英意有休戰可能
page 5	港灣歸僑二千餘人抵韶省振濟會分別安置
page 5	廣州日軍拉伕農民夜間割禾
page 5	粵省驛運以人力為主未中簽壯丁編當民伕成績優良者暫緩兵役
page 5	珠江水利局實施水利計劃逐步改善各縣農田水利濬深遂溪縣內之特侶塘
page 5	邕市整理一新
page 5	日艦載兵離汕
page 5	增加遂溪防務下月一日升為二等縣
page 5	粵撥二百萬元發展糧食 生產擬請中央補助一半其餘則由省庫負擔
page 5	廣州日軍嚴搜貨客市西各鄉渡均已停航
page 5	粵召開全省游擊會議一連三天計通過提案六十餘件余長官與游擊區司令個別談話
page 5	湘米源源運粵平糶東江粵北先行舉辦每元四斤限購一票
page 5	普通商號不得吸收存款財部重申禁令
page 5	日在中山虎門設海軍給養院
page 5	食鹽接濟近訊
page 5	越泰戰事日趨擴大日艦續由台及華中開到瓊海法人已覺悟日方挑撥離間陰謀泰國執迷不悟致雙方無法妥協
page 6	我對廣州灣已施行反封鎖封鎖線二道分設檢查站牲口大批圖運租界被扣
page 6	東江糧食會議閉幕胡銘藻公畢返抵韶關談粵不糧食不成問題
page 6	南路當局積極維持各縣糧食接濟特准陽江限制米石出境軍委會查禁高屬抽練穀
page 6	陽江一縣米價　貴
page 6	當局維持米市市場
page 6	嚴禁擅自抽收穀捐
page 6	粵公務員明年起加薪辦法已在省府審計中
page 6	海豐嚴禁棄嬰違者罰錢並送法　究辦
page 6	國際友人貝克梁根抵桂對我國抗戰極表同情
page 6	漢民中學在桂建築校舍總裁頒給萬元
page 6	新興鄉鎮長聯名控告法官
page 6	中新兩縣當局開聯防會議前山婆蘿島日軍昨突施戒嚴新開新鶴兩路我軍繼續增加
page 7	目前環境尚須囤米
page 7	直接交易未易辦到
page 7	九龍教會團體組耶誕歌頌會定廿一日下午舉行
page 7	譚雅士談本港各團體應代會員領移民證集體進行可省許多手續並可免代理處苛索費用
page 7	米店捐高售價被罰
page 7	聯美機將抵港
page 7	張丹畫展今日在思豪酒店舉行
page 7	駐澳英領來港
page 7	新防空員準備參加大操
page 7	失事挪輪船員獲救抵港
page 7	耶誕與新年商店得開夜市節省陽光法例暫不執行收市時間絕對不加限制
page 7	平抑米價再進一步米行批發價昨亦規定並推出數萬包囤米應市當局召見米行代表結果
page 8	肺癆症之可怖去週死九十五人
page 8	模型飛機協會招待各校校長力請增設航空科目
page 8	馬來亞華僑回國墾殖第一批三百人昨日過港尚有數百名下月被歸來
page 8	韶青年會被炸損失重大幸無傷人
page 8	印刷行勞資繼續談判雙方意見已漸接近定明日再開會討論
page 8	聖約翰救傷隊續募男女隊員
page 8	商賑會會議紀
page 8	數十工人械鬥結果重傷一人
page 8	獎勵研究工業我經濟部訂定辦法
page 8	振委會貸款軍人家屬曲江貸款處並訂優待辦法
page 8	限制麻包出口港府通融辦理
page 8	大批魚菜到港市價已回跌
page 8	民生工業社賣物會昨開幕售出貨品已達二千元
page 8	海盜又焚劫一貨艇榜人幸脫險財物損失極巨
page 8	馬士文貨倉被匪破門行竊捕獲疑犯兩名
page 8	青年論文比賽定廿五日揭曉
page 8	第十一批義民昨日離港返韶
page 8	城隍街昨火警一男子受微傷
page 8	車輛失事統計上週死五人傷廿二人
page 8	省救護會港分會兩救護站成績半月內救治三百餘人
page 8	勒索案仍押候首被告昨上堂作供
page 8	本港防空處請增撥建設費三百萬各項工程進展迅速急待支銷財政委會今日開會可望通過
page 10	國際杯初賽葡隊陣容內定蘇軍人選仍未產生最近兩週賽程精彩
page 10	體協會週年陸運定廿五日正式揭幕預賽改在廿三日舉行
page 10	記者球隊連日操演甚忙排球隊今戰仿林籃球昨敗于香江
page 10	昨日學籃戰績
page 10	港澳乒乓義賽雙方職球員擬定
page 10	大學生籃球聯誼賽廿二日揭幕參加者有多隊
