page 1	英蘇談判與拉攏小國
page 2	我軍再攻浮山永濟Ｘ東犯不逞晉綏交通被破壞
page 2	Ｘ機廿七架昨日再炸重慶我神鷹隊昇空迎擊在北培上空作激戰
page 2	江南捷報我軍衝入宜興宜興城內發生巷戰
page 2	Ｘ機八架空襲英德翁源增城Ｘ犯新村被我截擊
page 2	昨晨Ｘ機炸汕塌屋四十餘間死傷者十餘人
page 2	岳州Ｘ無異動南林橋之Ｘ向咸寧撤退
page 2	我神勇鐵鳥
page 2	大城方面二日晨起我以英勇狀態
page 2	溧水經我攻克後
page 2	侵佔孟縣之Ｘ
page 2	外傳德意日三國刻正進行談判
page 2	浙東平靖滬謠傳Ｘ登陸不確
page 2	蜀西西昌民運活躍各界舉行公約宣誓
page 2	從化戰區軍民感情融洽民助軍抗戰軍助民春耕因此做成迭次偉大戰果
page 2	我軍克復向塘大嶺圍攻奉新南昌Ｘ腹背受擊我空軍猛炸蓮塘Ｘ軍陣地
page 3	新任蘇外委長莫洛托夫履歷
page 3	英皇聘美英院表示愛敬
page 3	英內閣檢討英蘇談判
page 3	法國將發行國防公債債額六十萬萬
page 3	英倫各地又發生炸彈案與愛爾蘭運動有關
page 3	國際糖業委會攷慮生糖缺之但未取得補救辦法
page 3	法艦隊開離直布羅陀
page 3	英國對我同情非全基於權益
page 3	所謂華新銀行定期開始營業
page 3	海南之Ｘ已無再進能力
page 3	滬公共租界要員談對懸旗態度
page 3	德駐英法大使奉令趕速回國德施報復手段驅逐英僑
page 3	蘭頓氏放棄一黨成見贊成羅斯福和平主張倘世界發生戰爭美必不能脫身事外羅斯福擬提新中立法案以答覆希氏
page 3	德又有新企圖思欲染指北歐在北歐成立中立陣線瑞挪等國會謀抵抗侵略
page 3	諾貝爾抵汕視察英僑商務
page 3	昆緬築路英議員提質問案
page 3	河內西貢間將有定期郵船
page 3	麥加朝覲記
page 3	由埃京赴麥加途中
page 3	二朝覲天房謁見漢志國王
page 3	三偽組織代表表示悔悟
page 3	四船中宣傳抗戰
page 3	蘇聯外交將有轉變李維諾夫辭職莫洛托夫繼任遺缺英法對此極為注意
page 4	新任職員
page 4	議決要案
page 4	西營艦械劫案押　明日再審
page 4	印警被控受賄
page 4	博羅散賑團昨日公畢返港
page 4	諫當公司年會期
page 4	孔懷體育會焚債
page 4	中華廠商聯合會新職員昨已全部選出葉蘭泉陳履霜任正副主席再捐粵慰勞會短衣五百套
page 5	南庄站殲Ｘ數百餘
page 5	新會各界加緊動員
page 5	新會戰事經過情形
page 5	鶴山Ｘ兵大部撤退
page 5	周部先鋒開始活躍
page 5	平洲Ｘ軍又到南圃登陸
page 5	北江軍事推進中三華店Ｘ軍已全退神崗Ｘ司令部移駐太平場
page 5	Ｘ司令部設太平場
page 5	Ｘ忙修路遭我襲擊
page 5	三華店昨已無Ｘ蹤
page 5	莞城傀儡被我襲擊
page 5	吳袁兩部攻至峽口
page 5	陳部前夕襲擊太平
page 5	Ｘ軍三千增援石灘
page 5	東路我團隊分三路襲擊莞龍太之Ｘ增城方面亦被我軍夾擊
page 5	昨日Ｘ機三次襲汕潮海Ｘ艦增加勢頗緊張
page 5	潭洲形勢又趨緊張團隊攜禁影機過境
page 5	鄰越邊區難民入越辦法得暫免納身稅
page 5	白崇禧召軍議佈置桂省防務
page 5	大軍東下
page 5	嚴肅軍紀
page 5	省賑會救濟西江避難船舶令撥國幣一千元
page 5	商店壯丁抽訓疑義之解釋
