page 1	巴爾幹形勢惡化
page 2	娘子關之役擊斃日軍千餘聞喜一帶日軍極形恐慌
page 2	贛北我軍復襲日軍
page 2	為新政體制近衛發表宣言謂日新政治體制不類一黨專政否則有違天皇總攬大權之國策
page 2	我軍繼續圍攻無為
page 2	桂南日軍被圍我痛擊犯上思日軍
page 2	汪阿談判繼續舉行
page 2	我精銳大軍開前線準備大舉反攻日陸軍總長秩父來華召集軍事會議無結果
page 2	津日租界中原公司大火全座樓房被燒燬
page 2	工部局加緊防範恐佈活動另發新通過證
page 2	川善後公債定期還本
page 2	滬工部局研究改善選舉制度
page 2	中法聯誼會秘書馮治忠被刺傷一刺客被擊斃
page 2	困守宜昌對岸日軍圖逃未逞襄東我軍掃蕩大洪山殘日宜沙戰役日軍官死亡甚多
page 2	粵舉行農業人才登記
page 2	朝鮮亡國紀念旅渝朝鮮革命團體舉行沉痛紀念典式
page 2	德意羅匈四國會議
page 2	我外部對越南重要聲明
page 2	白鳥敏夫等任外務省參議
page 2	滬甬紹同鄉謀運米往甬紹以賑濟兩地災民
page 2	粵戲劇協會響應獻機運動籌獻劇人號機
page 2	游擊隊員曾詠至死不屈當局決予厚卹
page 2	日機狂襲開建被我擊落一架
page 2	我向越南發表聲明堅決表示自衛決心不論日軍用何藉口在越登陸我軍當開入越南採自衛措置
page 3	蘇羅邊界發生嚴重衝突士兵陣亡百名羅機六架擊落
page 3	德機約百架襲英倫東南部被英空軍擊落六架倫敦一連五夜受襲
page 3	埃及首相打銷辭意
page 3	美加聯防局經已休會
page 3	美運海參威貨物俱係交蘇聯商業機關是否轉運重慶不得而知
page 3	一匈國轟炸機被羅驅逐一匈機員受傷匈向羅國抗議
page 3	非洲赤道法屬乍得不肯投降德方繼續支撐英國作戰
page 3	美徵兵案勢必可獲通過上議陸軍反對派承認失敗知大勢已去不願再力爭
page 3	意空軍昨轟炸砵薩港
page 3	愛爾蘭要求德國容許糧食入口德方已允考慮
page 3	托洛斯基遺骸昨已舉行火葬
page 3	美上院議員表示英美步驟一致在遠東已締結協定有導美入戰爭漩渦
page 3	葡內閣已改組前任首相蟬聯
page 3	慕尼黑發出空襲警報
page 3	政院議決雷沛鴻任西大校長鄂省府局部改組嚴立三免職
page 3	德決羅匈四國維也納舉行會議促羅匈兩國解決邊界問題企圖防止巴爾幹發生戰爭
page 4	吳楚帆在人間何世替失業青年怒吼
page 5	南路軍事有新部署
page 5	新戰區已定期成立
page 5	粵南桂南最近戰訊
page 5	　擾蓬洲　日被逐
page 5	日犯樟林不逞
page 5	韶關趕辦災區善後軍警嚴密鞏固空防警備部訂澈底疏散計劃李主席飭重防空棚洞
page 5	省政當局關懷災民
page 5	肇青年團設社會服務處
page 5	潮陽情勢穩定日犯樟林受創我軍猛烈反攻蓮陽日再犯蓬洲不得逞
page 5	高雷各地謠言又熾
page 5	我機偵察西江
page 5	災區善後加緊辦理
page 5	實施強化防護組織
page 5	粵教廳長黃麟書談視察粵東教育觀感優點頗多使人滿意小學教員生活清苦
page 5	中立縣立聯中繼續辦理林偉廷繼任校長
page 5	廣州女師遷韶
page 5	江門日軍四百抽調中山我一度攻入溪角石岐動搖中山緊張岐關路昨中止開放白蕉在圍攻中我軍入駐大小淋
page 5	江門日軍增援中山
page 5	我游擊隊進襲溪角
page 5	白蕉仍在我圍攻中
page 5	袁帶策動反攻順德
page 5	潦水淹新會日機場
page 5	日閥又圖發動新攻勢粵桂兩戰區我軍確定迎擊計劃余漢謀定期就任司令長官職張發奎仍負責粵南桂南軍事
page 6	蓮塘日軍懼我襲擊
page 6	日軍連日竄擾鹽田
page 6	大亞灣日艦已他駛
page 6	聯和軍民英勇抗日
page 6	攻蛇頭嶺殲日百餘
page 6	簪花嶺重入我軍手
page 6	從化我軍沿河挺進克復楓圍進攻太平場一部衝入官塘破壞日軍營陣馬武村激戰獅嶺殘日漸肅清
page 6	粵省當局限制各縣積穀倉穀經發糶者准緩購還不能自由發糶以杜流弊
page 6	粵商聯會請減征利得稅
page 6	廣州日軍火併
page 6	粵省政費近訊
page 6	高要縣府禁運銅元出口
page 6	西潦浸梧市區
page 6	韶市商人募款慰勞空軍
page 6	強化精神動員爭取最後勝利戰區可令部轉飭遵照
page 6	大亞灣日艦大部他調莞樟路我軍再克簪花嶺突擊增城攻入蛇頭嶺等要地寶安日軍趕築砲壘及防空壕
page 7	問題如次
page 7	公共水廁
page 7	香港啤酒
page 7	粵救護會港分會昨會議
page 7	記者節紀念會紫羅蘭女士將　助慶各廠家紛紛認購禮物
page 7	留營難民略增
page 7	保衛團區隊長現尚在物色中
page 7	啟德飛機場堆置沙包蕭頓游樂場防空壕將完成
page 7	迷路兒童待領
page 7	今日下午試放空襲警報
page 7	港九教師聯會昨遷出新職員
page 7	港越交通未復奉令折回之某輪已抵港
page 7	立法局今會議普樂議員將質問史塔士道毀壞原因財政司請通過新訂洋酒稅率財政委員討論增加不敷政費
page 8	比較上次略見進步
page 8	吸煙者多人被儆戒
page 8	乘黑暗中侮辱女性
page 8	大不列顛的全國合作懷德爵士撰英國情報部遠東局播
page 8	義勇軍行竊案簽保二百元了結
page 8	大批魚菜到港
page 8	海盜騎劫貨艇
page 8	車輛失事統計去週傷廿五人
page 8	霍亂疫症流行居民宜速注射聯疫劑
page 8	印警被殺案定下星期公審
page 8	礦場三稽查員被控誤殺礦工定下星期二日正式審訊
page 8	葡人行騙入獄
page 8	錢債案一宗判決
page 8	防空副監柏高談防空演習成績漸佳惟前晚九龍住戶仍有燈火外露市上遊人犯法例者亦有多名
page 10	昨宵游泳對抗東方不敵勵進績分為十二與十八之比五十公尺高妙玲平全國紀錄
page 10	水國健兒分頭出動今夕南華鐘聲同時舉行水藝
page 10	南華
page 10	鐘聲
page 10	昨日夏令籃賽東方華僑告捷今日好戲兩場
page 10	同義舉行遊藝會
page 10	中西游泳義賽華會未接通告
