page 1	地中海形勢檢討
page 2	皖南我軍克復青弋江鎮貴池日軍擾犯殷家匯侵入上黃鎮日軍潰敗
page 2	開封方面
page 2	週來各戰區我軍殲日致果經過我軍以有計劃之主動攻略打擊開封晉南南昌之日軍
page 2	大別山麓日軍中伏湖北我軍不斷出擊
page 2	晉省名宿李慶芳被擄不屈而死享　六十有二知者同聲哀悼
page 2	汪宣傳機關多趨渙散華南某兩報將停頓
page 2	佔長江下游航務日輪獨佔
page 2	國府回都典禮昨在南京舉行阿部到場指導
page 2	駐蘇美大使返國休假
page 2	政務巡視團路線決定
page 2	天津租界前途未可樂觀即使白銀問題堅決日軍封鎖未必停止
page 2	侵粵日軍販賣仇貨毒品抽擄壯丁婦女
page 2	注派遣葉蓬圖在武漢練兵日方不許新招新練汪向安籐哀求兩事
page 2	華僑懸獎克復廣州獎金一百萬元
page 2	旅智僑團討汪
page 2	日銀行紙幣發行將達四十憶圓
page 2	欽邕路殘日被掃蕩晉南連日仍有激戰開封近郊激戰中日軍被殲三千贛北日軍全線反攻皆被我擊退
page 3	聯軍控制猓羅士城
page 3	出席太平洋學會觀感一
page 3	英機大炸德軍陣地
page 3	德　轟炸挪威西部
page 3	英方否認被截數段
page 3	德供襲艦多被擊沉
page 3	德倫的英以北激戰
page 3	德倫的英淪陷情形
page 3	法向意要求恢復兩國談判意表示時機尚未成熟意外部代表抨擊英法
page 3	林語堂抵菲談中國必獲勝利
page 3	挪威克港二次海戰經過擊燬德驅逐艦七艘英驅逐艦三艘受傷
page 3	美外交部勸旅羅僑返國
page 3	英法職工組合會舉行聯席會議
page 3	比內閣全體辭職
page 3	南僑代表向蔣委長獻旗
page 3	美議員華爾斯主張擴充海軍但反對美參戰
page 3	法總理報告挪境戰況以及一般國際時局
page 3	蘇聯報紙頒揚我國抗戰謂我不可屈服
page 3	蘇大使對英重申中立態度
page 3	法郵法蘭西號由法政府徵用行走遠東澳洲間
page 3	英法與瑞士締結戰時商約
page 3	美武官被炸事件戈林向美道歉
page 3	德軍七萬集合丹京要求瑞典假道侵挪挪威東南部現正展開廣大游擊戰聯軍佔領士多爾蘭之鐵路交叉點
page 5	日艇又圖窺犯都斛
page 5	江會各線仍無劇戰
page 5	前山灣仔仍然戒嚴
page 5	日在三廠收買糧食
page 5	日兵在河南厚安里被殺日軍亂捕居民無辜被捕者共七十餘人中有五名被殺投屍塘中
page 5	台山四九墟警察又獲幫私貨捕獲私梟十七名
page 5	日軍又復揚言五一開放珠江航商仍不重視
page 5	桂省軍民合作站之進展改在柳賓貴武四縣設立支站
page 5	財部籌設曲江海關已加派員司來粵
page 5	日偷犯平銀江東岸
page 5	那香百濟在激戰中
page 5	欽邕沿線砲戰激烈我痛擊迂迴援桂日軍平吉平銀江頻有接觸
page 5	東江護僑業務之擴充僱定專車行走梅縣至老隆間保護華僑出入派隊負責挑運
page 5	五月一日至七日定為全國青年運動週省黨部發動青年服務
page 5	仰光女學生捐抗日濟難李主席函覆嘉獎
page 5	粵漢路客貨實行改訂新價
page 5	澳門三埠輪渡停航中日艦艇圖犯都斛不逞江會各線無劇戰我游擊隊活躍前山灣仔仍戒嚴斷絕行人來往日偽在三廠收買糧食禁止出口
page 6	日軍進犯情形詳誌
page 6	儋縣澄邁各地激戰
page 6	廣東省政進展情形一切措施均與戰時冇關本苦幹精神獲良好效果
page 6	日機狂炸英德
page 6	中山郵局被逼恢復工作
page 6	勷勤商院學生發動建立省大
page 6	東江戰區義童教養團之搶救增設第七教養團
page 6	芝城華僑捐振款十萬元匯呈李主席救濟粵北義民並望國內外同胞多所捐助
page 6	興寧被炸災重地方當局籲請各方救濟
page 6	瓊崖日軍圖夾擊文昌我軍分三路進犯均先後擊退
page 7	廣東叢書第一集決選錄民族英雄遺書本年雙十節前後可出版許地山冼玉清等為編輯
page 7	中山逃難學生已在澳門復課中山濟難會月助五百元
page 7	國貨產銷協會擬組織攷察團赴南洋及菲律濱考察
page 7	歌伶義唱明晚舉行分中環蓮香西環陶園兩場
page 7	椰皮製造布定菲工業家發明
page 7	魚翅入口激增港人生活日趨豪奢
page 7	兩文協會理事今日開聯誼會
page 7	徵求傷兵之友僑胞熱烈響應基督教徒一致參加工團領章將達二萬
page 7	教友響應
page 7	藥行商會
page 7	公映名片
page 7	保育會昨會議
page 7	各區水塘儲水已滿食水供給將取消限制月內或下月初可望實現水務司昨對記者之談話
page 8	干力島劫案詳臬定讞被告十二人均不認有罪
page 8	留營難民統計較前週增十三人
page 8	順德僑商昨歡迎劉縣長
page 8	劫艇案疑犯五人被捕警探昨日再搜榕樹灣
page 8	英航務部徵用渣甸商船定五月一日實行
page 8	港勞工處擬用華人稽查
page 8	各邑僑商救濟故鄉米荒
page 8	挪領發起募捐充實挪威戰力量
page 8	荷屬東印度暢銷我國產品爪哇商人來港大量採購
page 8	生果商店延遲收市問題港政府尚在攷慮中
page 8	無照懷械被捕
page 8	車輛失事老人慘死重傷者三人
page 8	少年服毒獲救
page 8	逃營孤軍入獄
page 8	殺工頭案提審
page 8	拐婦入獄六月
page 8	開本港新紀錄保險銷貨場出現
page 8	非法墮胎案判決庸醫黃玉卿入獄兩年賊害人群法官痛斥被告確非重懲不足以儆效尤
page 10	今夕中青女籃賽協會再逢菲隊七時一刻對陣定有看頭男子表演賽東方戰鍾聲
page 10	李惠堂不能隨軍征越總會擬以霍士補其缺
page 10	學運籌賑大會各校須自領校旗一幀學生證函
page 10	記者體特會定期旅行元朗比　足球後參觀腐竹廠
page 10	小型足球戰訊
page 10	東方菲島歸鴻七
