page 1	論俄芬交涉
page 2	滬偽市府警察仍干預越界築路警權目的在奪取該處之稅收權
page 2	晉南我軍迫近河津
page 2	上海過江輪新太古號遇風覆沉輪上當時有搭客約四百名搭客中獲救者已有六十名
page 2	陳銘樞離渝不確
page 2	滬日兵仍據交通大廈
page 2	日紡織工人舉行緊急會議
page 2	南路慰勞團到抵湘西向某將軍獻旂
page 2	湘勞軍團向某將軍獻旂
page 2	劉桂堂偽軍一部突然譁變
page 2	魯南日軍一部被我包圍
page 2	蔣委員長決心肅清川省煙毒擬由可靠部隊分駐各地實行制止武裝保護走私
page 2	樂景濤談孤島觀感處境雖黑暗人心未死對抗戰建國信念堅強
page 2	綏蒙政會舉行大會朱綬光出席指導
page 2	滬偽警在租界發生搗亂租界巡捕到場制止將其拘捕解回日界
page 2	意首相召集高級長官會議命意國砲兵積極擴充
page 2	歐洲大戰爆發發生金本位幣制問題各方面資金逃避結果使美國積屯大量黃金
page 2	渝臨時參議會舉行閉幕典禮
page 2	浦東我軍向南匯城推進
page 2	我軍進攻淮陽與日軍展開血戰
page 2	漢口淪陷後外人商業凋零
page 2	胡木蘭昨抵渝
page 2	滬妓院槍殺案日領提出抗議
page 2	南開大學三十五週紀念
page 2	浙贛我軍作主動進攻攻入杭州城進擊南昌三路進迫奉新在城郊展開激戰進攻武寧我軍已確實收復三都
page 3	德人對此次戰爭態度異常冷淡波蘭崩潰並未引起德人　味德人最關切於西線軍情變化
page 3	羅將西　防軍調往東北警戒羅蘇邊界
page 3	美外交委會將開秘密會議討論修改中立法案之航務條款使航行太平洋美商輪減少限制
page 3	德愛協定簽字
page 3	美將加緊實施國防計劃兩海軍單位計劃難於速成現美國海軍居世界第二位
page 3	美基威士海軍站定期恢復
page 3	蘇　集中阿邊此說不確
page 3	星洲通過義務兵役法案當地各方人士亦均擁護此案
page 3	里賓特羅甫誤解英人心理以為英國終必放棄戰爭以致做成德國我交錯誤
page 3	日本不但欲征服中國且欲征服美國美國人士所以關心中日戰爭中國所以希望美國予以援助
page 3	英行動會議開秘密會議
page 3	芬蘭代表離蘇回國報告談判經過傳蘇向芬提出土地要求並要蘇芬締結軍事協定
page 3	美新建艦數艘發現不妥影響到海軍人員大部份需要更動
page 3	德國注意爭取海上霸權希望以潛艇飛機政策
page 3	德國資源缺乏必不能抵受長期封鎖平時生鐵產量四份三仰給外國倘受封鎖多數熔冶爐勢將停工
page 3	伊里孟伯爵主張英政府勸日恢復長江交通倘長江開放日先受　利
page 3	傳英艦擊退號又被擊受重傷
page 3	九十萬德軍集合前線準備對法下主力進攻但雨水季來臨漸不利於陸上作戰希特勒或展期至明春始下總攻令
page 3	蘇聯外交行動引起德國疑慮蘇聯勢力逐漸向波羅的海進展蘇土談判中變蘇向土有新要求
page 5	向古鎮登陸
page 5	圖牽制我軍
page 5	江會方面戰訊續誌新開路日我兩軍對峙新鶴線克復白土篁莊
page 5	菲僑組機隊回國助戰俟辦理就緒即行命名禮華僑捐款獎勵辦法照前
page 5	增從線激戰我攻福和告捷
page 5	梅菉廉江又被日機轟炸
page 5	寶安我軍逼攻日軍陣地筍江發生哨戰
page 5	瓊島我軍收復波蘿溪尾
page 5	桂省整理戰時民眾團體
page 5	粵普遍推行存糧鄉倉積穀辦法省府令各縣遵行
page 5	禪炭線我團隊夜攻官窯
page 5	台山八區海面日艦突增
page 5	粵省地稅整理完成本年度可望征稅八百餘萬元
page 5	災區地稅豁免
page 5	訓練征收入員
page 5	調整征收機構
page 5	征收成績極佳
page 5	催征新舊稅款
page 5	番禺游擊隊截獲日軍糧船得米糧食品甚多
page 5	七區教育會議
page 5	日軍退出中山縣境後偽軍向古鎮登陸卒被擊退鶴洲山日軍已自動退卻
page 7	西區自衛團組單車隊各區團員紛紛出勤
page 7	中央儲蓄會去月抽籤結果
page 7	炮兵繼續演習
page 7	滇越鐵路不通聯大學生中途受阻
page 7	日機遇風墮海正機長溺斃副機長重傷
page 7	英紅十字會最近募捐成績
page 7	青年記者學會昨舉行座談會
page 7	美或不禁商輪來港通航交戰國法案在修改中
page 7	九月份水塘存水較去年同月幾增一培消耗量則反較去年銳減
page 7	華商會調查物價委員應為僑胞生活設想調查物價宜注重我華人方面評定價格時須離開商人立場
page 8	新運婦女會贈　抗戰將士
page 8	索債發生打架一婦人受重傷
page 8	鴉片增價煙人大受打擊
page 8	要明同鄉會將舉行成立禮
page 8	國防債票昨已運抵本港
page 8	中山僑商賑難會澳分會積極救濟鄉中難民在澳門設難民收容所三間財力有限昨派員來港募捐
page 8	冒差騷擾旅客少年直認不諱
page 8	青山發生大火茅舍數十間被焚
page 8	九龍城昨又發生劫案
page 8	宵小墮樓殞命
page 8	東區教聯會新職員昨選出
page 8	賈乃錫力言德國必敗在陸軍工程隊聯歡會演講
page 8	準備大戰爆發兩華軍整陣忙東方積極招兵買馬南南健將集中訓練
page 8	記者體特會議決要案多項定重九節旅　扯旅山選出各部主任及幹事
page 8	空軍足球員啤利失儀遭總會警告
page 8	星洲空軍兼顧香港星空軍實力較前已增加兩倍隨時可派大批飛機來港增防
