page 1	建國與教育
page 2	傳西班牙準備參戰
page 2	桂南我克上金襲擊那蘭我軍斃日極眾
page 2	傳美艦隊秘密開菲係對日一種對策
page 2	美紅十字會徵血
page 2	日法對越南問題傳已成立諒解龍雲對越南局面問題願絕對服從中央決策
page 2	中華海　黨部以行動紀念八一三協助抗建軍運維護水上交通
page 2	　守鈺赴玉樹
page 2	反侵略會捐滑翔機基金
page 2	一個重要的會議
page 2	德法仇恨將何時了
page 2	泰國又欲向越南要求土地
page 2	滿洲當局扣留外人被控排日宣傳之罪
page 2	澳洲重要軍政領袖多人墜機斃命空長陸長總參謀均罹難澳洲內閣會議因此改期
page 2	晉南我軍極形活躍
page 2	越南海面停泊日艦百艘
page 2	臨汾日軍瘟疫流行
page 2	粵境擊落日機一架
page 2	東京又再舉行反英示威運動便據觀察目前當局仍欲避免與英國決裂
page 2	美日兩方均極堅決爭接管上海英防區柏克召集會議遭日方反對日要求會議在日營房舉行
page 3	德機　擊撲斯茅港
page 3	印度　督發起在印舉行帝國會議蘇彝士河以東英屬地區已均被邀約派代表參加
page 3	英空軍部報告戰果
page 3	英機報復飛德轟炸
page 3	航委會特黨部發表告僑胞書希望熱心僑胞貢獻人力財力負起建立強大中國空軍責任
page 3	日內閣議決將情報局擴大係與革新政治機構有關料將來報紙受統制更嚴
page 3	蘇要求各國結束立拉愛等使館
page 3	羅　匈公使答覆羅國
page 3	謠傳德作渡海準備
page 3	英屬索馬利蘭意軍向貝比拉進迫英軍佈置極堅固防線預料兩軍即展開決戰
page 3	法國俘虜釋放無期德謂法為戰敗民族當受苛酷條件縛束
page 3	法軍三日內完全復員
page 3	羅斯福考慮賣艦於英問題有四種法律上障礙
page 3	日機分三隊大舉轟炸川西
page 3	蘇聯取消軍中之政治局增加司令官之權限
page 3	中正大學組政治訪問團攷察贛東南地方政治
page 3	鶴基氏被刺意向希臘抗議
page 3	法政府下令解散一切秘密會社
page 3	蘇美商約展期美蘇雙方俱已批准
page 3	英倫大戰序幕揭開德機運日向英作閃電攻空戰規模之大前所未見
page 5	控制欽防三角地帶
page 5	不忍卒讀之廣州餓殍記日有增加饑饉形勢更趨嚴重方便醫院拾屍有每日達百者潦水續漲晚造下種亦受影響
page 5	向邕寧作局部反攻
page 5	飢饉嚴重情況
page 5	龍州日軍蠢動不逞
page 5	桂洲我便衣隊白晝襲擊日軍官之激戰日軍之中隊長受傷我便衣隊兩人犧牲
page 5	廣州市內警察紛紛逃職區長受罰俸處分
page 5	東江我大軍結集日軍在虎門會議應付企圖牽制我軍進展
page 5	三水人民到蘆苞買米連米帶飯攜之出境因蘆苞限米出口並未有限制帶飯事屬取亦足見糧食困難
page 5	粵憲政協進會加緊組織決征集熱心人士為會員辦理憲政研究宣傳事宜
page 5	日犯斗門陰謀暴露
page 5	大小淋島被陷情況
page 5	大小赤坎發生接觸
page 5	游擊隊襲大良
page 5	日陷　魚沙後復增兵進窺大小赤坎日圖以拼形攻斗門
page 5	日機轟炸四會
