page 1	歐戰形勢之蠡測
page 2	蘇日協定內容
page 2	美討論修改中立法時遠東影響為重要關鍵現購自運對於中國不利本次會議中必將再起爭論
page 2	荷機被毀德願賠償損失
page 2	滬偽市長傳筱庵訪滬租界工部局主席傳係會商越界築路問題
page 2	北路慰勞團行抵榆林某總司令到站歡迎
page 2	湘北我軍克神堂舖團湖之Ｘ退去鄂南我軍大捷
page 2	晉南洪洞之Ｘ企圖東犯道清路被我炸毀
page 2	我誘Ｘ攻從化花縣卒獲大勝Ｘ亦承認不諱
page 2	南路慰勞團啟程赴粵
page 2	Ｘ海軍當局請外輪離溫州並請各國僑民撤退
page 2	甘地對波同情
page 2	李迪俊已向古政府遞國書
page 2	德蘇進行擴大商務協定並提高德貸蘇之信用放款
page 2	林白上校主張美國嚴守中立
page 2	比否認調停目前戰事謂係毫無所聞
page 2	中央儲蓄會中簽彩號
page 2	威爾斯赴巴拿馬出席汛美大會
page 2	德機飛入蘇境被機關槍擊落
page 2	前奧陸軍領袖擬組織奧國軍參加法軍作戰
page 2	蘇聯欲有事波蘭先謀解決蒙滿邊爭日蘇昨已成立滿邊休戰協定蘇政府命史梅丹寧為駐日大使
page 3	波蘭形勢已甚危急德戰略佔領華沙仍未滿足英國觀察家所發表之意見
page 3	德軍兩路包圍華沙但波軍現仍固守內圍陣線德機械部隊屢攻勞夫不逞
page 3	華沙波軍堅守不退
page 3	薩爾區內居民疏散
page 3	波軍挫敗原因三端
page 3	德統帥部發表戰報
page 3	何應欽廣播演說一
page 3	西線戰事逐漸開展法軍不久可攻陷薩爾省會盧森堡邊境德法砲戰激烈
page 3	西線法軍頗佔優勢齊格非陣線前哨兵迭反攻但仍未能阻截法軍之進展
page 3	美日商約取銷後相互貿易大減美國飛機運日幾絕跡
page 3	德潛艇數艘被擊沉沒
page 3	阿巴烏三國艦隊合作俾得維護中立
page 3	澳洲政府組志願軍
page 3	日向美表示談判締新商約以代替美方廢止之兩國商約
page 3	齊燕尼　煤油船被一潛航擊沉
page 3	甘地勸英政府重申擁護民主政治之誠意
page 3	德機炸克萊塞米納克各國使節請本國政府向德抗議
page 3	保加利亞宣佈中立
page 3	美公路顧問團由築抵渝沿途視察西南公路
page 3	法軍前線進抵齊格菲陣線外圍德軍開始猛烈反攻不支後退死傷之重為開戰以來第一次
page 5	全縣壯丁動員大舉反攻
page 5	我佈置反攻分三路推進
page 5	夜後反攻連克各重據點
page 5	橫門Ｘ艦昨已紛紛退卻
page 5	吳康楠昨談前線之戰情
page 5	中山昨日情況已趨和緩
page 5	戰區成立戰地宣傳工作團月中先赴東江
page 5	橫門大部Ｘ兵業已撤退
page 5	粵南形勢忽弛　緊我當局大量訓練新軍某軍已成立野戰補充團Ｘ機因天氣關係稍歛跡
page 5	財廳禁拒用四行之地名券
page 5	省振會派員救濟瓊崖難民設勞資合作墾區
page 5	中宣部徵求劇本雙十前截稿
page 5	大良石湖涌之深夜火光我團隊焚燬Ｘ軍工企業杉排
page 5	容良Ｘ軍突增有向大　等地侵犯企圖容良公路Ｘ軍運絡繹
page 5	東路之Ｘ最近動態圖犯汕尾不逞
page 5	粵銓聚會繼續甄審行政人員
page 5	我克復花縣乘勝挺進十八嶺兩龍Ｘ向南退Ｘ千餘昨增援圖反攻
page 5	請求財部豁免外匯
page 5	土貨統制出口後商人紛請救濟免結外匯積貨纍纍無法運銷農商交困難與外地競爭失業人數增加
page 5	請准暫免領証運貨
page 5	中國銀行輒生誤會
page 5	蕉嶺合浦壯丁請纓
page 5	順德傀儡征兵失敗
page 5	粵北擴大禁煙宣傳
page 5	中山民眾全體武裝動員星夜向Ｘ總反攻大獲勝利大王頭白米山等重要據點克復吳康楠談前線作戰經過當局禁止輪渡濫行抬價
page 7	禁止攜帶貨幣出口
page 7	外國證券限制交易
page 7	禁運大量金飾出口
page 7	象棋奪鼎決賽董文淵昨先勝周德裕第二局保留周佔優勢
page 7	月底燈火管制演習規模之在為前所未有包括新界及附近各島嶼防空救護員將全體出動
page 7	指定銀行買賣外匯
page 7	華南美艦隊司令卡西地昨抵港
page 7	菲島華僑捐巨款辦義學
page 7	英僑三百餘願服兵役百一十五人加入戰鬥組
page 7	汽車輾斃老婦
page 7	虎頭門與橫瀾海面又有兩艇被劫兩批海賊均持有犀利槍械財物搜掠一空榜人幸無恙
page 7	留集中營德僑一部份已獲釋
page 7	彌敦道之鎗聲原來警探追捕疑犯
page 7	僑港順德公社選出下屆職員
page 7	本港政府修正戰時財政法則特准十八間銀行賣買外匯英僑民不許私售任何證券
page 8	油麻地自衛團召開街坊會議即度選出理事五十名
page 8	當選理事
page 8	甲
page 8	乙
page 8	丙
page 8	丁
page 8	候選理事
page 8	少年男女遇劫捕獲疑犯一人
page 8	牛津大學聘陳寅恪講學
page 8	嶺大慰勞團昨已返抵本港
page 8	中山橋商會撥二萬元勞軍組織慰勞團負責辦理
page 8	海河足球聯隊犯港東方整陣迎戰今午五時會師香港會
page 8	九一八排球義賽嶺保聯軍擊敗南華首戰記者不敵衛生局隊
page 8	週年水運昨日舉行兩項男一里及女半里舢舨賽劉和與李仲瑜分獲冠軍
page 8	訓練
page 8	短途
page 8	徑賽訓練法要綱
page 8	經理德　產業者須列清單呈報清理官港府已派員負責清理各德國商行與各該行有債務關係者亦宜速報
