page 2	聯軍失博羅後之戰局
page 3	五日眾議院提議孫閣同意案但因議長問題未決恐流會
page 3	有任陸榮廷為兩廣巡閱使陳炯明為廣東宣慰專使說
page 3	閣議以日災時華僑被害不少擬對日提出嚴重交涉
page 3	趙恒惕軍前線進至道林靖港備進攻湘陰謝煜燾部克復易家灣又訊對長沙河蔡鉅猷部僅有陶粟兩營趙軍現分紹河寧鄉益陽三路追擊
page 3	何　由攸縣電趙恒惕稱廿六團已進佔馬子陂祿口黃石鋪等處廿七團已進佔鑑嶺黃坭坪等處
page 3	滇唐派焦子靜來湘
page 3	唐生智二日晚攻石灣吳集吳劍學向雷家市退卻馬濟言湘事定後即回桂
page 3	王永泉聞民軍將攻泉州擬先發攻南安
page 3	龍濟光向政府領款十萬
page 3	杜錫珪請曹錕責成財部籌款匯粵招各艦北歸並派員赴粵與溫樹德商餉款支配
page 3	參議長預選會有定下星期再開說
page 3	曼德不就路警會辦阪西極力運動欲得此職
page 3	黎元洪使者吳性元來津謁段祺瑞事畢將赴奉惟奉對直方和議尚無容納意
page 3	鄂西匪首丁鳳山前經趙榮華收編近忽譁變與鉅匪劉道清合作　聚宜昌遠安交界各地蕭耀南令王都慶旅赴剿
page 3	吳毓芝二日晚又催各政團速開會取決孫閣案
page 3	眾議院有五日投票解決孫閣說但保派對甘石橋組黨事不敢明組故中立派議員反日催吳毓芝等速定辦法否則眾
page 3	院不能開會議長難解決新閣不能投票
page 3	三日張伯烈見曹錕願代向眾議院疏孫閣同意案
page 3	反吳景濂派決援民二成例一過半數同意自行集會現簽名者已達八十餘人吳議長地位益危
page 3	駱繼漢函孫寶琦謂公為佈憲第一閣揆應為憲史立一好模範請擇一地點邀眾議員茶話宣布政見俾據為投票標準
page 3	東江三路之戰況
page 3	最近東江大戰之情形另誌
page 3	北軍進抵南雄界
page 3	北江滇軍調省之驚擾
page 3	孫中山被圍於石龍消息
page 3	粵軍捷報
page 3	要人之妻被擊
page 3	鄒魯之妻被擊續聞
page 3	江門西訊
