page 1	閃電戰之再施
page 2	中條山北我軍奏捷奮勇衝入曲沃城內陽城附近日重松聯隊覆敗
page 2	四川省經濟建設綱要業經蔣委員長核定二
page 2	旅美華僑捐款十萬加入傷兵之友社
page 2	萬鄒兩主席發表談話努力進行恢復失地擴充東北義軍實力
page 2	英國戰爭內閣召開緊急會議討論德侵荷爾蒙比應付辦法張伯倫暫留職應付艱巨
page 2	英人已漸相信德人多數擁護希特勒德人受一種邪惡之精神所支配容許其統治者包攬無限之權力
page 2	蕪湖日軍犯青龍山
page 2	太原日軍反戰份子活躍縱火焚燬日倉庫損失達三百餘萬
page 2	岳陽日軍死傷甚多
page 2	我軍克復泌陽
page 2	美穀二千萬斛賣於英國
page 2	鄂北日全線崩潰死傷一萬三千餘會戰勝利可決已屬於我
page 3	德向荷比大施恫嚇今後形勢如何責任在於聯軍
page 3	荷蘭女皇發表諭言對德違背諾言提出嚴重抗議
page 3	比閣召開緊急會議商議應付辦法決請聯軍援助
page 3	英通令全國嚴密戒備又通令全國人民帶備防毒面具
page 3	英法立即援助荷比聯軍早已準備應付德國暴行
page 3	荷軍猛力抵抗德軍荷國官方發表向德宣戰宣言
page 3	美極注意歐洲情勢羅斯福在白宮召集緊急會議
page 3	德國空軍襲擊英法
page 3	德侵荷比為獲進攻英國根據地將利用潛艇封鎖英倫東海岸
page 3	瑞士京城亦被轟炸瑞陸軍參謀部已宣佈總動員
page 3	巴黎自開戰以來捕獲共黨統計共達二千二百餘人
page 3	蘇彝士運河公司董事將開年會
page 3	德軍又施閃電戰術侵入荷比及盧森堡荷比盧邊境全線展開戰爭聯軍大舉出動為荷比援助
page 5	大良日軍亦已撤退
page 5	三水淪陷區饑民慘狀邑人急望縣長設法搶救及盼旅港同鄉會之賑濟
page 5	偽中央教導團抵粵此項偽軍實為日軍變相粵偽省府昨十日已開場
page 5	北江橫潭日軍拒命他調發生譁變神岡目偽分臟不勻衝突
page 5	韶關發生加租迫遷糾紛當局已設法防止及懲戒
page 5	日軍又入據婆羅島
page 5	最近在各地之動態
page 5	前山土匪乘機搶劫
page 5	設置潮屬護僑之招待站
page 5	廣東各界紀念青年節記通電聲討漢奸賣國
page 5	我日兩軍爭奪那連
page 5	欽東我軍突襲大崗日兩路犯牛崗激戰再起鄧世增電告陣地可保無虞日施放煙幕掩護狼狽敗走邕江南岸我軍挺進直趨欽邕線
page 5	廣海發現日艦游弋窺伺下川漁船被劫擄
page 5	我游擊隊衝入江佛路蓮華站
page 5	圖追我軍反遭重創
page 5	一批日屍沉默凱旋
page 5	西江下游各地日軍大部撤調駐守交通線大良日軍撤退後偽縣府亦已他遷日軍再侵入婆羅島與偽軍爭稅收
page 6	粵路日軍連日增援
page 6	東江米荒聲中陸豐請撥款辦平糶四戰區游擊指揮所召會議
page 6	省府令嚴防日偽攫奪產業
page 6	一頁抗戰有趣史料前線下級軍官訪問記日軍口裡說出不要殺我
page 6	省府廣播台改訂播音時刻
page 6	我軍出擊龍口龍翔
page 6	莞城日軍出擾被蘆村鄉民奮勇擊退莞樟路寮步迭遭砲轟廣虎團隊截擊日軍車
page 6	分路向蘆村
page 6	廣虎路沿線
page 6	韶關整飾市容取締軍人冶遊濫穿軍服
page 6	日人在廣州增強奴化教育強令增加親日演講
page 6	北線日軍增援我軍進擊江村龍口廣花線日犯十八嶺被擊退日機窺擾軍田銀盞　各地
page 7	荷蘭僑商極為憤激
page 7	荷領召開緊急會議
page 7	荷蘭商船照常行駛
page 7	中西官紳紛為港督餞行
page 7	駐粵英領抵港
page 7	孔孫兩夫人已由重慶返港
page 7	大批滇茶運港
page 7	本港今日賽馬名騎師張和生將出場
page 7	中山海外濟難會繼續救濟桑梓撥款廿萬返邑賑濟撥三萬救濟澳難胞
page 7	灣仔軒鯉詩道五賊賺門行劫詭稱事主被車輾傷代取衣服事主之婦信以為真開門納入
page 7	九龍焚斃老婦
page 7	兒童賑災會設難童書報室
page 7	培英中學劇團定期表演史劇
page 7	日劫貨船船貨共值萬餘元
page 7	警探繼續傳訊梁謙武案證人
page 7	糖薑廠火警續誌
page 7	荷領事正式公布德軍昨突侵入荷境既無哀的美敦書亦無任何警告荷僑極憤恨設法援助祖國抗戰
page 8	報告經過
page 8	討論結果
page 8	為聖約翰救濟傷隊呼籲羅旭和昨晚播音演講
page 8	港棉織品暢銷於歐洲線襪一項銷路更見蓬勃
page 8	告港僑書
page 8	組勸購隊
page 8	組儲蓄團
page 8	林語堂昨晨由菲抵港旅途困頓微感不適暫寓友人家中休養
page 8	英海軍機械員誤殺手車伕罪名成立定下星期二日上午宣判
page 8	泰國宣傳部長威拉斯昨抵港對我抗戰極表同情
page 8	舊樓塌簷傷人
page 8	全國節儲建運會香港分會昨正式成立發表告僑胞書勸努力節約購券徐繼莊提議組織勸購隊儲蓄團
page 10	港越埠際足球賽港隊慘遭敗績三比一貢軍雪前恥
page 10	半島籃球義賽今日思思改戰聖三一男子鐘聲對南華工力悉敵
page 10	今日加山足球義演中西健將登台華商銀行隊戰西商另一幕女子對益壯所得善款用作響應傷兵之友
page 10	記者籃球隊連日出戰甚忙今日又抗培英
page 10	公開男子籃球今夕三場戰事
page 10	埠際小型球賽港隊拔軍征澳一行廿五眾今晨動程
page 10	南華會職員交代
page 10	華人文員協會乒乓隊明日訪澳
