page 1	美國之遠東經濟關係
page 2	日軍否認在香港附近集中須磨謂香港疏散人口彼亦難明瞭原因何在
page 2	小董附近殘日肅清
page 2	豫東我軍捷報頻傳
page 2	葡總統謝我祝賀
page 2	湘北我軍斷日交通
page 2	我軍加緊圍攻武寧進迫南昌東郊
page 2	英眾議院將開秘密會議辯論法國屈服問題及英倫所受之影響
page 2	駐柏林荷比使節限期撤退今後各國外交事務直接由德負責辦理
page 2	張伯倫廣播德侵英倫必敗英有強大海軍足以遏敵英國空軍亦足與敵對抗
page 2	滇臨參會開幕龍雲致詞決心　　
page 2	贛省貸款發展農田水利
page 2	渝各界舉行國民月會
page 2	美將舉行全國募捐運動謀集款五百萬金元收容由英運美難盡
page 2	美國會再開會議討論美國防案並將討論羅斯福外交政策羅斯福將更要求鉅額軍費
page 2	貝當政府遷赫勒芒斐龍
page 2	銓部通令改進考績標準
page 2	美艦隊再出現夏威夷
page 2	傳蘇向土有所要求
page 2	愛爾蘭海岸英輪兩艘沉沒
page 2	開封殘日大部就殲我軍加緊圍攻宜昌李宗仁率大軍集合越南邊界
page 3	在比沙拉比亞州蘇羅軍隊衝突結果羅軍傷亡頗多蘇軍開入越過新界
page 3	對達達納爾海峽傳蘇有所企圖蘇聯或將要求土國容許協助防守海峽
page 3	德限佔領區人民交出一切武器若違背此項命令者則被監察或處死刑
page 3	軸心國家籌備進攻英倫德機頻向英倫襲擊
page 3	宋子文在美與各領袖會談要求美禁原料供給日本並再借給信用借款於我
page 3	美艦隊再出現夏威夷畢特門主英美海軍諒解每一國單獨保護一海洋
page 3	意空軍元帥慘斃之謎各方多所推測
page 3	德以支撐日本恫嚇美國警告停止援英
page 3	蘇南我軍予日重創
page 3	日軍部各領袖開會討論日本外交政策一致認為須取鐵的堅強態度傳海軍省力避免與英美磨擦
page 5	大亞灣日艦未退去
page 5	沙魚涌之善後辦法
page 5	邊界遣散難民情形
page 5	縣府圍剿鹽田匪徒
page 5	我軍迫近深圳外圍
page 5	瓊崖軍事漸趨激烈我先後收復福山花場老城激戰殲殺日偽日機飛炸定安白沙
page 5	花場福山相繼收復
page 5	老城方面兩軍激戰
page 5	日機轟炸定安日沙
page 5	回內地攜帶資金逾額亦被扣留
page 5	西路日軍犯楊梅受重創日艇竄擾廣利被我擊沉一艘
page 5	日軍再佔白蕉偽軍組偽華南海防會圖封鎖我四邑各地交通斗門情勢昨日更呈緊張
page 5	日偽再次佔據白蕉
page 5	斗門情勢更為緊張
page 5	江會戰況仍告沉寂
page 5	桂米湘米續有運到四邑三埠糧食已趨穩定台開糧節會暫緩向恩平統一採購惟准各鄉埠合作社自由購運銷售
page 5	省府調查各縣糧食
page 5	收容失業在鄉軍人軍管區昨已擬就實施計劃擴大軍官隊組織加強政訓軍政部令組軍官會
page 5	教廳調整補助小學
page 5	潰退深圳之日偽軍連日強迫鄉民修築各路各路澈底破壞又經在雨不易修復沙魚涌辦理善後客商往來已漸多寶安縣府請兵圍剿鹽田　匪徒
page 6	日軍三路進犯兩龍
page 6	我團隊襲擊鐘落潭
page 6	日正規軍調赴寶安中山偽軍再增加防我外圍團隊向中山壓迫
page 6	高要縣府嚴禁飲酒兼禁釀售運
page 6	大　日軍炮轟譚義鄉燬民房凡白斃民眾數十
page 6	東莞前線戰事激烈我克茶山迫攻石龍日機在石馬各地投傳單
page 6	西江軍訊近誌我國隊克白坭日艦炮擊貝水橫石
page 6	省主席李漢魂歡迎南僑慰勞團致詞一提供意見望僑胞盡力協助抗戰廣東政治漸趨好轉足告慰僑胞
page 6	粵北日軍略增三路犯兩龍被擊退遺屍百餘我跟蹤挺進龍口我出擊隊突擊鐘落潭奏捷
page 7	官方解釋
page 7	預防步驟
page 7	發生戰事
page 7	疏散路線
page 7	往馬尼剌
page 7	南華早報所募捐款英將用以購置轟炸機名為香港隊以資紀念余東璇和發成捐萬元
page 7	中英邊界開放難民回鄉者少因房屋已遭日焚燬
page 7	兒童保育會緊急會議粉嶺難童決遷回九龍一部份候輪送入內地
page 7	大埔兩農戶深夜被劫損失千餘元
page 7	難童救濟院昨晚演劇籌款
page 7	老婦投海自殺
page 7	記聯會昨聚餐
page 7	住客紛請減租
page 7	要明會寧工商會新職員昨就職
page 7	封鎖香港港府未接報告
page 7	港府解釋疏散婦孺原因本港尚無危險現象此次措施乃屬預防萬一港居民實無惶恐之必要
page 8	美僑多數暫不離港
page 8	荷挪法僑奉令疏散
page 8	乘輪赴澳日約萬人
page 8	英校　學情侶結婚
page 8	一般情形尚稱平靖
page 8	菲禁業主乘機加租
page 8	日領岡崎語西報記者香港市民可毋庸驚慌彼通知日僑安心居港本人昨日購新式汽車
page 8	富華公司茶葉業務昨移交中茶公司接辦駱清華壽景偉來港接收
page 8	雄雞代娶之婦人請領丈夫遺產死者侄孫認為不全法承審官在縝密研究中
page 8	雄雞代表新郎迎親
page 8	雞代新郎是否合法
page 8	婚後夫婦未嘗一見
page 8	婦女節制會昨開委員大會
page 8	港府禁麵粉黃豆出口本港牲口來源短絀魚菜供給不虞缺乏
page 8	牲口到港日漸減少
page 8	唯一來源為廣州灣
page 8	柴價飛漲實難索解
page 8	魚菜運港不虞斷絕
page 8	天文台昨懸一號風球表示颶風有襲擊本港趨勢
page 8	麵粉黃荳禁止出口
page 8	遠東各埠之時症
page 8	粵救護分會遷址
page 8	救傷隊招女學員
page 8	首批英婦孺昨目離港美電勸僑民自由疏散華人紛紛離港各輪船乘客擠擁政府機關銀行郵局昨照常辦公
page 10	宵來公開籃球賽乙組三場戰績郵匯棄權悠悠青職敗陣
page 10	九龍學籃戰訊
page 10	華人游泳會二次水藝成績
page 10	心嘉盃夏令籃賽球員今晚度身六時至八時在華雄會舉行
page 10	青支會友網球賽昨已開始報名
page 10	辭宣傳部主任職
page 10	南華會水藝改期
