page 2	對日交涉大警告三亡國條約的痛史國恥紀念的公憤願我國民其毋忘
page 3	丁槐先往蘇晤齊燮元再赴粵曹錕請令獎林虎謂林不受孫文煽惑
page 3	吳佩孚請發對南三令催孫文取銷元帥府有獎勵川滇黔統兵長官促進全國統一令
page 3	周蔭人將任閩北護軍使
page 3	義械五百五十萬已由地道運出關外
page 3	駐歐某使電歐美各國態度認廿一條抵觸均勢如我提出國際法庭必得好感請一面再駁一面預備起訴
page 3	廿六日北京各界游行大示威舉代表謁公使團各公使均接見旋謁府院即通告全國自動廢止廿一條收回旅大整頓內政不買劣貨
page 3	孫洪伊運動開南北對等會議曹錕不表示態度吳佩孚則言請提出切實辦法得南北實力派同意方可否則僅保洛孫三派私認尚嫌不周
page 3	黃郛決候假滿後仍辭職
page 3	滇唐決援劉成勳但懋辛任唐繼虞為援川總司令繼虞前鋒已抵箬江故楊森盧金山急攻忠州戰事極烈楊軍傷耗甚多忠州仍未拔
page 3	曹錕仍派代表祝張作霖壽張亦出示表明春操並非備戰故奉直可望暫免破裂
page 3	袁祖銘電張紹曾暫駐銅仁實力尚在乞接濟軍械反攻
page 3	曹錕保周蔭人為閩南護使俾協同防粵
page 3	王寵惠語黎元洪運妻柩南下順代達意見告孫文則可不能充黎代表聞王決即赴國際法庭任
page 3	財長劉恩源因財政無法應付決辭職
page 3	杭州各界決不買劣貨連日寧滬各公團均開會通電堅決對外某團並電吳佩孚請將援川粵軍隊對外
page 3	吳佩孚接濟贛南機關槍十二架防李烈鈞窺贛並派常德盛部先發牽制粵軍
page 3	吳佩孚飭趙榮華會攻忠州並飭漢廠趕製兵械專接濟援川暫停給他軍
page 3	王永泉佈告海軍已和互維循序閩財政已統一商民勿驚擾
page 3	張紹曾決授陳炯明明威將軍
page 3	十政團廿七日開聯會何畏提劾彈張紹曾惟連署不足發定人數恐不信任案難成立即成亦被否決
page 3	孫傳芳定廿四日由資溪進駐邵武
page 3	黎元洪囑丁槐抵粵後順赴滇商唐繼堯取銷自治
page 3	廣九路局助給劉玉山軍食
page 3	粵路檢查商電
page 3	沈軍防守粵路之嚴密
page 3	限沈軍五日內移防否則作違抗命令論
page 3	沈軍開拔無期
page 3	華僑反對借債
page 3	屋客控業主案
