page 1	比荷元首呼籲和平
page 2	魯我迭創日軍一度克牟平破壞日軍倉庫豫北我軍向常口日軍進擊
page 2	名雕塑家江小鰜在滇病逝
page 2	巴爾幹協商集團擬改軍事同盟保匈將來亦可加入各國或將舉行會議
page 2	英輪馬飩魯亞號被德潛艇追逐其後潛艇自動遁去
page 2	莫洛多夫演說目的向外宣傳重申蘇中立地位不助德作戰不攻擊德國與共黨宣言不同
page 2	英軍總司令視察前線
page 2	本年和平獎金將給何人羅斯福張伯倫抑或今年暫停發給
page 2	蘇國防委會主席稱述蘇聯之政績
page 2	蘇聯舉行閱兵禮李維諾夫亦參加
page 2	德軍艦扣留瑞輪
page 2	我砲兵轟擊奉新日軍
page 2	日轟炸大王奧田氏陣亡係在最近成都之空戰
page 2	英眾院通過戰時之國債發行條例財部有權隨時借入債款
page 2	參政機關
page 2	實不合法
page 2	抗日組織
page 2	外交政策
page 2	第三國際總書記勸共黨組新陣線
page 2	朱家驊發表談話闢日虛偽宣傳並詳述國共合作之關係
page 2	全非事實
page 2	治喪費三千元國府明令發給
page 2	漢堡高射砲誤擊落一德機
page 2	第七十七代至聖後裔誕生
page 2	蘇北我軍克復邵伯
page 2	汪個人安全操諸日手汪派表示對日不信任日方未能以政情隨時告知汪派現汪個人生活與外界幾已隔離
page 3	荷比和平呼籲鑒於自身危險
page 3	英法方面意見不願放棄戰爭
page 3	德對荷比通電未便有所表示
page 3	外國顧問觀察我國抗戰前途中日戰事已達僵持之局日軍斷無戰勝我國可能
page 3	中日戰爭
page 3	長沙前線
page 3	湖北之役
page 3	八面受攻
page 3	大起反攻
page 3	英外相發表廣播表示英國態度不但要制止德國再犯侵略行為且要德補償在前侵略鄰國損失
page 3	美國表示懷疑和平呼籲成效
page 3	日軍後方縣長的典型中二央社戰地特派員劉尊棋
page 3	菲律賓五團體請美禁貨物供給日本美國駐菲專使西里氏願將志願書送遞美國
page 3	昆明市政府禁映色情畫片鼓勵各戲院公映有關於抗戰畫片
page 3	歐戰爆發
page 3	鍛羽而退
page 3	盡被殲滅
page 3	英艦德機發生劇戰英艦無一受傷德機損失未詳
page 3	美政府將向國會要求擴充海陸軍額明年國防擴充經費額預定為三十萬萬金元
page 3	希特勒又召集各部長官會議
page 3	日軍退卻
page 3	僵持之局
page 3	機動戰術
page 3	華北華南
page 3	偽軍叛變
page 3	利用偽軍
page 3	長城以南
page 3	荷比再度發起歐洲和平運動共同致電於德英法等國元首表示願盡力以出任斡旋和平
page 5	意見水火內鬨甚烈
page 5	入夜市面戒嚴更緊
page 5	新開新鶴兩線戰事
page 5	決定疏散人口物資
page 5	廣州南郊偽團部發生爆炸案同時有一日軍官失蹤日軍捕鄉人嚴加訊究
page 5	粵南形勢緊張中各縣自衛團奉令動員分別舉行會操野戰
page 5	深圳日軍增援後昨日又進犯鹽田
page 5	港韶線沿路設華僑招待所保護指導僑民出入
page 5	交通部設前山電報局
page 5	可作小說讀東莞偽前縣長趣史混血兒奉命尋親游擊隊大義殺友
page 5	堆積海防貨物暫時運信河口躉存越南中華商會派員駐河辦理中法快運社經理已飛越襄助
page 5	瓊崖自衛隊長亟海外僑胞報告戰情歷述打擊日軍之情形藥物缺乏物質供給難切望各僑胞積極援助
page 5	張炎號召粵南民眾應付日軍跳躍式戰略鞏固防務加緊肅奸遂溪盛大歡迎學生隊
page 5	省銀行訂定冬耕貸款辦法押借每戶限五十元月息入厘四個月期
page 5	江門市日軍突施戒嚴聞防範日偽軍有不穩舉動四五兩日市內之恐怖狀態
page 7	貨艇橫欄遇劫
page 7	復旦同學會唁馬相伯家屬
page 7	留營難民續減
page 7	法國兵力充足不許僑民回國投軍已回國者亦遣回原居留地七百餘人昨乘輪過港返越
page 7	首批義勇隊昨赴粉嶺集訓
page 7	英文防空班定十七日開課
page 7	汛美機昨抵港
page 7	英戰時救濟會電謝港僑捐款
page 7	立法局今日開會討論明年政費預算案財政司並提請通過洋酒新稅則羅文錦對防止迫遷例有所質問
page 8	救護他人救護自己
page 8	集體訓練不收費用
page 8	吳鐵城飛重慶
page 8	中英文協會下季集會秩序
page 8	記者學會會議
page 8	九龍居民協會不贊同徵收所得稅昨呈請政府取銷此議必要時改徵別種新稅
page 8	重慶空防秩序良好
page 8	郵務檢查處
page 8	銅鑼灣九龍台蓬廠一間被焚
page 8	殺媳案昨開審父子對簿公庭葉文力證其父行兇彼亦自承毆父兩拳
page 8	四賊夜劫木屋
page 8	罌花節足球義賽軍聯陣勢排定
page 8	南華週年陸運會本星期日舉行秩序豐富一萬公尺參加者眾社會名流紛紛致送勝利獎品
page 8	宵來公開籃球賽勵行力克康元南南挫培英港大勝關光
page 8	謝家　昨在商會演講勸商人參加防空訓練現本港僅有防空救護員二千人須增募五千名乃足分配各崗位
