page 1	歡迎吳主席
page 2	日駐滬海軍陸戰隊又舉行大規模演習砲車大放空砲震耳欲聾沿途　喊居民均為驚醒
page 2	國際會議將在蒙德婁開會研究埃及撤銷領判權問題各項問題預料可不致十分遭遇困難
page 2	杜威負責調查托洛斯基罪名蘇聯所判　否實在
page 2	美對日貿易出超五百餘萬
page 2	蘆鹽出口合同雙方正式簽字
page 2	表示有退休意
page 2	鄂省商聯會等聯電中央制止洋米免稅入粵粵省米貴因毫幣低落運輸阻滯請中央設法改善停止洋米免稅
page 2	張學良部全部開離陝甘
page 2	洋米免稅入粵案政院明日討論
page 2	李宗仁暫時不擬晉京
page 2	美女教士在阿境被意當局驅逐
page 2	叛逆在嘉卜寺召開軍政會議
page 2	天長節日軍耀武揚威又在津市橫行
page 2	我受日走私影響上半年之損失達一千三百萬元
page 2	佐籐謀刷新外交陣容擬以兒玉任駐華大使惟須待軍部同意方能實現陳中孚府赴日商取消冀束防共偽組織因爭築大沾港口駐華海陸軍暗鬥甚烈
page 3	陸相杉山談日閣議決要案
page 3	偽滿路貨客汽車隊突被義軍襲擊擄去日人四名
page 3	津私貨登記進行尚稱順利
page 3	八一區扶輪社今日在京開會
page 3	運糧英輪被西國叛艦包圍英主力艦胡特號奉令出動截至現時止西國北海岸已有英艦四艘
page 3	意屬里比亞將頒行新憲法
page 3	紐約鴉片案華被告作證人
page 3	農本局在蕪設辦理處
page 3	蘇駐法大使波丹金調任外副委長法外長設宴歡餞對波氏備加揄揚
page 3	張治中辭軍校教育長由陳繼承繼任
page 3	贛熊招待週覽團新聞界暢談年來治贛政策及其結果週覽團團員參觀南昌各項建設
page 3	日荷訂立通商訂定華貨將受打擊
page 3	程天固赴滬轉程南下解決粵省糧食辦法
page 3	匯豐對招商局借款已允減三百萬
page 3	林主席遊南嶽
page 3	全軍籌委會首次常委會議
page 3	許閣森抵京談粵港經濟提攜將來益臻密切粵漢路沿途工程艱險偉大風風景絕佳
page 3	上官雲相抵漢謁何報告歐行經過
page 3	陳立夫等赴甬弔蔣錫侯
page 3	孫科疹病治愈惟須休養禁行作罷
page 3	陳冰伯任中檢處秘書
page 3	江問漁由贛抵漢計劃推進武漢職教
page 3	沙王昨遊玄武湖
page 3	芬公使范文抵滬
page 3	朱紹良日內赴京
page 3	豫各縣急賑分配
page 3	汴垣狂風
page 3	日首相發表重要談話闡述現閣八大政策統一內閣以期舉國一致之外交充實國防以備萬一事件之發生
page 4	第八次市運會第二日成績多項破紀錄男女運動員精神良好參觀人數仍不減熱鬧今日最後競賽及閉幕
page 4	滬東亞體專女籃排球隊昨抵港原輪赴廣州歸途廿二日來港比賽三場
page 4	昨日尋常杯足球賽東方對奧斯德改期舉行中華會一比零僥倖勝若瑟
page 4	乙組特別銀牌決賽工程蟬聯三屆冠軍以七比一大敗奧斯德
page 4	兩棋王鏖戰六局周德裕勝利得金章總成績三勝二和一敗
page 5	吳鐵城電中央請留陳慶雲在粵勸助
page 5	曾代廳長接事後財廳秘書科長去留問題各科派員係幫辦性質各秘書科長聯電宋氏請示去留曾氏定今日開聯席會議
page 5	糧運局員沈國瑾到粵後擬就洋米登記購運意見旱糧運局及財政部俟批覆即遵照施行
page 5	菸絲業糾紛先由社會局調解
page 5	林雲陔提前來粵視察各省計政
page 5	鹽商請願代表定期晉京
page 5	陳體誠昨返閩
page 5	保安隊組教導隊
page 5	迎吳專車駛港
page 5	河南瑤頭等鄉連晚嚴查煙民
page 5	營業稅風潮解決後之稅額複評問題申報商店已有二萬六千餘元評額過高三十餘行發生異議寧願遵照政府新頒稅率繳納不免尚有多少枝節問題
page 6	河南莘莊五鳳兩鄉因爭地械鬥續詳雙方雖械鬥數小時幸制止迅速未有傷斃人命即日由各方實地踏勘判明界址門潮已息
page 6	械鬥原因
page 6	互控侵佔
page 6	發生機鬥
page 6	全國美展會之粵人作品多列入第二期展覽第一期粵作品陳列誌略
page 6	土油廠運渣問題准展期清運
page 6	瓊崖考察團十九乘艦出發
page 6	河南居民聯請救濟食水難辦到西村新水廠落成河南食水可解決
page 6	省交兩行合辦絲織業貸款
page 6	聯鄉主任民廳限期到差
page 6	焚車難屬會反對撫恤辦法電請輿論界主持正義以第三者立場作公正之評議
page 6	一致聲援
page 6	勉以大義
page 6	在事實上
page 6	退一步言
page 6	全閩糖業產　協會
page 6	粵省防空演習限各種設備于下月底完竣
page 6	美國亞洲艦隊總司令　爾露上將
page 6	九路軍總司令
