page 1	一年來歐局之回顧
page 2	我軍兩路進圍岳陽
page 2	鄂南我軍乘勝追擊
page 2	我軍加緊圍攻信陽
page 2	南昌日軍不斷增援
page 2	中條山我軍分路掃蕩日軍鎮風塔爭奪戰激烈一路進抵翼城近郊
page 2	軍委會發言人談話斥日虛偽宣傳正式封鎖長江計我尚未實施我對南寧亦未開始正式攻擊
page 2	工程師年會在滇閉幕
page 2	天津四周我軍大為活動日軍事當局對此亦承認
page 2	吳木蘭被刺案捕獲疑犯但為日偽警吏所迫將其引渡於偽市府
page 2	加籍醫生史德魯達過渝談彰德醫院被毀經過
page 2	閩行偽警局長陳超海被捕去
page 2	天津日當局向第三國恫嚇
page 2	日機百架襲蘭展開激烈空戰日機被我擊落三架被擊傷者達十餘架
page 2	金融界領袖先後抵渝
page 2	希特勒巡視西線
page 2	國民政府十二月廿七日令
page 2	蘇日劃界委會八次會議在赤塔舉行
page 2	由南寧西犯日軍在鴨水灘被我軍擊潰陣亡者逾千向東退卻為我追擊南寧以西我克老日墟斃日甚多
page 3	蘇軍分數路猛攻曼那漢線使用二十五里射程巨砲終日不停發放但亦無功
page 3	土耳其駐華首任公使晉謁林主席呈遞國書土公使對我抗戰深表同情
page 3	土公使頌詞
page 3	林主席答詞
page 3	土國書譯文
page 3	羅馬教廷與意成立和平防共協定教皇將於明春赴羅馬巡視藉以增進教廷與意國關係
page 3	美對日美商約未有具體表示仍有待於時局之如何變化美現正注意遠東局面情形
page 3	歐戰中之澳洲成為英國遠東軍器廠當局加速擴充飛機製造業各機廠所用工人將達萬名
page 3	英政府考慮美洲抗戰認為書中所指錯誤
page 3	傳日蘇已決定展長漁約期限
page 3	美開始與阿根廷談判互惠商約引起許多方面反對
page 3	畢特門將返華盛頓籌備上院會議討論日美關係問題
page 3	柏林蘇大使館參替亞士哥夫免職德蘇協定初步談判亞士哥夫著功極偉
page 3	駐滬美總領事離岷回滬
page 3	蘇聯工廠司事人一批被控未能維持生產水準線
page 3	日軍戰鬥技術較前更差某軍專家談話
page 3	滇各界歡迎緬訪華團
page 3	意國發生地震歷四小時之久震動極為劇烈
page 3	日又掀起政潮展開倒閣運動日議員二百餘要求阿部辭職各方面對於現政府已漸不滿
page 5	是日下午再犯舊寨
page 5	告駐大良游擊隊書
page 5	江會各線戰事頗劇
page 5	會場附近將其包圍
page 5	江會各線最近戰況另詳日偽軍犯龍泉被擊潰航運略阻滯仍未斷絕日機飛各區鄉村肆虐
page 5	犯龍門日軍被我堵擊續訊尖峰左潭爭奪仍烈
page 5	向紛江站迂迴圍擊
page 5	猛向麻園發砲轟擊
page 5	順德偽署漢奸全部被擒梁震崗部入大良協防
page 5	粵北各線均有劇戰侵琶江站日軍被擊潰日軍又圖窺清遠城我軍截斷日軍後路
page 5	小北江難童搶救出險抵韶
page 5	戰區交通處取締航商沉船
page 5	廣西學生軍回鄉抗戰
page 5	南頭深圳日偽最近狀態之軍報蚊洲機場屬空軍給養站並無機庫設備外傳日機卅架抵深圳不確但時有降下
page 5	惠陽動員會推進中心工作組農呼隊舉行朝會
page 5	禺南團隊夜襲東圃日營
page 5	沙頭容奇日偽增兵圖犯大良在舊寨與我軍激戰周漢鈴部襲殺麻園日人及漢奸新開路我軍向汾江站迂迴圍擊
page 7	九龍巴士公司發售學生月票新辦法半票每日一張限乘八次家庭學生聯票停止發售
page 7	無雨之十二月三十年來所僅見
page 7	美拳術家返國
page 7	中藥行之困難是年虧本者多
page 7	香港馬會訂定來春賽馬日期新馬為偽滿扣留不能運港全部比賽節目須重新編訂
page 7	歹徒勒索鄉婦
page 7	超立社辦義學
page 7	織造業總工會定期舉行成立典禮
page 7	旅客被控藏毒案將公審
page 7	匪徒圖劫陳列飾櫃紙幣
page 7	五賊截劫商人掠現款二百餘元
page 7	東江軍事要員來港談寶惠我軍開始總反攻包圍日偽計劃已佈置完竣游擊隊連日出擊斬獲甚多
page 8	立法局今會議
page 8	九龍關新年休假三天
page 8	會寧同鄉會新會所將開幕
page 8	九龍商業總會今日行成立禮
page 8	華商籌賑會決舉辦賣物會籌款慰勞英國軍民
page 8	受賄釋放羈留華兵印警浩山處徒刑九月
page 8	林可勝昨抵港
page 8	航政司之通告
page 8	學賑會昨日招待各界
page 8	南華劇院公演訊
page 8	粉嶺馬票頭獎為中華電力公司職員所得
page 8	中醫生被控為人墮胎
page 8	先施公司祝耶誕
page 8	元旦日足球義賽雙方陣容排定全部收入撥交英國戰時賑濟會好作義舉之球迷屆時幸勿錯過
page 8	泳會消息兩則
page 8	華人旅行
page 8	南華冬泳
page 8	記者體特會選出征澳球員
page 8	國際杯義賽三場收入達五千餘元
page 8	南田高級訓練班今日開始報名
page 8	威靈領街巨劫案疑犯六名昨日提堂事主指少年何堅為劫匪之一裁判官命押候三天正式公審
