page 2	因高徐順濟借款發見舞弊鍾世銘解檢察廳
page 3	內務總長　改岑春　說
page 3	　王占元宋　濂赴山海關監視撤兵停戰
page 3	蘇督齊燮元擬任陸軍總長廢蘇督
page 3	吳佩孚堅辭陸軍總長擬改任蘇督齊燮元已電徵同意
page 3	吳佩孚有充裁兵委員長說
page 3	湯薌銘長鄂田文烈長豫瞬即發表
page 3	十八日黎總統在居仁堂召集國務特別會議一決廢豫督調馮玉祥任薊榆總司令二任田文烈為豫省長三浙盧永祥仍為第十師長
page 3	參陸處昨開休戰會議聞王占元列席
page 3	援贛毅軍請財部撥餉十萬
page 3	政府以奉直雖議和仍有衝突決派王占元宋小濂馳赴榆關令董康高恩洪由保定返京即開臨時閣議擬借款實行廢督裁兵已向外團接洽並運動庚子賠款延期
page 3	張繼召集在滬民黨議對付粵事辦法
page 3	傳杜錫珪將帶陸戰隊六千來滬商會電政府阻止
page 3	十八日午曹汝霖陸宗輿因住宅被警廳查封已改名逃往天津匿居日租界
page 3	川傳陳樹藩近用西北援軍司令名義回陝巳派代表向四川當局辭行
page 3	聞孫烈臣王承斌確議和但未簽約奉天方面要求撤消徐世昌免張作霖令直軍要求奉軍退出遼東
page 3	吳佩孚電黎總統請改淞滬護軍使為鎮守使歸蘇督管轄以一事權
page 3	十五日保定會議一南北統一由盧永祥陳炯明入手二對奉贛川湘主不用兵三擁戴黎總統為第一期另組正式
page 3	政府為第二期選總統為第三期四廢督裁兵設九軍區區長擬曹錕吳佩孚齊燮元陳炯明王承斌楊增新唐繼堯劉湘吳俊陞
page 3	晉督閻錫山電陳裁兵請改鄉軍制度謂有利無弊
page 3	江西蔡成勳電稱陳光遠所部一師四旅已潰散援軍兵單實難抵禦請速派援
page 3	蘇督齊燮元電吳佩孚謂柏文蔚與安福黨常往來甯杭請示應付方法
page 3	于右任離陝中途遇匪聞已脫險抵甘燕
page 3	中外團對盧永祥請廢督將軍事交省長結束認為知機謂各省能仿此統一有進步
page 3	昨二十日之軍事要聞
page 3	海軍已宣言不再向廣州市開砲
page 3	粵軍已與海軍磋商調件
page 3	粵軍已陸續開赴韶關
page 3	廖仲愷已押解回省
page 3	擾亂金融之好淡友
page 3	老民黨亦勸海軍勿開砲
page 3	各屬鄉渡照常開行
page 3	廣州市已解嚴
page 3	本報記者報告省坦見聞短簡
page 3	工團調停之進行
page 3	火車已照常到省
page 3	新招北伐軍過港
page 3	木匠加薪解決條件
page 3	酒樓茶室工人加薪問題
page 6	臧致平免職之原因
page 6	黃陂復職後之京聞
page 6	閩民黨請逐李厚基
page 6	買賣馬克之投機譚
page 6	電話公司司理之言論
page 6	朱卓文已離港
page 6	廣肇公所時局主張之復函
page 6	新新議員之　後奮鬥
page 6	續　屋租則例全文續
page 6	因水喉學訟
page 6	大學副監督離港
page 6	開濼煤礦報告
page 6	銀價
page 6	傳染症報告
page 6	兩罪俱罰
page 6	攔途截搶又聞
page 6	被控迫人入會
page 6	法總理在英之舉動
page 6	美鐵路工人將罷工
page 6	架刺吉打船員罷工近聞
page 6	中法銀行之訴訟
page 6	偷熨斗受笞
page 6	被控偷手鏢
page 6	小故打架
page 6	私煙案
page 6	竊案判結
page 6	毆打傷人案判結
page 6	軍火案判結
page 6	被解未滿期返港
page 6	苦力被石壓斃
page 6	美國軍額與駐華艦隊
page 7	停解北伐軍彈藥
page 7	海軍提出調和條件續聞
page 7	造幣廠將復鑄銀幣
page 7	戰雲舒卷中之最近見聞
page 7	十區警察因事質問區長
page 7	葉舉召集陸軍人員
page 7	粵軍聯合巡查隊成立再誌
page 7	粵軍出動近情
page 7	駐韶第一
page 7	盧興源電請保存法院案卷
page 7	澳案近聞
page 7	葡人貳次之自辯書續
page 7	瑣聞一束
