page 2	滑稽的共產談四
page 3	議員毆打案法庭傳兩造均不到案
page 3	安格聯因孫文佔據海關將辭謝管公債基金責任
page 3	將任楊敬修為閩粵海疆防禦使
page 3	黃奕佳為僑務局副總裁
page 3	府電促沈鴻英入粵現沈軍已抵臨武
page 3	吳佩孚蕭耀南會保馬濟幫辦湘省軍務馬電吳蕭辭謝但請助以五旅兵力回桂
page 3	吳佩孚擬在漢設援川督辦處在岳設援湘善後處一說祇設川湘鄂軍事督辦處於漢口
page 3	陳渠珍分兵二路襲擊蔡鉅猷又派馮紹麟由四都坪攻沅陵蔡部周朝武彭壽恒仍守沅陵唐榮陽廿六日晨攻辰龍關惟攻漵浦之賀煙無進步又訊陳渠珍部已佔辰沅周部分向瀘溪辰谿潰退
page 3	王永泉以三萬元運動吳威改編吳拒絕高義以第五旅全部力攻安溪正激戰中
page 3	吳景濂派決三十日仍發議程開議孫閣同意案
page 3	顏惠慶宴路透電社總理瓊司瓊說報紙多而弱不如少而固又謂辦報應獨立不能仰給何人
page 3	葡使聲明回國後未了臨案事件由荷使或西班使接辦
page 3	高閣因吳景濂派攻擊外省非難幾致動搖但繼任者孫寶琦或顏惠慶均不願派署且因眾議院互毆新閣難遽產生代閣將延長故閣員均甚振奮
page 3	裁員三令被大陸通信社洩漏高淩霨王克敏大怒勒令該社交出原稿嚴究又訊查此案係國務院參議張鵬所洩高淩霨決免張職
page 3	陸錦請曹錕將三師三混成旅直隸公府不歸吳佩孚節制
page 3	曹錕廿八日在懷仁堂西側樹憲法全文紀念石碑
page 3	教育部廿九日開工
page 3	廿九日閣議楊敬修為閩粵
page 3	海疆防禦使
page 3	王承斌面請曹錕撤幫辦不另簡省長
page 3	注意
page 3	韶州運館所傳之北江軍訊
page 3	粵軍陸續自潮至惠
page 3	陳炯明禁賭近聞
page 3	陳嘉祐經已抵省
page 3	許崇智蹤跡之又一說
page 3	江門西訊
page 3	登徒子之殷鑒
page 3	船政司干涉炸隆生輪
